address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
8 Alva Court,Waurn Ponds,5,2,3,675,0,"$630,000 ",15-Jan-19,,,,,
2 Banyan Court,Waurn Ponds,5,2,2,782,0,"$710,000 ",5-Feb-19,,,,,
6 Banyan Court,Waurn Ponds,3,2,0,850,0,"$560,000 ",30-Nov-19,,,,,
6-8 Beaujolais Place,Waurn Ponds,3,2,2,661,0,"$630,000 ",18-Oct-19,,,,,
12 Blackheath Mews,Waurn Ponds,5,2,3,789,0,"$750,000 ",10-Aug-19,,,,,
26 Blackheath Mews,Waurn Ponds,4,2,2,720,0,"$650,000 ",4-Mar-19,,,,,
38 Blackheath Mews,Waurn Ponds,4,2,2,801,293,"$785,000 ",16-Aug-19,,,,,
8 Bodega Street,Waurn Ponds,3,2,2,376,0,"$525,000 ",18-Jul-19,,,,,
7 Bollinger Street,Waurn Ponds,4,2,3,536,0,"$690,000 ",11-Jun-20,,,,,
2 Bordeaux Drive,Waurn Ponds,4,2,2,1065,0,"$695,000 ",7-Aug-19,,,,,
5 Bordeaux Drive,Waurn Ponds,4,2,2,726,0,"$650,000 ",15-Oct-19,,,,,
13 Burgundy Drive,Waurn Ponds,4,3,2,457,0,"$575,000 ",18-Jan-20,,,,,
35 Burgundy Drive,Waurn Ponds,4,2,2,682,0,"$685,000 ",3-Nov-19,,,,,
41 Burgundy Drive,Waurn Ponds,4,2,3,611,186,"$630,000 ",8-Mar-19,,,,,
15 Cabernet Court,Waurn Ponds,3,2,1,678,0,"$671,000 ",2-Dec-19,,,,,
9 Carradale Street,Waurn Ponds,3,2,1,454,0,"$505,000 ",11-Apr-19,,,,,
8 Chablis Court,Waurn Ponds,4,2,2,420,168.87,"$535,000 ",16-Mar-20,,,,,
2-3 Champagne Court,Waurn Ponds,4,2,4,1819,0,"$1,120,000 ",8-Jun-20,,,,,
4-5 Chandon Court,Waurn Ponds,4,2,2,1800,0,"$1,175,000 ",19-Dec-19,,,,,
14-15 Chandon Court,Waurn Ponds,5,2,4,2190,0,"$1,190,000 ",4-May-20,,,,,
18 Chardonnay Court,Waurn Ponds,4,2,2,452,0,"$560,000 ",16-Mar-20,,,,,
11 Chenin Mews,Waurn Ponds,3,1,2,355,0,"$470,000 ",25-Oct-19,,,,,
15 Chenin Mews,Waurn Ponds,3,2,2,446,0,"$530,000 ",4-Mar-19,,,,,
6 Cottonwood Way,Waurn Ponds,4,2,2,647,0,"$673,000 ",5-Jul-19,,,,,
9 Cottonwood Way,Waurn Ponds,4,2,2,648,242,"$642,500 ",31-May-19,,,,,
10-12 Cottonwood Way,Waurn Ponds,5,2,2,478,0,"$570,000 ",15-Jun-19,,,,,
6 Deakinwood Court,Waurn Ponds,4,2,2,809,0,"$650,000 ",10-Nov-19,,,,,
9 Delgany Mews,Waurn Ponds,5,2,2,798,0,"$690,000 ",23-Jul-19,,,,,
66 Ghazeepore Road,Waurn Ponds,4,2,2,631,0,"$655,000 ",4-Apr-19,,,,,
68 Ghazeepore Road,Waurn Ponds,4,2,2,629,0,"$620,000 ",7-Jul-20,,,,,
88 Ghazeepore Road,Waurn Ponds,4,2,2,776,0,"$610,000 ",11-Dec-19,,,,,
