address,Suburb,Bedrooms,Toilets,Cars,Land Size SQM,Building Size SQM,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date
10 Atlas Court,Whittington,3,1,2,702,0,"$363,000 ",15-Jan-19,,,,,
3 Bean Court,Whittington,3,1,2,569,0,"$372,000 ",25-Sep-19,,,,,
16 Bellagio Court,Whittington,2,1,2,454,121,"$390,000 ",29-Oct-19,,,,,
169-171 Boundary Road,Whittington,4,2,2,972,250.8382,"$790,000 ",30-May-19,,,,,
223 Boundary Road,Whittington,3,1,1,495,0,"$380,000 ",17-Jun-19,,,,,
225 Boundary Road,Whittington,3,1,5,561,0,"$355,250 ",26-Oct-19,,,,,
227 Boundary Road,Whittington,3,1,3,528,0,"$325,000 ",26-Oct-19,,,,,
241 Boundary Road,Whittington,3,2,2,498,0,"$510,000 ",13-Apr-19,,,,,
18 Challenger Close,Whittington,3,1,2,621,0,"$325,000 ",6-May-20,,,,,
21 Challenger Close,Whittington,3,1,2,668,0,"$352,500 ",5-Jun-20,,,,,
26 Chapel Street,Whittington,3,1,2,510,0,"$440,000 ",7-Nov-19,,,,,
17 Conrad Court,Whittington,3,2,1,822,0,"$367,000 ",6-Mar-19,,,,,
5 Cosmos Court,Whittington,4,1,1,690,0,"$432,000 ",3-Aug-20,,,,,
6 Dew Street,Whittington,3,1,2,1012,0,"$505,000 ",7-Dec-19,,,,,
4 Echo Court,Whittington,3,1,2,785,0,"$352,000 ",23-Apr-19,,,,,
16 Freesia Court,Whittington,3,1,4,841,0,"$420,000 ",22-Jul-20,,,,,
4 Galaxy Court,Whittington,4,1,2,802,0,"$412,000 ",15-Jan-20,,,,,
3 Harvard Court,Whittington,4,2,4,650,0,"$437,500 ",21-Feb-19,,,,,
11 Katarina Place,Whittington,3,1,1,570,0,"$385,000 ",1-Jul-19,,,,,
14 Katarina Place,Whittington,3,1,2,459,0,"$385,000 ",15-Apr-19,,,,,
22 Melva Crescent,Whittington,3,1,1,802,0,"$435,000 ",16-May-19,,,,,
43 Melva Crescent,Whittington,3,1,2,679,0,"$525,000 ",16-Jul-20,,,,,
45 Melva Crescent,Whittington,3,1,2,662,0,"$417,500 ",26-Mar-19,,,,,
6 Orbit Drive,Whittington,3,2,3,687,0,"$388,000 ",31-Jul-20,,,,,
20 Oxford Street,Whittington,3,1,2,839,0,"$485,000 ",17-Mar-20,,,,,
3 Pandora Court,Whittington,3,2,2,943,0,"$522,000 ",24-Jan-20,,,,,
2 Planet Court,Whittington,3,1,1,350,0,"$320,000 ",6-Mar-19,,,,,
6 Proton Court,Whittington,3,1,3,613,0,"$325,000 ",9-Apr-19,,,,,
16 Proton Court,Whittington,3,1,1,684,0,"$347,500 ",12-Jul-19,,,,,
4-6 Regent Street,Whittington,4,2,4,3256,0,"$1,050,000 ",29-Mar-19,,,,,
12 Regent Street,Whittington,3,2,2,307,114.44,"$360,100 ",26-Sep-19,,,,,
13 Regent Street,Whittington,3,2,4,650,139.3546,"$491,000 ",27-Feb-20,,,,,
