,Year,Suburb,Average Sell Price,Suburb_Code
0,2000,Armstrong Creek,170812.5,1
1,2010,Armstrong Creek,175000.0,1
2,2011,Armstrong Creek,170100.0,1
3,2012,Armstrong Creek,176428.57142857142,1
4,2013,Armstrong Creek,187363.63636363635,1
5,2014,Armstrong Creek,187576.08695652173,1
6,2015,Armstrong Creek,244636.36363636365,1
7,2016,Armstrong Creek,213435.29411764705,1
8,2017,Armstrong Creek,457285.71428571426,1
9,2018,Armstrong Creek,550000.0,1
10,2020,Armstrong Creek,429412.92042297125,1
11,2021,Armstrong Creek,440756.0640991628,1
12,2022,Armstrong Creek,452099.2077753544,1
13,2023,Armstrong Creek,463442.35145154595,1
14,2024,Armstrong Creek,474785.4951277375,1
15,2025,Armstrong Creek,486128.6388039291,1
16,2026,Armstrong Creek,497471.78248012066,1
17,2027,Armstrong Creek,508814.9261563122,1
18,2028,Armstrong Creek,520158.06983250007,1
19,2029,Armstrong Creek,531501.2135086916,1
20,2030,Armstrong Creek,542844.3571848832,1
21,2031,Armstrong Creek,554187.5008610748,1
22,2032,Armstrong Creek,565530.6445372663,1
23,2033,Armstrong Creek,576873.7882134579,1
24,2034,Armstrong Creek,588216.9318896495,1
25,2035,Armstrong Creek,599560.075565841,1
26,2036,Armstrong Creek,610903.2192420326,1
27,2037,Armstrong Creek,622246.3629182242,1
28,2038,Armstrong Creek,633589.5065944158,1
29,2039,Armstrong Creek,644932.6502706073,1
30,2040,Armstrong Creek,656275.7939467989,1
31,2041,Armstrong Creek,667618.9376229905,1
32,2042,Armstrong Creek,678962.0812991783,1
33,2043,Armstrong Creek,690305.2249753699,1
34,2044,Armstrong Creek,701648.3686515614,1
35,2045,Armstrong Creek,712991.512327753,1
36,2046,Armstrong Creek,724334.6560039446,1
37,2047,Armstrong Creek,735677.7996801361,1
38,2048,Armstrong Creek,747020.9433563277,1
39,2049,Armstrong Creek,758364.0870325193,1
40,2050,Armstrong Creek,769707.2307087108,1
41,1986,Bell Park,59000.0,2
42,1987,Bell Park,68000.0,2
43,1988,Bell Park,101000.0,2
44,1989,Bell Park,108250.0,2
45,1991,Bell Park,74000.0,2
46,1992,Bell Park,60500.0,2
47,1994,Bell Park,121500.0,2
48,1995,Bell Park,62000.0,2
49,1997,Bell Park,65000.0,2
50,1998,Bell Park,103750.0,2
51,1999,Bell Park,101500.0,2
52,2000,Bell Park,179666.66666666666,2
53,2001,Bell Park,122250.0,2
54,2002,Bell Park,84224.6,2
55,2003,Bell Park,181400.0,2
56,2004,Bell Park,178000.0,2
57,2005,Bell Park,190937.5,2
58,2006,Bell Park,214200.0,2
59,2007,Bell Park,252477.77777777778,2
60,2008,Bell Park,222853.57142857142,2
61,2009,Bell Park,244666.66666666666,2
62,2010,Bell Park,298400.0,2
63,2011,Bell Park,271222.22222222225,2
64,2012,Bell Park,274696.2727272727,2
65,2013,Bell Park,298437.5,2
66,2014,Bell Park,314894.2,2
67,2015,Bell Park,344192.3076923077,2
68,2016,Bell Park,363541.6666666667,2
69,2017,Bell Park,347045.45454545453,2
70,2018,Bell Park,381875.0,2
71,2020,Bell Park,428962.2859887853,2
72,2021,Bell Park,440305.4296649769,2
73,2022,Bell Park,451648.57334116846,2
74,2023,Bell Park,462991.71701736003,2
75,2024,Bell Park,474334.8606935516,2
76,2025,Bell Park,485678.00436974317,2
77,2026,Bell Park,497021.14804593474,2
78,2027,Bell Park,508364.2917221263,2
79,2028,Bell Park,519707.43539831415,2
80,2029,Bell Park,531050.5790745057,2
81,2030,Bell Park,542393.7227506973,2
82,2031,Bell Park,553736.8664268889,2
