,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
0,4/44 Myers Street,"510,000", Sep 2020,0, ,, ,, ,,0,0,0,Geelong
1,9 The Esplanade,"2,375,000", 29 Aug 2020,1, ,, ,, ,,0,0,0,Geelong
2,158 Garden Street,"1,240,000", Aug 2020,0,"155,000", Aug 2001, ,,667,214,3,1,1,Geelong
3,86 Sydney Parade,"560,000", 15 Aug 2020,1,"65,000", Mar 1996, ,,319,,3,0,0,Geelong
4,2/52 Mundy Street,"720,000", Aug 2020,0,"657,000", Jan 2016,500, Sep 2014,410,,5,2,2,Geelong
5,144 Corio Street,"1,325,000", Aug 2020,0,"675,000", Oct 2011, ,,305,115,3,1,2,Geelong
6,158 Kilgour Street,"855,000", 25 Jul 2020,1,"113,000", Aug 1991, ,,561,174,3,1,2,Geelong
7,1104/18-20 Cavendish Street,"735,000", Jul 2020,0, ,, ,, ,,0,0,0,Geelong
8,91 Swanston Street,"725,000", 18 Jul 2020,1,"430,000", Jan 2010,460, Feb 2010,398,134,4,1,1,Geelong
9,404/18-20 Cavendish Street,"752,500", Jul 2020,0, ,, ,, ,,0,0,0,Geelong
10,103/64-66 Eastern Beach Road,"850,000", Jul 2020,0, ,, ,, ,,0,0,0,Geelong
11,2/250 Myers Street,"440,000", Jul 2020,0,"305,000", Jul 2015,360, Aug 2020,148,,2,1,1,Geelong
12,103/64 Eastern Beach Road,"850,000", Jul 2020,0, ,, ,, ,,0,0,0,Geelong
13,5/96 Mercer Street,"389,000", Jul 2020,0,"315,000", Dec 2014,280, Oct 2011,716,,0,0,0,Geelong
14,9/50 Eastern Beach Road,"625,000", Jun 2020,0,"370,000", Apr 2009,360, Jan 2018,"1,187",,0,0,0,Geelong
15,614/148 Bellerine Street,"750,000", Jun 2020,0, ,, ,, ,,0,0,0,Geelong
16,2-4 Maud Street,"595,000", Jun 2020,0,"145,000", Feb 2002, ,,290,,0,0,0,Geelong
17,205/146 Bellerine Street,"540,000", Jun 2020,0, ,, ,, ,,0,0,0,Geelong
18,71 Fitzroy Street,"1,050,000", 07 May 2020,1,"748,500", Oct 2014,550, Feb 2015,538,192,4,2,2,Geelong
19,4/15 Mundy Street,"437,500", Apr 2020,0,"240,000", Oct 2009,295, Apr 2016,168,,2,1,1,Geelong
20,2205/2 Yarra Street,"660,000", Apr 2020,0,"600,000", Jan 2016,650, May 2019,"2,737",125,0,0,0,Geelong
21,206 Myers Street,"2,155,000", Mar 2020,0,"233,500", Nov 1993, ,,919,,0,0,0,Geelong
22,13 Vincent Avenue,"1,235,500", Mar 2020,0,"730,000", Aug 2014, ,,564,,3,2,4,Geelong
23,707/53 Mercer Street,"1,600,000", Mar 2020,0, ,, ,, ,,0,0,0,Geelong
24,12 Richmond Crescent,"1,016,999", Mar 2020,0,"316,000", Aug 2013, ,,519,293,3,1,2,Geelong
25,5 Lake Street,"990,000", Mar 2020,0,"680,000", Oct 2010,500, Feb 2009,332,,3,2,1,Geelong
26,408/146 Bellerine Street,"661,000", Feb 2020,0, ,, ,, ,,0,0,0,Geelong
27,4/17 The Esplanade,"550,000", Feb 2020,0,"183,880", Dec 2000, ,,"1,046",,0,0,0,Geelong
28,56 Sydney Parade,"615,000", 22 Feb 2020,1,"385,000", Sep 2013,450, Mar 2020,229,,2,1,1,Geelong
29,2/3 Kilgour Court,"690,000", Feb 2020,0,"525,000", May 2012,550, Dec 2018,218,,3,2,2,Geelong
30,203/8-10 McLarty Place,"510,000", Feb 2020,0, ,,410, Nov 2016,565,,0,0,0,Geelong
31,2/4 Richmond Court,"810,000", 08 Feb 2020,1, ,, ,,226,,0,0,0,Geelong
32,1/50 Eastern Beach Road,"616,000", 08 Feb 2020,1,"199,000", Jul 1994,210, Feb 2010,"1,187",,0,0,0,Geelong
33,901/120 Brougham Street,"2,600,000", Feb 2020,0,"2,250,000", Aug 2010, ,,934,,0,0,0,Geelong
34,10/141-143 Yarra Street,"626,000", Feb 2020,0, ,, ,,596,,0,0,0,Geelong
35,4 Brownbill Street,"620,000", 01 Feb 2020,1, ,, ,,370,,0,0,0,Geelong
36,49 Mundy Street,"750,000", 01 Feb 2020,1,"225,000", May 2001,400, Dec 2014,312,,3,1,0,Geelong
37,508/53 Mercer Street,"979,500", Jan 2020,0, ,, ,, ,,0,0,0,Geelong
38,49 Fitzroy Street,"491,500", Dec 2019,0, ,, ,,406,,1,1,0,Geelong
39,7/50 Eastern Beach Road,"471,000", Dec 2019,0,"143,000", Jan 1998,330, Mar 2017,"1,187",,0,0,0,Geelong
40,3 Storrer Street,"615,000", 07 Dec 2019,1,"90,000", Oct 1994, ,,303,100,3,1,1,Geelong
41,9/4 Fitzroy Street,"359,000", Dec 2019,0,"305,000", Apr 2014,280, Mar 2015,799,,0,0,0,Geelong
42,209/146-148 Bellerine Street,"442,000", Nov 2019,0, ,, ,, ,,0,0,0,Geelong
43,1/4-10 Benson Street,"456,380", Nov 2019,0, ,, ,,140,,0,0,0,Geelong
44,3/154 Bellerine Street,"299,000", Nov 2019,0,"250,000", Nov 2016,280, Sep 2015,999,,0,0,0,Geelong
45,5 Little Kilgour Street,"537,000", 26 Oct 2019,1,"81,000", Aug 1987,380, Nov 2019,307,,3,1,1,Geelong
46,80 Keera Street,"640,000", 26 Oct 2019,1,"373,200", Mar 2013,480, Nov 2019,696,124,3,1,4,Geelong
47,38 Henry Street,"800,000", 12 Oct 2019,1,"241,000", Aug 2001,390, Apr 2012,424,120,3,1,1,Geelong
48,81 McKillop Street,"740,000", 12 Oct 2019,1,"405,000", Mar 2010, ,,532,92,3,1,2,Geelong
49,2 Richmond Street,"658,000", 05 Oct 2019,1,"249,000", Jun 2007,295, Apr 2015,539,,3,1,1,Geelong
50,2305/2 Yarra Street,"450,000", Sep 2019,0,"360,000", Apr 2010,500, Jan 2018,"2,737",,0,0,0,Geelong
51,2506/2 Yarra Street,"1,800,000", Sep 2019,0,"1,650,000", Oct 2005, ,,"2,737",,0,0,0,Geelong
52,304/8 Gheringhap Street,"660,000", Sep 2019,0,"580,000", Mar 2011,600, Nov 2018,774,140,0,0,0,Geelong
53,29 Spring Street,"620,000", Sep 2019,0, ,, ,, ,,0,0,0,Geelong
54,217 Little Malop Street,"847,000", 24 Aug 2019,1, ,,460, Nov 2019,428,,2,1,2,Geelong
55,5/15 Mundy Street,"440,000", Aug 2019,0,"407,000", Oct 2017,345, Oct 2013,159,75,2,1,1,Geelong
56,1/11 York Street,"800,000", Aug 2019,0,"602,000", Mar 2014,580, Oct 2013,527,,3,3,1,Geelong
57,126 Swanston Street,"532,000", 17 Aug 2019,1,"90,000", Feb 1994,380, Nov 2019,331,,2,1,0,Geelong
58,223 Bellerine Street,"701,500", 17 Aug 2019,1,"149,950", Nov 1999,460, Nov 2019,238,116,3,1,0,Geelong
59,8 Vincent Avenue,"1,050,000", 16 Aug 2019,1,"624,000", Oct 2006, ,,552,,3,2,2,Geelong
60,9 Hamblings Lane,"780,000", Aug 2019,0, ,,640, May 2019, ,,3,2,2,Geelong
61,170 Yarra Street,"850,000", Jul 2019,0,"730,000", Apr 2016, ,,658,,4,3,3,Geelong
62,2/44 Myers Street,"500,000", Jul 2019,0, ,,350, May 2017,48,,0,0,0,Geelong
63,4 Star Street,"700,000", Jul 2019,0,"455,000", Dec 2015, ,,147,90,0,0,0,Geelong
64,304/100 Western Beach Road,"630,000", Jul 2019,0,"575,000", Feb 2000,470, Oct 2018,992,,0,0,0,Geelong
65,6 Heaths Lane,"525,000", Jul 2019,0,"275,000", Mar 2009, ,,65,,1,1,0,Geelong
66,168 Yarra Street,"905,000", Jul 2019,0,"486,000", Jul 2005,540, Dec 2016,665,,5,2,2,Geelong
67,14 Mckillop Street,"700,000", 01 Jul 2019,1,"300,000", May 2008, ,,593,,3,1,4,Geelong
68,38 Bourke Crescent,"485,000", 29 Jun 2019,1,"260,000", Nov 2007,290, Aug 2017,192,,3,1,1,Geelong
69,46 Bourke Crescent,"722,500", 22 Jun 2019,1,"288,000", Sep 2003, ,,27,,3,2,0,Geelong
70,205/16-18 The Esplanade South,"460,000", Jun 2019,0, ,, ,, ,,0,0,0,Geelong
71,8/155 Verner Street,"291,000", Jun 2019,0,"132,000", Nov 2006,250, Feb 2017,946,,0,0,0,Geelong
72,13 England Street,"1,100,000", Jun 2019,0,"635,000", Mar 2006, ,,120,,3,2,1,Geelong
73,19 The Esplanade South,"720,000", May 2019,0, ,,650, Jan 2020, ,,2,1,1,Geelong
74,205/110 Brougham Street,"1,130,000", May 2019,0,"830,000", Apr 2007,850, Nov 2008,"1,233",,3,2,2,Geelong
75,404/100 Western Beach Road,"520,000", May 2019,0,"461,000", Oct 2012,500, Jan 2020,992,,0,0,0,Geelong
76,204/8-10 McLarty Place,"460,000", May 2019,0,"450,000", Jul 2015,470, Jun 2019,566,,0,0,0,Geelong
77,4/4 Mercer Street,"636,000", 04 May 2019,1,"450,000", Jul 2010,450, Sep 2019,723,124,3,2,2,Geelong
78,12B Western Beach Road,"2,380,000", 13 Apr 2019,1,"305,000", Dec 1998, ,,318,282,3,2,2,Geelong
79,220 Myers Street,"535,000", 06 Apr 2019,1,"350,000", Oct 2011,400, Sep 2019,180,64,2,1,1,Geelong
80,9/17a The Esplanade,"599,000", Mar 2019,0, ,,380, May 2019,978,,0,0,0,Geelong
81,3/44 Myers Street,"500,000", Mar 2019,0, ,,380, Mar 2019,48,,0,0,0,Geelong
82,21 Alexandra Avenue,"805,000", Mar 2019,0, ,,320, Oct 2016,460,,3,2,0,Geelong
83,8/4 Fitzroy Street,"338,600", Mar 2019,0,"297,000", Nov 2012,270, Jun 2018,799,,1,1,1,Geelong
84,701/8 Gheringhap Street,"430,000", Mar 2019,0,"380,000", Dec 2013, ,,776,75,0,0,0,Geelong
85,4 Richmond Crescent,"840,000", 02 Mar 2019,1,"570,000", Mar 2011,550, Mar 2018,642,170,4,2,3,Geelong
86,2 Hope Street,"680,000", Mar 2019,0,"80,000", Apr 1996,430, Nov 2018,217,,3,2,2,Geelong
87,1104/44 Ryrie Street,"685,000", Feb 2019,0, ,, ,, ,,0,0,0,Geelong
88,1204/44 Ryrie Street,"735,000", Feb 2019,0, ,, ,, ,,0,0,0,Geelong
89,1303/44 Ryrie Street,"785,000", Feb 2019,0, ,, ,, ,,0,0,0,Geelong
90,1403/44 Ryrie Street,"895,000", Feb 2019,0, ,, ,, ,,0,0,0,Geelong
91,1101/44 Ryrie Street,"1,788,950", Feb 2019,0, ,, ,, ,,0,0,0,Geelong
92,5/250 Malop Street,"749,000", Feb 2019,0,"552,000", Jun 2015, ,,304,,3,1,2,Geelong
93,1/96 Mercer Street,"445,000", Feb 2019,0,"355,000", Jun 2013,370, Feb 2019,716,82,0,0,0,Geelong
94,101/8-10 McLarty Place,"547,500", Feb 2019,0, ,, ,,565,,0,0,0,Geelong
95,2/67 Sydney Parade,"690,000", 16 Feb 2019,1,"495,000", Feb 2011,450, Nov 2014,210,155,0,0,0,Geelong
96,1/17 Brownbill Street,"520,000", Feb 2019,0,"325,000", Jun 2008, ,,298,,2,1,1,Geelong
97,3/242 Ryrie Street,"850,000", Feb 2019,0,"195,000", Dec 2001, ,,174,,3,3,2,Geelong
98,18-20 Cavendish Street,"599,900", Feb 2019,0, ,, ,,"2,032",,0,0,0,Geelong
99,17 England Street,"1,345,000", Feb 2019,0,"1,300,000", Jul 2017,900, May 2019,119,,3,2,1,Geelong
100,14 Ryrie Street,"725,000", Feb 2019,0,"595,000", Jun 2014, ,,548,175,4,1,3,Geelong
101,297A Malop (cnr Pevensey Crs) Street,"495,000", Jan 2019,0, ,, ,, ,,2,1,0,Geelong
102,370 Ryrie Street,"837,000", Jan 2019,0,"77,000", Apr 1987, ,,506,,3,1,2,Geelong
103,15 Adams Place,"633,000", Jan 2019,0,"545,000", Jul 2011,460, Oct 2017,182,141,3,1,2,Geelong
104,82 Fitzroy Street,"785,000", Dec 2018,0,"575,000", Feb 2014,400, Feb 2010,132,126,3,2,2,Geelong
105,7/2 Pevensey Street,"395,000", Dec 2018,0,"232,000", May 2006,270, Aug 2018,740,,0,0,0,Geelong
106,198 Garden Street,"640,000", Dec 2018,0,"120,000", Mar 2000, ,,554,,3,1,5,Geelong
107,7/44 Myers Street,"520,000", Dec 2018,0, ,,450, Feb 2019,48,,0,0,0,Geelong
108,16 Henry Street,"586,000", 15 Dec 2018,1, ,, ,,421,,2,1,0,Geelong
109,303/64 Eastern Beach Road,"1,100,000", 15 Dec 2018,1, ,,620, Feb 2019, ,,0,0,0,Geelong
110,303/64-66 Eastern Beach Road,"1,100,000", 15 Dec 2018,1, ,, ,, ,,0,0,0,Geelong
111,103 Swanston Street,"888,000", Dec 2018,0,"375,000", Jan 2005, ,,456,,3,2,1,Geelong
112,6 Richmond Street,"722,500", 15 Dec 2018,1,"558,000", Oct 2014, ,,523,121,3,2,2,Geelong
113,73 Swanston Street,"637,000", Dec 2018,0,"420,000", Nov 2012,395, Nov 2016,427,139,3,2,2,Geelong
114,301/120 Brougham Street,"830,000", Dec 2018,0,"650,000", Apr 2012,590, Jul 2012,934,135,0,0,0,Geelong
115,8/73-75 Maud Street,"467,500", 01 Dec 2018,1,"230,000", Apr 2006,300, Oct 2016,218,,0,0,0,Geelong
116,8/73 Maud Street,"467,500", 01 Dec 2018,1,"230,000", Apr 2006, ,,218,,0,0,0,Geelong
117,6/44 Myers Street,"512,500", Nov 2018,0, ,,450, Dec 2018,48,,0,0,0,Geelong
118,19 Pevensey Crescent,"1,890,000", Nov 2018,0,"825,000", May 2003,850, Jan 2019,"1,124",,4,3,3,Geelong
119,2/79 McKillop Street,"789,000", Nov 2018,0,"660,000", Jan 2016,475, Apr 2009,239,211,3,2,2,Geelong
