,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb,Suburb_Code,Train Station,Bus Station,Hospitals,Schools,Restaurants,Shopping Center,Park,Sub_Lat,Sub_Long
0,4/44 Myers Street,510000.0,2020-09-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
1,9 The Esplanade,2375000.0,2020-08-29,1,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
2,158 Garden Street,1240000.0,2020-08-01,0,155000.0,2001-08-01,,,667.0,214.0,3,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
3,86 Sydney Parade,560000.0,2020-08-15,1,65000.0,1996-03-01,,,319.0,,3,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
4,2/52 Mundy Street,720000.0,2020-08-01,0,657000.0,2016-01-01,500.0,2014-09-01,410.0,,5,2,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
5,144 Corio Street,1325000.0,2020-08-01,0,675000.0,2011-10-01,,,305.0,115.0,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
6,158 Kilgour Street,855000.0,2020-07-25,1,113000.0,1991-08-01,,,561.0,174.0,3,1,2,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
7,1104/18-20 Cavendish Street,735000.0,2020-07-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
8,91 Swanston Street,725000.0,2020-07-18,1,430000.0,2010-01-01,460.0,2010-02-01,398.0,134.0,4,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
9,404/18-20 Cavendish Street,752500.0,2020-07-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
10,103/64-66 Eastern Beach Road,850000.0,2020-07-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
11,2/250 Myers Street,440000.0,2020-07-01,0,305000.0,2015-07-01,360.0,2020-08-01,148.0,,2,1,1,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
12,103/64 Eastern Beach Road,850000.0,2020-07-01,0,,,,,,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
13,5/96 Mercer Street,389000.0,2020-07-01,0,315000.0,2014-12-01,280.0,2011-10-01,716.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
14,9/50 Eastern Beach Road,625000.0,2020-06-01,0,370000.0,2009-04-01,360.0,2018-01-01,1187.0,,0,0,0,Geelong,10,1,8,20,3,85,4,1,-38.150341,144.361257
