,address,sold,last sold,rent,house_info,land_size
0,55 lot 1004 Edenhope Circuit,"Sold $283,000 in Sep 2020", , , , 
1,12 Seifferts Street,"Sold $550,000 in Aug 2020","Last Sold $183,000 in May 2014", , ,Land size: 504 sqm
2,5 Seifferts Street,"Sold $650,000 in Aug 2020","Last Sold $545,000 in Oct 2017", ,House: 4  2  2 ,Land size: 546 sqm
3,44 Noosa Circuit,"Sold $500,000 in Aug 2020", , ,House: , 
4,23 Rottness Drive,"Sold $598,000 in Aug 2020", , ,House: 4  2  2 ,Land size: 510 sqm
5,10 MCKINLEY Avenue,"Sold $500,000 in Aug 2020","Last Sold $152,000 in Apr 2016",Rent $390pw in Sep 2019, ,Land size: 400 sqm
6,20 Ross Street,"Sold $575,000 in Aug 2020", , , ,Land size: 399 sqm
7,14 Daybreak Avenue,"Sold $625,000 in Aug 2020","Last Sold $491,000 in Apr 2017", ,House: 4  2  2 ,Land size: 489 sqm
8,49 Middleton Road,"Sold $580,000 in Aug 2020", , ,House: ,Land size: 455 sqm
9,Lot 107/17 Atherton Street,"Sold $307,500 in Aug 2020", , , , 
10,14 Chelsea Drive,"Sold $197,500 in Aug 2020", , , , 
11,18 Tenterfield Street,"Sold $495,000 in Aug 2020", , ,House: 4  2  1 , 
12,25 Mallacoota Crescent,"Sold $620,000 in Aug 2020","Last Sold $550,000 in Feb 2018", ,House: 4  2  2 ,Land size: 448 sqm | Building size: 222 sqm
13,14 Saltbreeze Boulevard,"Sold $605,500 in Aug 2020","Last Sold $445,000 in Jun 2015", ,House: 4  2  2 ,Land size: 506 sqm | Building size: 177 sqm
14,Lot 329 McArthur Crescent,"Sold $240,000 in Aug 2020", , , , 
15,26 Nature Street,"Sold $320,000 in Aug 2020", , , ,Land size: 513 sqm
16,15 Hammond Street,"Sold $545,000 in Aug 2020", ,Rent $430pw in Jun 2019,House: 4  2  2 ,Land size: 446 sqm
17,40 Daybreak Avenue,"Sold $572,500 in Aug 2020","Last Sold $162,000 in May 2013", , ,Land size: 498 sqm | Building size: 168 sqm
18,1/5 Kookaburra Drive,"Sold $420,000 in Aug 2020", , , , 
19,3 Corella Road,"Sold $396,000 in Aug 2020", , ,House: , 
20,77A Iris Loop,"Sold $495,000 in Aug 2020", , ,House: 3  2  2 ,Land size: 336 sqm
21,Lot 9417/21 Swaine Street,"Sold $255,000 in Aug 2020", , , , 
22,12 Chelsea Drive,"Sold $217,000 in Jul 2020", , , , 
23,13 McCormack Avenue,"Sold $462,000 in Jul 2020", ,Rent $400pw in Aug 2020,House: 3  2  2 ,Land size: 262 sqm
24,15 Canoe Street,"Sold $570,000 in Jul 2020","Last Sold $175,500 in Jul 2014", , ,Land size: 447 sqm | Building size: 168 sqm
25,24 Lance Drive,"Sold $650,000 in Jul 2020", , ,House: 4  2  2 ,Land size: 505 sqm
26,Lot 9415/17 Swaine Street,"Sold $255,000 in Jul 2020", , , , 
27,40 MALLACOOTA Crescent,"Sold $486,000 in Jul 2020","Last Sold $160,000 in Feb 2016", , ,Land size: 424 sqm
28,"Lot 628, 8 Myna Way","Sold $272,000 in Jul 2020", , , , 
29,23 Lampard Street,"Sold $650,000 in Jul 2020", , , ,Land size: 554 sqm
30,804 Barwon Heads Road,"Sold $512,000 in Jul 2020","Last Sold $152,000 in Aug 2010", , ,Land size: 399 sqm
31,Lot 9624/17 Vienet Avenue,"Sold $279,000 in Jul 2020", , , , 
32,31-35 Sirrom Crescent,"Sold $765,000 in Jul 2020", , ,House: 5  3  6 ,Land size: 703 sqm
33,6 Esperance Avenue,"Sold $547,500 in Jul 2020", , , ,Land size: 350 sqm
34,15 Beekeeper Road,"Sold $645,000 in Jul 2020","Last Sold $186,000 in Apr 2012", , ,Land size: 592 sqm | Building size: 212 sqm
35,10 Sanderling Avenue,"Sold $455,000 in Jul 2020", , ,House: 3  2  2 ,Land size: 507 sqm
