,address,sold,last sold,rent,house_info,land_size
0,1/14 Francis Street,"Sold $620,000 in Aug 2020","Last Sold $395,000 in Feb 2010",Rent $450pw in Nov 2017, ,Land size: 321 sqm
1,14 Culbin Avenue,"Sold $680,000 in Aug 2020","Last Sold $280,000 in Sep 2002",Rent $245pw in Apr 2007,House: 4  1  3 ,Land size: 690 sqm
2,23 Tettenhall Ridg,"Sold $655,000 in 29 Aug 2020(Auction)", , ,House: 3  , 
3,23 Tettenhall Ridge,"Sold $655,000 in Aug 2020","Last Sold $415,000 in Jan 2015",Rent $385pw in Nov 2013,House: 3  2  2 ,Land size: 630 sqm
4,13 Waurn Park Court,"Sold $700,000 in Aug 2020","Last Sold $515,500 in Jun 2013", ,House: 4  2  2 ,Land size: 726 sqm
5,62 Oberon Drive,"Sold $425,000 in 22 Aug 2020(Auction)","Last Sold $189,000 in Nov 2001", ,House: 1  2  2 ,Land size: 664 sqm
6,4 Leonard Street,"Sold $775,000 in Aug 2020","Last Sold $650,000 in Sep 2017(Auction)",Rent $475pw in Jan 2019,House: 4  1  5 ,"Land size: 1,012 sqm"
7,8 East View Parade,"Sold $770,000 in Aug 2020","Last Sold $685,000 in Apr 2016(Auction)", ,House: 3  1  3 ,Land size: 901 sqm
8,304 High Street,"Sold $513,000 in Aug 2020","Last Sold $345,000 in Sep 2017", ,House: 3  1  1 ,Land size: 380 sqm
9,20 Tettenhall Ridge,"Sold $600,000 in Aug 2020","Last Sold $380,000 in Dec 2014",Rent $460pw in May 2018,House: 4  2  2 ,Land size: 702 sqm
10,35 Clarke Avenue,"Sold $740,000 in Aug 2020","Last Sold $371,000 in Mar 2015",Rent $385pw in Dec 2015,House: 4  2  2 ,Land size: 615 sqm | Building size: 164 sqm
11,12 Perth Street,"Sold $615,000 in Aug 2020","Last Sold $460,000 in Mar 2016", ,House: 3  1  2 ,Land size: 431 sqm | Building size: 145 sqm
12,33 Cranmere Avenue,"Sold $540,000 in Aug 2020","Last Sold $51,000 in Apr 1979", ,House: 3  2  2 ,Land size: 682 sqm
13,10 Fairfield Avenue,"Sold $500,000 in Aug 2020","Last Sold $387,000 in May 2017",Rent $300pw in Sep 2013,House: 3  1  2 ,Land size: 564 sqm
14,29 Oxford Street,"Sold $672,000 in Aug 2020","Last Sold $63,500 in Mar 1988", ,House: 1  ,Land size: 702 sqm
15,4 Charles Street,"Sold $560,000 in Aug 2020","Last Sold $300,000 in May 2016", ,House: 3  1  2 ,Land size: 522 sqm
16,5/29 Eton Road,"Sold $502,000 in Aug 2020","Last Sold $411,000 in Jun 2017(Auction)",Rent $370pw in Apr 2018,House: 2  2  1 ,Land size: 220 sqm
17,10 Emerald Court,"Sold $658,000 in 05 Aug 2020(Auction)","Last Sold $485,000 in Nov 2016(Auction)",Rent $430pw in Sep 2018,House: 4  2  2 ,Land size: 116 sqm
18,17 Brocka Avenue,"Sold $807,000 in 05 Aug 2020(Auction)","Last Sold $315,000 in Oct 2009",Rent $265pw in Jan 2009,House: 3  1  1 ,Land size: 581 sqm
19,4/13-15 Clarke Avenue,"Sold $650,000 in Aug 2020", , , , 
20,19 Mernda Parade,"Sold $702,000 in Aug 2020","Last Sold $415,000 in May 2013",Rent $425pw in Jan 2015,House: 4  2  1 ,Land size: 594 sqm | Building size: 164 sqm
21,8a View Street,"Sold $840,000 in 01 Aug 2020(Auction)", , , ,Land size: 397 sqm
22,17 Kidman Avenue,"Sold $495,000 in Jul 2020", , ,House: 3  ,Land size: 709 sqm
23,1/42 Sanglen Terrace,"Sold $405,000 in Jul 2020","Last Sold $285,000 in Nov 2011", , ,Land size: 75 sqm
24,4 Cambridge Street,"Sold $615,000 in Jul 2020","Last Sold $470,000 in Dec 2016",Rent $440pw in Feb 2018,House: 3  2  1 ,Land size: 600 sqm
25,2/32 Elsvern Avenue,"Sold $373,000 in Jul 2020","Last Sold $220,500 in Jul 2011",Rent $250pw in Nov 2014, ,Land size: 108 sqm
26,2/26 Roslyn Road,"Sold $440,000 in Jul 2020","Last Sold $335,000 in Apr 2015", , ,Land size: 202 sqm
27,9 Clydesdale Crescent,"Sold $600,000 in Jul 2020","Last Sold $295,000 in Aug 2005", ,House: 3  3  2 ,Land size: 671 sqm | Building size: 220 sqm
28,1/14 Regent Street,"Sold $400,000 in Jul 2020","Last Sold $272,000 in Feb 2000", , ,Land size: 186 sqm
29,5/27 Mt Pleasant Road,"Sold $565,000 in Jul 2020","Last Sold $505,000 in Mar 2017",Rent $380pw in Feb 2013,House: 2  2  1 ,"Land size: 2,120 sqm"
30,3/96 Mt Pleasant Road,"Sold $396,000 in Jul 2020","Last Sold $210,000 in Jul 2004", , ,Land size: 191 sqm
31,60 Pavo Street,"Sold $560,000 in Jul 2020","Last Sold $375,000 in Oct 2014", ,House: 3  1  1 ,Land size: 651 sqm | Building size: 122 sqm
32,125 Francis Street,"Sold $395,000 in Jul 2020","Last Sold $249,000 in Aug 2009", ,House: 3  1  1 ,Land size: 659 sqm
33,8b Morris Street,"Sold $717,000 in Jul 2020", , ,House: 3  2  2 , 
34,8 Church Street,"Sold $580,000 in Jul 2020","Last Sold $156,000 in Apr 2002", ,House: 2  1  1 ,Land size: 340 sqm
35,26 Walpole Avenue,"Sold $485,000 in Jul 2020", , , ,Land size: 650 sqm
36,16 Hereford Drive,"Sold $555,000 in Jul 2020", , , ,Land size: 738 sqm
37,30 Seaview Parade,"Sold $812,500 in 11 Jul 2020(Auction)","Last Sold $355,000 in Jun 2013", ,House: ,Land size: 520 sqm
38,25 Herd Road,"Sold $769,000 in Jul 2020","Last Sold $205,000 in May 2002",Rent $510pw in Aug 2020,House: 3  1  2 ,Land size: 867 sqm
39,90 Shackleton Street,"Sold $585,000 in Jul 2020","Last Sold $184,500 in Jul 2001", , ,Land size: 470 sqm
40,5 Glenbrae Court,"Sold $485,000 in Jul 2020","Last Sold $83,000 in Jun 1998",Rent $390pw in Aug 2020,House: 1  1  1 ,Land size: 649 sqm
41,24 Cambridge Street,"Sold $610,000 in 04 Jul 2020(Auction)","Last Sold $315,000 in Oct 2009",Rent $380pw in Aug 2020,House: 3  1  1 ,Land size: 596 sqm
42,32 Settlement Road,"Sold $615,000 in Jul 2020","Last Sold $390,000 in Jun 2012", ,House: 3  2  2 ,Land size: 697 sqm | Building size: 143 sqm
43,31b The Avenue,"Sold $393,010 in Jul 2020", , , ,Land size: 510 sqm
44,17 Argyle Street,"Sold $610,000 in Jul 2020","Last Sold $374,000 in Nov 2010", ,House: 3  1  2 ,Land size: 580 sqm | Building size: 109 sqm
45,69 Summit Avenue,"Sold $710,000 in Jul 2020","Last Sold $235,000 in Jul 2007", ,House: 4  2  2 ,Land size: 650 sqm | Building size: 258 sqm
46,9 Roberts Road,"Sold $650,000 in Jun 2020","Last Sold $420,000 in Jul 2011",Rent $390pw in Mar 2018,House: 3  1  1 ,Land size: 759 sqm | Building size: 109 sqm
47,9 Brocka Avenue,"Sold $657,000 in 27 Jun 2020(Auction)","Last Sold $310,000 in Jul 2009",Rent $240pw in Feb 2008,House: 3  1  1 ,Land size: 581 sqm
48,1/2 Clarke Avenue,"Sold $547,000 in Jun 2020","Last Sold $305,000 in Mar 2008", , ,Land size: 281 sqm | Building size: 131 sqm
49,80 Mt Pleasant Road,"Sold $745,000 in Jun 2020","Last Sold $630,000 in Oct 2017(Auction)", ,House: 4  1  1 ,Land size: 753 sqm
50,247 High Street,"Sold $505,000 in Jun 2020","Last Sold $51,000 in May 1986", ,House: 3  1  1 ,Land size: 661 sqm
51,1/66-70 Reynolds Road,"Sold $340,000 in Jun 2020", , , ,Land size: 126 sqm
52,23 Stephen Street,"Sold $470,000 in Jun 2020","Last Sold $245,000 in Jul 2003",Rent $310pw in May 2015, ,Land size: 284 sqm
53,18 Lloyd Street,"Sold $602,000 in Jun 2020", ,Rent $325pw in Aug 2020,House: 2  1  2 ,Land size: 688 sqm
54,2/7 Sanglen Terrace,"Sold $950,000 in Jun 2020","Last Sold $245,000 in Apr 2014",Rent $290pw in Aug 2015, ,Land size: 796 sqm
55,1/35 Digby Avenue,"Sold $530,100 in Jun 2020", , ,House: 3  1  1 ,Land size: 342 sqm
56,1 Apaloosa Court,"Sold $430,000 in Jun 2020","Last Sold $312,000 in Oct 2015",Rent $320pw in Dec 2010,House: 3  1  2 ,Land size: 700 sqm
57,1/23 Corio Street,"Sold $480,000 in Jun 2020","Last Sold $345,000 in Jan 2013", , ,Land size: 310 sqm
58,2/16 Donald Street,"Sold $486,000 in Jun 2020","Last Sold $450,000 in Dec 2017", , ,Land size: 280 sqm
59,7/7 Sanglen Terrace,"Sold $330,000 in Jun 2020","Last Sold $311,000 in Jun 2018",Rent $315pw in Oct 2019, ,Land size: 796 sqm
60,1/23 Torquay Road,"Sold $480,000 in Jun 2020","Last Sold $345,000 in Jan 2013", , ,Land size: 309 sqm
61,21 Autumn Street,"Sold $522,000 in Jun 2020","Last Sold $154,250 in May 2013", , ,Land size: 706 sqm
62,1/12 Hill Street,"Sold $550,000 in Jun 2020", , ,House: 2  2  , 
63,2/25 Sanglen Terrace,"Sold $950,000 in Jun 2020", , ,House: 4  2  2 , 
64,31 Hill Street,"Sold $660,000 in Jun 2020","Last Sold $377,000 in Dec 2011(Auction)",Rent $340pw in May 2019,House: 3  1  2 ,Land size: 467 sqm | Building size: 133 sqm
65,44 Digby Avenue,"Sold $605,000 in May 2020","Last Sold $360,000 in Dec 2010(Auction)",Rent $370pw in Mar 2018,House: 3  1  4 ,Land size: 663 sqm
66,4 Oberon Drive,"Sold $579,000 in May 2020", ,Rent $420pw in Apr 2014,House: 4  2  2 ,Land size: 682 sqm
67,136 Roslyn Road,"Sold $672,000 in May 2020","Last Sold $268,000 in Mar 2008",Rent $225pw in Jun 2006,House: 3  1  1 ,Land size: 850 sqm
68,6 Marjorie Avenue,"Sold $642,000 in 23 May 2020(Auction)","Last Sold $335,000 in Nov 2013", ,House: 3  2  2 ,Land size: 665 sqm | Building size: 175 sqm
69,1/4 Cornish Avenue,"Sold $410,000 in 07 May 2020(Auction)","Last Sold $330,000 in Aug 2016",Rent $360pw in Jun 2017, ,Land size: 604 sqm
70,23 Scott Street,"Sold $760,000 in 05 May 2020(Auction)","Last Sold $702,000 in Nov 2018(Auction)", ,House: 3  2  3 ,Land size: 733 sqm
71,7 Summit Avenue,"Sold $580,000 in May 2020", , ,House: 4  2  4 ,Land size: 713 sqm
72,3 Mernda Parade,"Sold $500,000 in Apr 2020","Last Sold $220,000 in Feb 2000", ,House: 3  1  1 ,Land size: 594 sqm
73,34 Marjorie Avenue,"Sold $535,000 in Apr 2020", , ,House: ,Land size: 652 sqm
74,9 WILLIAM Street,"Sold $665,124 in Apr 2020","Last Sold $489,000 in Sep 2015", , ,Land size: 218 sqm
75,22 Kidman Avenue,"Sold $450,000 in Apr 2020","Last Sold $332,500 in Sep 2010",Rent $375pw in Nov 2019,House: 4  1  1 ,Land size: 639 sqm | Building size: 177 sqm
76,74 Summit Avenue,"Sold $716,000 in Apr 2020","Last Sold $330,000 in Jul 2010",Rent $250pw in Feb 2008,House: 4  1  2 ,Land size: 646 sqm
77,2/25-27 Roslyn Road,"Sold $387,000 in Apr 2020", , , ,Land size: 148 sqm
78,75 James Street,"Sold $545,000 in Apr 2020","Last Sold $355,000 in Mar 2014(Auction)",Rent $350pw in Feb 2016,House: 4  2  3 ,Land size: 650 sqm
79,68 Mt Pleasant Road,"Sold $600,000 in Apr 2020", , ,House: 3  1  1 ,Land size: 690 sqm
80,17 Queen Street,"Sold $390,000 in Apr 2020","Last Sold $190,000 in Oct 2002",Rent $295pw in Sep 2019,House: 3  1  ,Land size: 355 sqm
81,4 Fairfield Avenue,"Sold $500,000 in Apr 2020","Last Sold $320,000 in Jan 2011", ,House: 3  1  2 ,Land size: 619 sqm
82,87 Apex Avenue,"Sold $585,000 in Apr 2020", , ,House: 3  1  2 ,Land size: 631 sqm
83,32A Bailey Street,"Sold $470,000 in Apr 2020", , ,House: 3  2  1 ,Land size: 322 sqm
84,34 Highmont Drive,"Sold $500,000 in Apr 2020","Last Sold $322,500 in Jan 2012", ,House: 3  2  2 ,Land size: 803 sqm
85,22B Spring Street,"Sold $620,000 in Mar 2020","Last Sold $473,000 in May 2017", , ,Land size: 334 sqm
86,8 South Street,"Sold $881,550 in Mar 2020","Last Sold $690,000 in Jun 2013", ,House: 5  2  2 ,Land size: 720 sqm
87,17 Rowan Court,"Sold $611,500 in 24 Mar 2020(Auction)","Last Sold $155,000 in Nov 1991", ,House: 4  2  2 ,Land size: 705 sqm
88,92 High Street,"Sold $660,000 in Mar 2020","Last Sold $270,000 in May 2005", ,House: 3  1  ,Land size: 405 sqm | Building size: 188 sqm
89,72b Regent Street,"Sold $595,000 in Mar 2020", , ,House: ,Land size: 341 sqm
90,29 Laura Avenue,"Sold $586,000 in Mar 2020", , ,House: ,Land size: 771 sqm
91,58 Bailey Street,"Sold $618,000 in 21 Mar 2020(Auction)","Last Sold $260,000 in Sep 2008", ,House: 4  1  1 ,Land size: 665 sqm | Building size: 140 sqm
92,28 Hereford Drive,"Sold $500,000 in Mar 2020", , ,House: 3  2  2 ,Land size: 654 sqm
93,10 Cheryl Crescent,"Sold $520,000 in 14 Mar 2020(Auction)","Last Sold $500,000 in Aug 2018", ,House: 4  2  ,Land size: 532 sqm
94,3 Marjorie Avenue,"Sold $545,000 in 14 Mar 2020(Auction)","Last Sold $173,000 in Mar 2003",Rent $340pw in Jun 2015,House: 3  1  1 ,Land size: 650 sqm
95,90 Bailey Street,"Sold $505,000 in Mar 2020","Last Sold $79,000 in Jul 1988", ,House: 2  1  ,Land size: 665 sqm
96,7 Hill Street,"Sold $710,000 in 14 Mar 2020(Auction)","Last Sold $115,000 in May 2001", ,House: 3  1  2 ,Land size: 652 sqm
97,31 Colac Grove,"Sold $575,500 in Mar 2020","Last Sold $335,000 in Nov 2007", ,House: 3  2  1 ,Land size: 661 sqm
98,75 Oberon Drive,"Sold $520,000 in 14 Mar 2020(Auction)","Last Sold $375,000 in Oct 2012",Rent $390pw in Jun 2020,House: 3  2  2 ,Land size: 760 sqm | Building size: 165 sqm
99,43 Fairbrae Avenue,"Sold $710,000 in Mar 2020", , ,House: ,Land size: 845 sqm
100,69 Roslyn Road,"Sold $595,000 in Mar 2020","Last Sold $325,000 in May 2011",Rent $320pw in Sep 2011,House: 3  1  1 ,Land size: 429 sqm | Building size: 125 sqm
101,43 Kardinia Street,"Sold $667,000 in 07 Mar 2020(Auction)", , ,House: ,Land size: 174 sqm
102,3/33 The Avenue,"Sold $333,500 in Mar 2020","Last Sold $109,000 in Apr 2002", , ,Land size: 173 sqm
103,14 Summit Avenue,"Sold $568,000 in Mar 2020","Last Sold $388,200 in Mar 2015", ,House: 3  2  1 ,Land size: 485 sqm
104,8 Armitage Court,"Sold $565,000 in Mar 2020", , ,House: 3  2  1 ,Land size: 711 sqm
105,12 Hereford Drive,"Sold $575,000 in Mar 2020","Last Sold $107,000 in Jul 2000", ,House: 3  ,Land size: 733 sqm
106,28 Nagle Drive,"Sold $634,500 in 29 Feb 2020(Auction)", ,Rent $420pw in Mar 2020,House: 3  1  2 ,Land size: 651 sqm
107,4 Pavo Street,"Sold $740,000 in 29 Feb 2020(Auction)","Last Sold $528,000 in Sep 2015", ,House: 4  2  5 ,Land size: 663 sqm | Building size: 185 sqm
108,325 High Street,"Sold $470,000 in Feb 2020","Last Sold $86,000 in Sep 1996", ,House: 3  1  1 ,Land size: 589 sqm
109,23 Bailey Street,"Sold $556,000 in 29 Feb 2020(Auction)","Last Sold $252,000 in Jun 2006",Rent $320pw in Jun 2010,House: 3  1  1 ,Land size: 558 sqm
110,55 Marjorie Avenue,"Sold $613,000 in 29 Feb 2020(Auction)","Last Sold $317,000 in Apr 2014",Rent $320pw in Sep 2013,House: 3  1  1 ,Land size: 650 sqm
111,3 Taldra Court,"Sold $635,500 in Feb 2020", , ,House: 4  2  4 ,Land size: 810 sqm
112,6/181 Roslyn Road,"Sold $462,500 in Feb 2020","Last Sold $270,000 in Mar 2015",Rent $370pw in Feb 2019,House: 2  1  1 ,Land size: 162 sqm | Building size: 99 sqm
113,11 Mt Pleasant Road,"Sold $742,000 in Feb 2020","Last Sold $240,000 in Mar 2006", ,House: 2  1  1 ,Land size: 729 sqm
114,28 Dudley Street,"Sold $515,000 in Feb 2020", , ,House: ,Land size: 659 sqm
115,12 Peary Street,"Sold $882,000 in 20 Feb 2020(Auction)","Last Sold $405,000 in Aug 2010",Rent $360pw in Jun 2020,House: 3  2  2 ,Land size: 987 sqm
116,4a Settlement Road,"Sold $408,000 in Feb 2020", , ,House: 2  1  1 , 
117,22 Argyle Street,"Sold $570,000 in Feb 2020","Last Sold $556,500 in Aug 2018(Auction)",Rent $370pw in Jan 2014, ,Land size: 302 sqm
118,4/14 Regent Street,"Sold $390,000 in Feb 2020","Last Sold $269,000 in Oct 2010", , ,Land size: 124 sqm
119,11 Vivian Street,"Sold $570,000 in 15 Feb 2020(Auction)", , ,House: ,Land size: 483 sqm
120,11 View Street,"Sold $706,000 in 15 Feb 2020(Auction)","Last Sold $184,250 in Jan 2002", ,House: 3  2  2 ,Land size: 676 sqm
121,21 James Street,"Sold $537,000 in 14 Feb 2020(Auction)", , ,House: ,Land size: 557 sqm
122,19 The Avenue,"Sold $775,000 in Feb 2020","Last Sold $665,000 in Jul 2017(Auction)", , ,"Land size: 1,000 sqm"
123,2/7 Herd Road,"Sold $640,000 in Feb 2020", , , ,Land size: 238 sqm
124,4 Emerald Court,"Sold $515,000 in Feb 2020","Last Sold $245,000 in Apr 2009",Rent $350pw in Nov 2018,House: 3  1  2 ,Land size: 608 sqm | Building size: 107 sqm
125,12 Herd Road,"Sold $661,000 in 08 Feb 2020(Auction)","Last Sold $216,500 in Apr 2005", ,House: 2  1  1 ,Land size: 665 sqm
126,2/56 Iona Avenue,"Sold $390,000 in Feb 2020","Last Sold $243,750 in Oct 2016",Rent $300pw in Apr 2019, , 
127,14 Johnson Street,"Sold $507,000 in Feb 2020", , ,House: 3  1  2 ,Land size: 242 sqm
128,1/337 High Street,"Sold $348,000 in Feb 2020","Last Sold $215,000 in Mar 2014",Rent $330pw in Apr 2020, ,Land size: 822 sqm
129,1/43 Summit Avenue,"Sold $500,500 in Jan 2020","Last Sold $370,000 in Sep 2016",Rent $450pw in Jun 2019, , 
130,3B Neil Street,"Sold $672,000 in Jan 2020", , , ,Land size: 409 sqm
131,9 Neil Street,"Sold $505,000 in Jan 2020","Last Sold $392,000 in Aug 2015", , ,Land size: 268 sqm
132,1/9 Emerald Court,"Sold $277,000 in Jan 2020", , , ,Land size: 511 sqm
133,2/13-15 Clarke Avenue,"Sold $585,000 in Jan 2020", , , , 
134,25 Roberts Road,"Sold $650,000 in Jan 2020","Last Sold $622,000 in Dec 2017",Rent $330pw in Jul 2018,House: 3  1  2 ,Land size: 790 sqm
135,10 Hawthorn Avenue,"Sold $479,000 in Jan 2020","Last Sold $465,000 in Apr 2018", , ,Land size: 172 sqm
136,7 Highmont Drive,"Sold $445,000 in Dec 2019","Last Sold $345,000 in Mar 2016", ,House: 3  2  1 ,Land size: 706 sqm
137,140A Francis Street,"Sold $360,000 in Dec 2019","Last Sold $305,000 in Jun 2013",Rent $315pw in May 2017,House: 2  1  1 ,Land size: 342 sqm
138,100 Apex Avenue,"Sold $560,000 in 21 Dec 2019(Auction)","Last Sold $350,000 in Nov 2012",Rent $370pw in Nov 2011,House: 3  1  3 ,Land size: 615 sqm
139,41 Barrabool Road,"Sold $695,000 in Dec 2019","Last Sold $345,000 in Aug 2010",Rent $340pw in Nov 2014,House: 3  1  1 ,Land size: 649 sqm
140,1/8 Batman Close,"Sold $638,000 in Dec 2019", , ,House: ,Land size: 395 sqm
141,1/25-27 Roslyn Road,"Sold $410,000 in Dec 2019", ,Rent $185pw in May 2009, ,Land size: 93 sqm
142,3/240 High Street,"Sold $640,000 in Dec 2019", , ,House: 3  2  2 ,Land size: 235 sqm
143,1/145 Roslyn Road,"Sold $380,000 in Dec 2019","Last Sold $235,780 in Dec 2011",Rent $300pw in Dec 2016, ,Land size: 130 sqm | Building size: 73 sqm
144,27 Digby Avenue,"Sold $695,000 in Dec 2019","Last Sold $503,000 in Oct 2016",Rent $400pw in Apr 2015,House: 4  2  1 ,Land size: 716 sqm
145,2/11 Laura Avenue,"Sold $530,000 in Dec 2019","Last Sold $386,000 in Jun 2012", ,House: 2  2  1 ,Land size: 243 sqm | Building size: 111 sqm
146,23 Watson Avenue,"Sold $820,000 in 14 Dec 2019(Auction)","Last Sold $502,000 in Oct 2013",Rent $520pw in Jul 2012,House: 5  2  2 ,Land size: 775 sqm | Building size: 224 sqm
