,address,sold,last sold,rent,house_info,land_size
0,2/105-107 Plantation Road,"Sold $210,000 in Sep 2020","Last Sold $109,000 in Nov 2006", , ,Land size: 98 sqm
1,42 Purnell Road,"Sold $400,000 in Sep 2020", , ,House: 4  1  4 ,Land size: 606 sqm
2,7 Stirling Street,"Sold $475,000 in Sep 2020","Last Sold $380,000 in Apr 2017", ,House: 3  2  2 ,Land size: 704 sqm
3,4 Durham Court,"Sold $460,000 in Sep 2020","Last Sold $400,000 in Dec 2017", ,House: 3  1  4 ,Land size: 844 sqm | Building size: 107 sqm
4,7 Amanda Avenue,"Sold $455,000 in Sep 2020","Last Sold $320,000 in Mar 2012", ,House: 3  2  4 ,Land size: 613 sqm | Building size: 152 sqm
5,4 Norfolk Crescent,"Sold $400,000 in Aug 2020","Last Sold $67,500 in Mar 1990", ,House: 3  1  1 ,Land size: 625 sqm
6,3 Crossley Court,"Sold $471,050 in Aug 2020","Last Sold $265,000 in Nov 2013", ,House: 3  1  5 ,Land size: 646 sqm | Building size: 145 sqm
7,3/11-13 Corangamite Drive,"Sold $310,000 in Aug 2020","Last Sold $170,000 in Jan 2006", , ,Land size: 286 sqm
8,9 Fairbairn Drive,"Sold $310,000 in Aug 2020","Last Sold $230,000 in Sep 2016", ,House: 3  1  4 ,Land size: 626 sqm
9,36 Princess Road,"Sold $405,000 in Aug 2020","Last Sold $185,000 in Feb 2012", ,House: 3  1  1 ,Land size: 541 sqm | Building size: 93 sqm
10,11 Grevillea Avenue,"Sold $380,000 in Aug 2020", , ,House: ,Land size: 632 sqm
11,74 Hendy Street,"Sold $357,000 in Aug 2020", ,Rent $300pw in Apr 2018,House: 3  1  2 ,Land size: 564 sqm
12,18 Leonora Court,"Sold $417,000 in Aug 2020","Last Sold $206,000 in Oct 2004", ,House: 3  2  1 ,Land size: 599 sqm
13,3 Atami Crescent,"Sold $385,000 in Aug 2020","Last Sold $207,500 in Feb 2010", ,House: 3  1  1 ,Land size: 574 sqm
14,108 Goldsworthy Road,"Sold $250,000 in Aug 2020","Last Sold $54,000 in Aug 1986", ,House: 3  1  2 ,Land size: 530 sqm
15,1 Durham Court,"Sold $406,000 in Aug 2020","Last Sold $210,000 in Jun 2012", ,House: 3  1  1 ,Land size: 560 sqm | Building size: 108 sqm
16,1 Tyrrell Close,"Sold $430,000 in Aug 2020","Last Sold $330,000 in Feb 2018", ,House: 3  1  2 ,Land size: 573 sqm
17,46 Kanooka Drive,"Sold $390,000 in Aug 2020","Last Sold $259,000 in Jun 2015", ,House: 3  1  ,Land size: 539 sqm | Building size: 109 sqm
18,2 Montana Court,"Sold $418,000 in Aug 2020","Last Sold $210,000 in Oct 2016", ,House: 3  1  1 ,Land size: 542 sqm
19,1 Tambo Court,"Sold $335,000 in Aug 2020","Last Sold $160,000 in Nov 2014", ,House: 3  1  1 ,Land size: 635 sqm
20,347 Princes Highway,"Sold $372,500 in Jul 2020","Last Sold $295,000 in Nov 2016", ,House: 5  2  1 ,Land size: 557 sqm | Building size: 150 sqm
21,7 Shepherdson Avenue,"Sold $430,000 in Jul 2020","Last Sold $227,500 in Apr 2015", ,House: 3  1  2 ,Land size: 542 sqm | Building size: 115 sqm
22,44 Colorado Drive,"Sold $358,000 in Jul 2020","Last Sold $160,000 in Jun 2005", ,House: 3  1  6 ,Land size: 531 sqm | Building size: 98 sqm
23,4/6-8 Corangamite Drive,"Sold $292,000 in Jul 2020","Last Sold $150,000 in May 2005", , ,Land size: 227 sqm
24,10 Beech Court,"Sold $318,000 in Jul 2020","Last Sold $160,000 in May 2006", ,House: 3  1  3 ,Land size: 606 sqm
25,16 Donax Road,"Sold $530,000 in Jul 2020","Last Sold $297,500 in Mar 2016", ,House: 3  1  1 ,"Land size: 1,114 sqm | Building size: 143 sqm"
26,68 Colorado Drive,"Sold $422,000 in Jul 2020","Last Sold $150,000 in Jan 2005", ,House: 3  1  2 ,Land size: 593 sqm | Building size: 108 sqm
27,9-13 Compass Circuit,"Sold $349,000 in Jul 2020", , , ,Land size: 493 sqm
28,17 Dunraven Court,"Sold $410,000 in Jul 2020","Last Sold $247,500 in Mar 2009", ,House: 3  2  2 ,Land size: 556 sqm | Building size: 152 sqm
29,7 Cardross Court,"Sold $410,000 in Jul 2020","Last Sold $167,000 in Mar 2004", ,House: 3  2  2 ,Land size: 635 sqm
30,19 Harpur Road,"Sold $370,000 in Jul 2020","Last Sold $215,000 in Aug 2014", ,House: 3  1  2 ,Land size: 697 sqm
31,167 Bacchus Marsh Road,"Sold $630,000 in Jul 2020","Last Sold $393,000 in Oct 2015", ,House: 3  1  1 ,"Land size: 1,373 sqm | Building size: 167 sqm"
32,24 Browning Drive,"Sold $390,000 in Jul 2020","Last Sold $64,000 in Aug 1987", ,House: 1  1  2 ,Land size: 566 sqm
33,27 Remington Street,"Sold $380,000 in Jul 2020","Last Sold $262,000 in Apr 2013", ,House: 3  1  1 ,Land size: 556 sqm | Building size: 98 sqm
34,9-11 Compass Circuit,"Sold $349,000 in Jul 2020", , ,House: 2  1  1 , 
35,2 Correa Close,"Sold $440,000 in Jul 2020","Last Sold $300,000 in Jun 2010", ,House: 3  2  2 ,Land size: 560 sqm
36,3 Genista Court,"Sold $600,000 in Jul 2020","Last Sold $470,000 in Nov 2015", ,House: 4  3  2 ,Land size: 666 sqm | Building size: 341 sqm
37,9-11 Sandra Avenue,"Sold $480,000 in Jul 2020", , , ,"Land size: 1,895 sqm"
38,5 Compass Circuit,"Sold $520,000 in Jul 2020", , ,House: ,Land size: 424 sqm
39,19 Wyoming Avenue,"Sold $360,000 in Jul 2020","Last Sold $250,000 in Apr 2017", ,House: 3  1  1 ,Land size: 664 sqm | Building size: 122 sqm
40,24 Kingsley Drive,"Sold $425,000 in Jul 2020","Last Sold $92,000 in May 1991", ,House: 3  1  2 ,Land size: 566 sqm
41,13 Sharland Road,"Sold $420,000 in Jul 2020","Last Sold $360,000 in Nov 2018", ,House: 3  1  2 ,Land size: 627 sqm | Building size: 103 sqm
42,16 Fiona Avenue,"Sold $365,000 in Jul 2020","Last Sold $225,000 in Aug 2010", ,House: 3  1  1 ,Land size: 663 sqm | Building size: 130 sqm
43,20 Michigan Avenue,"Sold $390,000 in Jun 2020", , ,House: ,Land size: 711 sqm
44,42 Carmarthen Drive,"Sold $380,000 in Jun 2020", , ,House: ,Land size: 615 sqm
45,48 Michigan Avenue,"Sold $315,000 in Jun 2020","Last Sold $235,000 in Sep 2016", ,House: 2  1  1 ,Land size: 268 sqm | Building size: 85 sqm
46,14 Fronsac Avenue,"Sold $370,000 in Jun 2020","Last Sold $220,000 in Aug 2016", ,House: 3  1  4 ,Land size: 651 sqm
47,12 Fronsac Avenue,"Sold $370,000 in Jun 2020","Last Sold $220,000 in Aug 2016", ,House: 3  1  4 ,Land size: 651 sqm | Building size: 120 sqm
48,19 Remington Street,"Sold $400,000 in Jun 2020","Last Sold $78,000 in Sep 2000", ,House: 3  2  2 ,Land size: 626 sqm
49,4 Nebraska Court,"Sold $350,000 in Jun 2020","Last Sold $250,000 in Mar 2017", ,House: 3  1  2 ,Land size: 549 sqm | Building size: 108 sqm
50,4 Beech Court,"Sold $343,000 in Jun 2020","Last Sold $90,000 in Sep 2001", ,House: 3  ,Land size: 804 sqm
51,3/273 Princes Highway,"Sold $308,000 in Jun 2020","Last Sold $265,000 in Jan 2018", , ,Land size: 113 sqm
52,1/8-9 Fieldman Court,"Sold $330,000 in Jun 2020","Last Sold $250,000 in Jul 2009", ,Townhouse: 2  1  1 ,Land size: 229 sqm
53,3 Howqua Court,"Sold $370,000 in Jun 2020", , ,House: 3  1  3 ,Land size: 712 sqm
