,address,sold,last sold,rent,house_info,land_size
0,775 Pettavel Road,"Sold $1,400,000 in Aug 2020","Last Sold $445,000 in May 2002", ,House: ,"Land size: 40,328 sqm"
1,535 Pettavel Road,"Sold $1,560,000 in Jul 2020","Last Sold $570,000 in Apr 2005", ,House: 5  2  3 ,"Land size: 42,344 sqm"
2,30 Hardings Road,"Sold $1,675,000 in Oct 2019", , ,House: 4  2  12 ,"Land size: 54,016 sqm"
3,785 Dickins Road,"Sold $1,195,000 in 26 Oct 2019(Auction)", , , ,"Land size: 80,649 sqm"
4,5 Hardings Road,"Sold $1,520,000 in Dec 2018","Last Sold $165,500 in Sep 1984", , ,"Land size: 43,471 sqm"
5,735 Anglesea Road,"Sold $805,000 in Nov 2018","Last Sold $347,000 in Mar 2003",Rent $600pw in Nov 2019,House: 4  1  2 ,"Land size: 19,882 sqm"
6,1120 Anglesea Road,"Sold $1,150,000 in Jul 2018","Last Sold $511,000 in Dec 2005",Rent $650pw in Nov 2019,House: 3  2  2 ,"Land size: 17,665 sqm"
7,455 Dickins Road,"Sold $1,600,000 in Jul 2018","Last Sold $602,500 in Sep 2011", ,House: 4  2  2 ,"Land size: 68,918 sqm"
8,1115 Dickins Road,"Sold $1,600,000 in Jul 2018","Last Sold $570,000 in May 2009", , ,"Land size: 470,388 sqm"
9,900 Mt Duneed Road,"Sold $1,642,000 in Aug 2017", , , ,"Land size: 39,405 sqm"
10,380 Coombes Road,"Sold $1,235,000 in 20 May 2017(Auction)","Last Sold $210,000 in May 1989", , ,"Land size: 89,717 sqm"
11,135 Loutitt Bay Road,"Sold $1,225,000 in Dec 2016","Last Sold $392,500 in Dec 2001", , ,"Land size: 64,489 sqm | Building size: 230 sqm"
12,25 Hardings Road,"Sold $1,200,000 in Nov 2016", , , ,"Land size: 86,805 sqm"
13,510 Loutitt Bay Road,"Sold $1,320,000 in Oct 2016","Last Sold $1,100,000 in May 2007", , ,"Land size: 70,409 sqm"
14,865 Anglesea Road,"Sold $1,390,000 in Apr 2016", , , ,"Land size: 105,600 sqm"
15,605 Mt Duneed Road,"Sold $720,000 in Mar 2016", , , ,"Land size: 56,656 sqm | Building size: 167 sqm"
16,655 Willowite Road,"Sold $870,000 in Oct 2015","Last Sold $580,000 in Jun 2003", ,House: 5  2  4 ,"Land size: 15,016 sqm"
17,1305 Blackgate Road,"Sold $1,075,000 in Oct 2015", , ,House: 3  2  3 ,"Land size: 144,885 sqm"
18,175 Brushfields Road,"Sold $1,250,000 in Oct 2015","Last Sold $750,000 in Dec 2010", , ,"Land size: 555,258 sqm"
19,155 Loutitt Bay Road,"Sold $1,210,000 in Oct 2015","Last Sold $367,000 in May 2003", ,House: 4  3  2 ,"Land size: 90,585 sqm | Building size: 343 sqm"
20,1060 Anglesea Road,"Sold $730,000 in Jul 2015", , ,House: 3  2  2 ,"Land size: 23,232 sqm"
21,55 Woodland Road,"Sold $410,000 in Jun 2015", , , ,"Land size: 844,103 sqm"
22,1185 Black Gate Road,"Sold $1,075,000 in 06 Jun 2015(Auction)", , , ,"Land size: 363,920 sqm"
23,15 Hardings Road,"Sold $1,320,500 in May 2015","Last Sold $320,000 in Mar 1998", ,House: 5  4  3 ,"Land size: 34,398 sqm | Building size: 327 sqm"
24,1395 Blackgate Road,"Sold $1,210,000 in May 2015","Last Sold $380,000 in Apr 1996", ,House: 8  3  16 ,"Land size: 246,818 sqm | Building size: 50 sqm"
25,720 Dickins Road,"Sold $1,100,000 in Apr 2015","Last Sold $85,000 in Oct 1988", , ,"Land size: 46,777 sqm | Building size: 269 sqm"
26,500 Dickins Road,"Sold $1,100,000 in Jan 2015", , , ,"Land size: 37,861 sqm | Building size: 302 sqm"
