,address,sold,last sold,rent,house_info,land_size
0,23 Anglesea Terrace,"Sold $707,000 in Sep 2020", , ,House: 3  1  6 , 
1,8B Britannia Street,"Sold $790,000 in Aug 2020", , , , 
2,31 Catherine Street,"Sold $720,000 in Aug 2020","Last Sold $269,000 in Dec 2002", ,House: 3  ,Land size: 334 sqm
3,32B Wellington Street,"Sold $390,000 in 22 Aug 2020(Auction)", , , ,Land size: 277 sqm
4,79 Isabella Street,"Sold $602,500 in 22 Aug 2020(Auction)", , ,House: ,Land size: 421 sqm
5,5/194 Aberdeen Street,"Sold $280,000 in Aug 2020","Last Sold $231,800 in May 2013",Rent $260pw in Jul 2016, ,Land size: 701 sqm | Building size: 65 sqm
6,30 Maitland Street,"Sold $1,250,000 in Aug 2020","Last Sold $71,000 in Feb 2000", ,House: ,Land size: 473 sqm | Building size: 166 sqm
7,1/108 Gertrude Street,"Sold $373,000 in Aug 2020","Last Sold $320,000 in Sep 2017",Rent $250pw in Dec 2013, ,Land size: 131 sqm
8,51 Albert Street,"Sold $625,000 in Aug 2020","Last Sold $430,000 in Dec 2013",Rent $350pw in Jul 2019,House: 2  1  1 ,Land size: 314 sqm | Building size: 76 sqm
9,1/8 Bowlers Avenue,"Sold $441,500 in Aug 2020","Last Sold $89,000 in Aug 1996", , ,Land size: 130 sqm
10,4 Waratah Street,"Sold $815,000 in Aug 2020", , , ,Land size: 455 sqm
11,87 Isabella Street,"Sold $1,000,000 in Aug 2020","Last Sold $305,000 in Apr 2013(Auction)", ,House: 2  1  1 ,Land size: 558 sqm | Building size: 96 sqm
12,44 Catherine Street,"Sold $600,000 in Aug 2020", ,Rent $325pw in Jul 2013,House: 2  1  1 ,Land size: 283 sqm
13,4/2 Britannia Street,"Sold $535,000 in Aug 2020","Last Sold $453,000 in Jun 2017(Auction)",Rent $410pw in Jan 2019, ,Land size: 205 sqm
14,33a Hope Street,"Sold $644,000 in 25 Jul 2020(Auction)","Last Sold $445,000 in Nov 2015(Auction)",Rent $300pw in Jun 2017,House: 2  1  1 ,Land size: 317 sqm | Building size: 85 sqm
15,47 Elizabeth Street,"Sold $1,195,000 in Jul 2020", , ,House: 4  2  4 ,Land size: 579 sqm
16,9 Weller Street,"Sold $805,000 in Jul 2020","Last Sold $144,500 in Mar 1999",Rent $500pw in Mar 2019,House: 3  1  1 ,Land size: 333 sqm
17,21 Coquette Street,"Sold $665,000 in Jul 2020","Last Sold $605,000 in Nov 2017(Auction)",Rent $400pw in Sep 2018,House: 2  1  2 ,Land size: 339 sqm | Building size: 93 sqm
18,40 Avon Street,"Sold $1,000,000 in Jul 2020","Last Sold $352,500 in Apr 2011(Auction)", ,House: 3  1  1 ,Land size: 466 sqm | Building size: 187 sqm
19,202 Shannon Avenue,"Sold $520,000 in Jul 2020","Last Sold $195,000 in Oct 2004", ,House: 3  1  1 ,Land size: 322 sqm | Building size: 75 sqm
20,2/2 Donaghy Street,"Sold $790,000 in Jul 2020", ,Rent $550pw in Nov 2010,Townhouse: 3  2  2 ,Land size: 260 sqm
21,32B Elizabeth Street,"Sold $560,000 in Jul 2020", ,Rent $395pw in Sep 2019,House: 3  1  1 ,Land size: 312 sqm
22,180 Autumn Street,"Sold $995,000 in 27 Jun 2020(Auction)","Last Sold $101,500 in Aug 1993", ,House: ,Land size: 841 sqm
23,8/48-50 Britannia Street,"Sold $720,000 in Jun 2020", , ,Townhouse: 3  2  2 ,Land size: 234 sqm
24,21 Candover Street,"Sold $767,500 in 20 Jun 2020(Auction)", , ,House: 3  ,Land size: 549 sqm
25,40-42 Potter Street,"Sold $1,155,000 in Jun 2020", , ,House: 4  2  2 ,Land size: 419 sqm
26,67 Waratah Street,"Sold $1,210,000 in Jun 2020","Last Sold $490,000 in Dec 2013", ,House: 3  2  2 ,Land size: 446 sqm
27,142 Autumn Street,"Sold $955,000 in Jun 2020","Last Sold $450,000 in Apr 2006", ,House: 3  1  ,Land size: 515 sqm
28,47 Waratah Street,"Sold $676,000 in Jun 2020", , ,House: 2  1  1 ,Land size: 377 sqm
29,116 Hope Street,"Sold $685,000 in Jun 2020","Last Sold $440,000 in Aug 2009", ,House: 3  2  2 ,Land size: 188 sqm | Building size: 125 sqm
30,112 Aberdeen Street,"Sold $995,000 in May 2020","Last Sold $85,000 in Feb 2000", ,House: 4  3  3 ,Land size: 708 sqm
31,2/114-116 Isabella Street,"Sold $718,500 in May 2020", ,Rent $500pw in Nov 2019,Townhouse: 3  2  2 ,Land size: 156 sqm
32,1/201 Hope Street,"Sold $850,000 in May 2020", , ,Townhouse: ,Land size: 297 sqm
33,13 Crofton Street,"Sold $637,000 in May 2020","Last Sold $227,000 in Aug 2004",Rent $305pw in Dec 2013,House: 3  1  2 ,Land size: 409 sqm | Building size: 97 sqm
34,6 Pizer Street,"Sold $720,000 in May 2020","Last Sold $560,000 in Jul 2015",Rent $475pw in Jul 2019,House: 3  1  1 ,Land size: 283 sqm
35,38 Catherine Street,"Sold $850,000 in May 2020", , ,House: 3  2  1 ,Land size: 284 sqm
36,30 Coquette Street,"Sold $720,000 in 11 May 2020(Auction)","Last Sold $126,500 in Jul 2000", ,House: 3  2  2 ,Land size: 395 sqm
37,8A McNabb Avenue,"Sold $475,000 in May 2020", , ,House: , 
38,23B Elizabeth Street,"Sold $1,410,000 in May 2020", ,"Rent $1,000pw in May 2019",Townhouse: 3  2  4 ,Land size: 510 sqm
39,44 Lawton Avenue,"Sold $934,500 in 27 Apr 2020(Auction)", , ,House: 3  ,Land size: 73 sqm
40,6/40 Britannia Street,"Sold $341,500 in Apr 2020","Last Sold $215,000 in Feb 2011",Rent $130pw in Sep 2004, ,Land size: 60 sqm | Building size: 58 sqm
41,3/139 Weller Street,"Sold $262,500 in Apr 2020","Last Sold $205,000 in Sep 2016",Rent $260pw in May 2020, ,Land size: 118 sqm
42,5 St James Street,"Sold $750,000 in 04 Apr 2020(Auction)","Last Sold $575,000 in Nov 2013(Auction)", ,House: 3  1  2 ,Land size: 594 sqm | Building size: 144 sqm
43,12 Coquette Street,"Sold $572,000 in 24 Mar 2020(Auction)", ,Rent $250pw in Apr 2013,House: 1  1  2 ,Land size: 369 sqm
44,21 French Street,"Sold $850,000 in 21 Mar 2020(Auction)","Last Sold $575,000 in May 2016(Auction)", ,House: 3  2  2 ,Land size: 390 sqm | Building size: 138 sqm
45,1/48 Collins Street,"Sold $645,000 in Mar 2020", ,Rent $480pw in Mar 2020,House: 3  1  2 ,Land size: 311 sqm
46,136 Aberdeen Street,"Sold $770,000 in Mar 2020","Last Sold $580,000 in May 2014",Rent $170pw in Jun 2005,House: 3  1  2 ,Land size: 479 sqm | Building size: 150 sqm
47,141 Hope Street,"Sold $855,000 in Mar 2020","Last Sold $400,000 in Apr 2014",Rent $470pw in Jan 2016,House: 3  1  1 ,Land size: 247 sqm | Building size: 137 sqm
48,3/125 Church Street,"Sold $330,000 in Mar 2020","Last Sold $215,000 in Sep 2010", , ,Land size: 135 sqm
49,35 Gertrude Street,"Sold $685,000 in Mar 2020","Last Sold $612,000 in Oct 2011", ,House: 3  1  2 ,Land size: 446 sqm
50,14 Addis Street,"Sold $780,000 in Mar 2020","Last Sold $165,000 in Jul 2000",Rent $500pw in Apr 2020,House: 3  2  1 ,Land size: 715 sqm
51,6-8 Timms Lane,"Sold $900,000 in Feb 2020", , , , 
52,13 Collins Street,"Sold $676,000 in 26 Feb 2020(Auction)","Last Sold $539,000 in Apr 2014", ,Townhouse: 3  2  2 ,Land size: 161 sqm
53,102 Clarence Street,"Sold $1,115,000 in 22 Feb 2020(Auction)","Last Sold $94,900 in Jun 1994", ,House: 4  1  2 ,Land size: 651 sqm | Building size: 180 sqm
54,3 Arnott Street,"Sold $1,110,000 in 22 Feb 2020(Auction)","Last Sold $891,000 in May 2017(Auction)", ,House: 4  1  2 ,Land size: 485 sqm
55,6 Timms Lane,"Sold $900,000 in Feb 2020", ,Rent $675pw in Apr 2020,House: 3  3  2 ,Land size: 181 sqm
56,16 Raven Street,"Sold $595,000 in Feb 2020","Last Sold $390,000 in Aug 2014",Rent $350pw in Jan 2019, ,Land size: 450 sqm | Building size: 120 sqm
57,114 Elizabeth Street,"Sold $671,000 in 15 Feb 2020(Auction)", , ,House: 3  ,Land size: 451 sqm
58,7/125 Church Street,"Sold $291,000 in Feb 2020","Last Sold $186,000 in Jun 2010",Rent $260pw in Dec 2018, ,Land size: 121 sqm | Building size: 52 sqm
59,59 Oconnell Street,"Sold $1,600,000 in Feb 2020", , , ,Land size: 526 sqm
60,43 French Street,"Sold $657,500 in 04 Feb 2020(Auction)","Last Sold $385,000 in Mar 2014",Rent $370pw in Apr 2013,House: 3  1  2 ,Land size: 390 sqm | Building size: 102 sqm
61,2 Scarlett Street,"Sold $641,000 in 01 Feb 2020(Auction)","Last Sold $128,000 in Nov 2000", ,House: 3  2  ,Land size: 476 sqm
62,59 O'connell Street,"Sold $1,600,000 in Jan 2020","Last Sold $315,000 in May 2009", ,House: 4  ,Land size: 525 sqm
63,3/1-4 Howe Court,"Sold $351,500 in Jan 2020","Last Sold $295,000 in Jun 2015", , ,Land size: 171 sqm
64,43 Preston Street,"Sold $845,000 in Jan 2020","Last Sold $412,000 in Jul 2014",Rent $510pw in Nov 2018,House: 3  1  1 ,Land size: 367 sqm | Building size: 130 sqm
65,116-118 Autumn Street,"Sold $1,300,000 in Jan 2020","Last Sold $708,000 in Apr 2017", ,House: 4  3  2 ,Land size: 522 sqm
66,192 Hope Street,"Sold $660,000 in Jan 2020","Last Sold $505,000 in Mar 2015",Rent $300pw in Aug 2011,House: 3  1  2 ,Land size: 355 sqm | Building size: 128 sqm
67,67 Elizabeth Street,"Sold $750,000 in Dec 2019","Last Sold $450,000 in Aug 2016",Rent $395pw in May 2014,House: 4  2  1 ,Land size: 358 sqm
68,131B Weller Street,"Sold $550,000 in Dec 2019", , ,House: 3  1  1 ,Land size: 380 sqm
69,165 Autumn Street,"Sold $690,000 in Dec 2019","Last Sold $472,000 in Oct 2014",Rent $430pw in Oct 2018,House: 3  1  1 ,Land size: 400 sqm | Building size: 126 sqm
70,49 Wellington Street,"Sold $667,000 in 14 Dec 2019(Auction)", ,Rent $400pw in Mar 2020,House: 3  1  1 ,Land size: 497 sqm
71,28 Candover Street,"Sold $1,255,000 in 14 Dec 2019(Auction)","Last Sold $460,000 in Apr 2015",Rent $660pw in Oct 2017,House: 4  1  1 ,Land size: 444 sqm
72,27 Villamanta Street,"Sold $650,000 in 14 Dec 2019(Auction)","Last Sold $502,000 in Feb 2014(Auction)", ,House: 3  1  2 ,Land size: 376 sqm
73,154 Weller Street,"Sold $700,000 in 14 Dec 2019(Auction)","Last Sold $410,000 in Sep 2011(Auction)", ,House: 3  1  1 ,Land size: 561 sqm
