,address,sold,last sold,rent,house_info,land_size
0,4/44 Myers Street,"Sold $510,000 in Sep 2020", , , , 
1,9 The Esplanade,"Sold $2,375,000 in 29 Aug 2020(Auction)", , ,House: , 
2,158 Garden Street,"Sold $1,240,000 in Aug 2020","Last Sold $155,000 in Aug 2001", ,House: 3  1  1 ,Land size: 667 sqm | Building size: 214 sqm
3,86 Sydney Parade,"Sold $560,000 in 15 Aug 2020(Auction)","Last Sold $65,000 in Mar 1996", ,House: 3  ,Land size: 319 sqm
4,2/52 Mundy Street,"Sold $720,000 in Aug 2020","Last Sold $657,000 in Jan 2016",Rent $500pw in Sep 2014,Townhouse: 5  2  2 ,Land size: 410 sqm
5,144 Corio Street,"Sold $1,325,000 in Aug 2020","Last Sold $675,000 in Oct 2011(Auction)", ,House: 3  1  2 ,Land size: 305 sqm | Building size: 115 sqm
6,158 Kilgour Street,"Sold $855,000 in 25 Jul 2020(Auction)","Last Sold $113,000 in Aug 1991", ,House: 3  1  2 ,Land size: 561 sqm | Building size: 174 sqm
7,1104/18-20 Cavendish Street,"Sold $735,000 in Jul 2020", , , , 
8,91 Swanston Street,"Sold $725,000 in 18 Jul 2020(Auction)","Last Sold $430,000 in Jan 2010",Rent $460pw in Feb 2010,House: 4  1  1 ,Land size: 398 sqm | Building size: 134 sqm
9,404/18-20 Cavendish Street,"Sold $752,500 in Jul 2020", , , , 
10,103/64-66 Eastern Beach Road,"Sold $850,000 in Jul 2020", , , , 
11,2/250 Myers Street,"Sold $440,000 in Jul 2020","Last Sold $305,000 in Jul 2015",Rent $360pw in Aug 2020,Townhouse: 2  1  1 ,Land size: 148 sqm
12,103/64 Eastern Beach Road,"Sold $850,000 in Jul 2020", , , , 
13,5/96 Mercer Street,"Sold $389,000 in Jul 2020","Last Sold $315,000 in Dec 2014",Rent $280pw in Oct 2011, ,Land size: 716 sqm
14,9/50 Eastern Beach Road,"Sold $625,000 in Jun 2020","Last Sold $370,000 in Apr 2009",Rent $360pw in Jan 2018, ,"Land size: 1,187 sqm"
15,614/148 Bellerine Street,"Sold $750,000 in Jun 2020", , , , 
16,2-4 Maud Street,"Sold $595,000 in Jun 2020","Last Sold $145,000 in Feb 2002", ,House: ,Land size: 290 sqm
17,205/146 Bellerine Street,"Sold $540,000 in Jun 2020", , , , 
18,71 Fitzroy Street,"Sold $1,050,000 in 07 May 2020(Auction)","Last Sold $748,500 in Oct 2014(Auction)",Rent $550pw in Feb 2015,House: 4  2  2 ,Land size: 538 sqm | Building size: 192 sqm
