,address,sold,last sold,rent,house_info,land_size
0,25 Burleigh Drive,"Sold $585,000 in Aug 2020","Last Sold $375,000 in Aug 2013", ,House: 3  2  2 ,Land size: 675 sqm | Building size: 184 sqm
1,11 Maramba Avenue,"Sold $615,000 in Aug 2020","Last Sold $399,000 in Sep 2013", ,House: 4  2  1 ,Land size: 624 sqm
2,2 Rau Court,"Sold $595,000 in Aug 2020","Last Sold $540,000 in Aug 2017", ,House: 4  2  2 ,Land size: 727 sqm | Building size: 153 sqm
3,5 Barry Court,"Sold $540,000 in Aug 2020","Last Sold $403,000 in Dec 2015", ,House: 3  2  2 ,Land size: 511 sqm | Building size: 180 sqm
4,8 Langham Court,"Sold $480,000 in Aug 2020", , ,House: 3  1  2 ,Land size: 714 sqm
5,14 Carnarvon Drive,"Sold $518,000 in Aug 2020","Last Sold $75,000 in Apr 1985", ,House: 3  3  1 ,Land size: 577 sqm
6,135 Grove Road,"Sold $715,000 in 01 Aug 2020(Auction)", , ,House: ,"Land size: 1,324 sqm"
7,62 Smith Street,"Sold $567,000 in Jul 2020","Last Sold $405,000 in Oct 2014", ,House: 4  2  2 ,Land size: 583 sqm | Building size: 167 sqm
8,1/9 Rubens Court,"Sold $385,000 in Jul 2020", , , ,Land size: 259 sqm
9,2/155 Heyers Road,"Sold $495,000 in Jul 2020","Last Sold $370,000 in Jan 2014", , ,Land size: 359 sqm | Building size: 116 sqm
10,43 Greenville Drive,"Sold $520,000 in Jul 2020","Last Sold $415,000 in Jun 2017", ,House: 3  1  6 ,Land size: 680 sqm
11,2 Elinbank Drive,"Sold $490,000 in Jul 2020","Last Sold $240,000 in Dec 2008", ,House: 3  2  2 ,Land size: 601 sqm | Building size: 128 sqm
12,1 Torres Court,"Sold $412,000 in Jul 2020","Last Sold $331,000 in May 2016", ,House: 3  2  2 ,Land size: 640 sqm
13,8 Eldine Court,"Sold $525,000 in Jul 2020","Last Sold $310,000 in May 2011", ,House: 3  2  2 ,Land size: 694 sqm
14,27 Carstairs Close,"Sold $451,000 in Jul 2020","Last Sold $300,000 in Jun 2011", ,House: 3  1  1 ,Land size: 406 sqm | Building size: 100 sqm
15,1/13 Matthews Street,"Sold $475,000 in Jul 2020","Last Sold $341,000 in Apr 2012", ,House: 3  2  2 ,Land size: 317 sqm | Building size: 127 sqm
16,1/293 Torquay Road,"Sold $350,000 in Jul 2020","Last Sold $265,000 in Feb 2000", ,Townhouse: 2  1  1 ,Land size: 227 sqm | Building size: 84 sqm
17,8 Binalong Court,"Sold $545,500 in Jul 2020", , ,House: ,Land size: 597 sqm
18,11 Coventry Court,"Sold $473,000 in Jul 2020","Last Sold $213,000 in Jul 2003", ,House: 4  1  2 ,Land size: 822 sqm
19,27 Beringa Avenue,"Sold $510,000 in Jul 2020","Last Sold $336,000 in Apr 2015", ,House: 3  2  3 ,Land size: 630 sqm
