,address,sold,last sold,rent,house_info,land_size
0,4/56 Hennessy Avenue,"Sold $290,000 in Aug 2020", , , , 
1,4/16 Stafford Street,"Sold $250,000 in Aug 2020","Last Sold $166,500 in Nov 2009", , ,Land size: 68 sqm
2,3 Karoomba Avenue,"Sold $562,000 in Aug 2020","Last Sold $87,500 in Apr 1995", ,House: 3  1  4 ,Land size: 771 sqm
3,9 Bonview Avenue,"Sold $760,000 in Aug 2020","Last Sold $416,000 in Nov 2013", ,House: 4  2  3 ,Land size: 725 sqm | Building size: 178 sqm
4,3/19 Wirksworth Street,"Sold $240,000 in Aug 2020", ,Rent $180pw in May 2016, ,Land size: 560 sqm
5,6 Panorama Road,"Sold $600,000 in Aug 2020","Last Sold $60,500 in May 1987", ,House: 3  1  1 ,Land size: 580 sqm
6,28 Cole Street,"Sold $530,000 in Aug 2020","Last Sold $342,500 in Jun 2012", ,House: 3  2  2 ,Land size: 305 sqm
7,19 Karoomba Avenue,"Sold $764,000 in Jul 2020","Last Sold $640,000 in Jun 2017(Auction)", ,House: 3  1  1 ,Land size: 877 sqm
8,21 Ashbourne Street,"Sold $631,000 in 04 Jul 2020(Auction)", , ,House: ,Land size: 729 sqm
9,40 Hennessy Avenue,"Sold $587,000 in Jun 2020","Last Sold $105,000 in Sep 1998", ,House: 3  1  1 ,Land size: 604 sqm
10,2 Muxworthy Avenue,"Sold $530,000 in Jun 2020","Last Sold $310,000 in May 2012(Auction)", ,House: 3  1  1 ,Land size: 286 sqm
11,3/36 Heytesbury Street,"Sold $721,500 in Jun 2020", , , ,Land size: 212 sqm
12,5 Bakewell Street,"Sold $715,000 in Jun 2020", , ,House: 3  1  1 ,Land size: 609 sqm
13,136 McCurdy Road,"Sold $340,000 in Jun 2020","Last Sold $310,000 in Apr 2018", , ,Land size: 618 sqm
14,48 Maurice Street,"Sold $565,000 in May 2020","Last Sold $556,400 in Oct 2018", ,House: 3  1  4 ,Land size: 675 sqm
15,12 Edinburgh Avenue,"Sold $645,000 in May 2020","Last Sold $525,000 in Jan 2010", ,House: 3  ,Land size: 581 sqm
16,7 Muxworthy Avenue,"Sold $780,000 in May 2020","Last Sold $238,000 in Jan 2007", ,House: 4  1  2 ,Land size: 511 sqm | Building size: 140 sqm
17,57 Itkeston Street,"Sold $651,000 in May 2020","Last Sold $255,000 in Dec 2006", ,House: 3  1  2 ,Land size: 532 sqm | Building size: 128 sqm
18,35 Maurice Street,"Sold $515,000 in May 2020","Last Sold $268,000 in Jun 2010", ,House: 2  1  2 ,Land size: 664 sqm
19,3/26 Fraser Street,"Sold $275,000 in May 2020","Last Sold $157,000 in Aug 2015", , ,Land size: 76 sqm
20,41 Rix Street,"Sold $580,000 in Apr 2020","Last Sold $420,000 in Mar 2016", ,House: 4  1  2 ,Land size: 437 sqm | Building size: 150 sqm
21,5 Marlborough Street,"Sold $580,000 in Apr 2020","Last Sold $428,100 in Jan 2016", ,House: 3  2  2 ,Land size: 466 sqm
22,13 Derby Road,"Sold $465,000 in 21 Mar 2020(Auction)", , ,House: ,Land size: 618 sqm
23,1 Norwood Street,"Sold $650,000 in Mar 2020","Last Sold $306,000 in Mar 2010", ,House: 3  1  4 ,Land size: 556 sqm | Building size: 110 sqm
24,1/376 Autumn Street,"Sold $419,000 in 14 Mar 2020(Auction)","Last Sold $169,000 in Nov 2008", , ,Land size: 98 sqm
25,4/20 Heytesbury Street,"Sold $265,000 in Mar 2020", , , ,Land size: 768 sqm
26,3/81 Heytesbury Street,"Sold $269,000 in Feb 2020","Last Sold $195,000 in May 2012", , ,Land size: 80 sqm
27,52 Itkeston Street,"Sold $525,000 in 22 Feb 2020(Auction)", , ,House: ,Land size: 608 sqm
28,19 Ashbourne Street,"Sold $640,000 in 22 Feb 2020(Auction)", , ,House: ,Land size: 731 sqm
29,43 Rix Street,"Sold $645,000 in 25 Jan 2020(Auction)","Last Sold $397,000 in Feb 2018(Auction)", ,House: 2  1  1 ,Land size: 432 sqm
30,2/126 McCurdy Road,"Sold $490,000 in Jan 2020", , ,Townhouse: 3  1  1 ,Land size: 261 sqm
31,4 Azilemot Avenue,"Sold $475,000 in Jan 2020","Last Sold $390,000 in Nov 2015(Auction)", ,House: 3  1  6 ,Land size: 429 sqm | Building size: 98 sqm
32,26 Castleton Road,"Sold $605,000 in Jan 2020","Last Sold $96,500 in Aug 1992", ,House: ,Land size: 697 sqm
33,1/42 Itkeston Street,"Sold $500,000 in Jan 2020", ,Rent $400pw in Aug 2019,House: 3  1  1 ,Land size: 345 sqm
34,251 Church Street,"Sold $520,000 in Jan 2020","Last Sold $143,000 in Sep 2001", ,House: 3  1  2 ,Land size: 579 sqm
35,13 Maurice Street,"Sold $505,000 in Dec 2019","Last Sold $290,000 in Dec 2012", , ,Land size: 678 sqm | Building size: 90 sqm
36,71 Graylea Avenue,"Sold $410,000 in Dec 2019", , , ,Land size: 614 sqm
37,15 Staverly Road,"Sold $495,000 in 14 Dec 2019(Auction)", , ,House: ,Land size: 538 sqm
38,316 Autumn Street,"Sold $700,000 in 14 Dec 2019(Auction)", , ,House: ,Land size: 713 sqm
39,36 Maurice Street,"Sold $723,000 in Dec 2019","Last Sold $218,000 in May 2006", ,House: 3  1  1 ,Land size: 664 sqm | Building size: 185 sqm
40,130 Mccurdy Road,"Sold $440,000 in Dec 2019","Last Sold $300,000 in Feb 2016", ,House: 3  1  1 ,Land size: 622 sqm
41,33 McCurdy Road,"Sold $590,000 in Nov 2019","Last Sold $485,000 in May 2016", ,House: 3  2  2 ,Land size: 25 sqm
42,5 Ashbourne Street,"Sold $400,000 in Nov 2019","Last Sold $155,000 in Nov 2003", ,House: 3  1  1 ,Land size: 672 sqm
43,21 Bakewell Street,"Sold $520,000 in Nov 2019","Last Sold $109,000 in Sep 1998", ,House: 3  1  2 ,Land size: 731 sqm
44,7 Ashbourne Street,"Sold $445,000 in Nov 2019", , ,House: 3  1  1 ,Land size: 671 sqm
45,6/368 Autumn Street,"Sold $291,290 in 21 Nov 2019(Auction)","Last Sold $180,000 in Feb 2000", , ,Land size: 84 sqm
46,8/368-372 Autumn Street,"Sold $290,000 in Nov 2019","Last Sold $242,000 in Jul 2016", , ,Land size: 81 sqm
47,64 Graylea Avenue,"Sold $636,000 in 16 Nov 2019(Auction)","Last Sold $385,000 in Oct 2015", ,House: 4  2  1 ,Land size: 581 sqm
48,4 Perry Court,"Sold $602,500 in 06 Nov 2019(Auction)","Last Sold $82,000 in Apr 1997", ,House: 3  1  2 ,Land size: 713 sqm
49,7 Derby Road,"Sold $530,000 in Nov 2019","Last Sold $360,000 in Sep 2010", ,House: 3  2  2 ,Land size: 530 sqm
50,2/40 Maurice Street,"Sold $520,000 in Oct 2019", , ,Townhouse: 3  2  2 ,Land size: 204 sqm
51,22 Panorama Road,"Sold $560,000 in Oct 2019","Last Sold $350,000 in Dec 2014(Auction)", ,House: 3  1  1 ,Land size: 656 sqm
52,2/15 Maurice Street,"Sold $680,000 in Oct 2019", , ,House: 3  2  2 ,Land size: 179 sqm
53,2/39 Graylea Avenue,"Sold $295,000 in Oct 2019","Last Sold $210,000 in May 2013", ,House: 2  1  1 ,Land size: 178 sqm
54,8 Muxworthy Avenue,"Sold $585,000 in Oct 2019", , ,House: ,Land size: 514 sqm
55,145 Minerva Road,"Sold $612,500 in Oct 2019","Last Sold $288,000 in Mar 2013(Auction)", ,House: 3  1  1 ,Land size: 393 sqm | Building size: 123 sqm
56,19 Maurice Street,"Sold $510,000 in Oct 2019","Last Sold $170,000 in Oct 2003", ,House: 3  1  1 ,Land size: 660 sqm | Building size: 130 sqm
57,6/14-16 Hennessy Avenue,"Sold $255,000 in Sep 2019","Last Sold $190,000 in Sep 2012", , ,Land size: 110 sqm
58,7 Beckley Street,"Sold $555,000 in 21 Sep 2019(Auction)","Last Sold $352,500 in Mar 2013", ,House: 3  1  2 ,Land size: 589 sqm
59,24 Matlock Street,"Sold $510,000 in Sep 2019","Last Sold $340,000 in Sep 2014", ,House: 4  2  1 ,Land size: 483 sqm | Building size: 174 sqm
60,14 Dundas Street,"Sold $380,000 in Aug 2019","Last Sold $69,950 in Mar 2000", ,House: 3  1  1 ,Land size: 530 sqm
61,360 Autumn Street,"Sold $750,000 in Aug 2019","Last Sold $155,000 in Aug 1994", ,House: 4  2  2 ,"Land size: 1,348 sqm | Building size: 250 sqm"
62,54 Heytesbury Street,"Sold $441,000 in Aug 2019", , ,House: 3  1  2 ,Land size: 523 sqm
63,5/16 Stafford Street,"Sold $240,000 in Aug 2019","Last Sold $170,000 in May 2010", , ,Land size: 68 sqm | Building size: 68 sqm
64,70 McCurdy Road,"Sold $370,000 in Jul 2019", , , , 
65,13 Great Britain Street,"Sold $540,000 in Jul 2019","Last Sold $295,000 in Nov 2011", ,House: 3  1  1 ,Land size: 601 sqm | Building size: 94 sqm
66,2 Grace Court,"Sold $593,222 in Jul 2019","Last Sold $54,000 in Feb 2000", ,House: 5  3  8 ,Land size: 807 sqm | Building size: 164 sqm
67,7 Finchaven Street,"Sold $315,000 in Jul 2019","Last Sold $295,000 in Jul 2009", ,House: 3  1  1 ,Land size: 373 sqm
68,118 McCurdy Road,"Sold $595,000 in Jul 2019", , ,House: 3  2  3 ,Land size: 617 sqm
69,72 McCurdy Road,"Sold $430,000 in Jul 2019", , ,House: 3  1  1 , 
70,5 Cole Street,"Sold $485,000 in Jul 2019","Last Sold $453,000 in Apr 2017(Auction)", ,House: 3  1  1 ,Land size: 352 sqm
71,1/30 Matlock Street,"Sold $290,000 in Jul 2019","Last Sold $245,000 in Aug 2016", , ,Land size: 77 sqm
72,34 Heytesbury Street,"Sold $520,000 in Jul 2019", , ,House: 4  2  1 ,Land size: 787 sqm
73,46 Heytesbury Street,"Sold $415,000 in Jun 2019","Last Sold $307,000 in Apr 2014", ,House: 2  1  1 ,Land size: 453 sqm | Building size: 84 sqm
74,35 Finchaven Street,"Sold $570,000 in May 2019", , ,House: 3  1  3 ,Land size: 686 sqm
