,address,sold,last sold,rent,house_info,land_size
0,4/15-16 Jewell Place,"Sold $610,000 in Aug 2020","Last Sold $370,000 in Apr 2008", ,House: ,Land size: 419 sqm
1,161 Mt Pleasant Road,"Sold $745,000 in Aug 2020","Last Sold $210,000 in Sep 2000", ,House: 3  2  2 ,Land size: 595 sqm
2,28B Victory Way,"Sold $540,000 in Aug 2020", ,Rent $480pw in Aug 2020, , 
3,90 Leigh Road,"Sold $825,000 in Aug 2020","Last Sold $177,000 in Jun 2009", , ,Land size: 704 sqm
4,20 Moreton Bay Drive,"Sold $490,000 in Aug 2020","Last Sold $365,000 in Oct 2013",Rent $260pw in Oct 2012,House: 3  1  1 ,Land size: 612 sqm
5,3/165 Barrabool Road,"Sold $428,000 in Aug 2020","Last Sold $270,000 in Oct 2014",Rent $350pw in Aug 2020, ,Land size: 176 sqm
6,16 Amberley Court,"Sold $910,000 in Aug 2020","Last Sold $545,000 in Apr 2010",Rent $420pw in Jan 2009,House: 4  2  2 ,"Land size: 1,003 sqm"
7,126 South Valley Road,"Sold $450,000 in Aug 2020","Last Sold $97,500 in Jun 2004", ,House: 3  1  1 ,Land size: 669 sqm | Building size: 149 sqm
8,5 Lambhill Crescent,"Sold $612,000 in Aug 2020", , ,House: 3  1  1 ,Land size: 701 sqm
9,6 Torulosa Court,"Sold $660,000 in Aug 2020","Last Sold $495,000 in Oct 2017(Auction)",Rent $480pw in Dec 2019,House: 3  1  1 ,Land size: 614 sqm
10,7 Stoneleigh Crescent,"Sold $360,000 in Aug 2020","Last Sold $165,000 in Jul 2013", , ,Land size: 754 sqm | Building size: 318 sqm
11,4/29 Hutcheson Avenue,"Sold $520,000 in Aug 2020","Last Sold $135,000 in Jan 1994", , ,Land size: 107 sqm
12,49 Leigh Road,"Sold $680,000 in Aug 2020","Last Sold $65,000 in Jul 2001", , ,Land size: 472 sqm
13,6 Vanessa Avenue,"Sold $490,000 in Aug 2020", , , ,Land size: 890 sqm
