,address,sold,last sold,rent,house_info,land_size
0,938 Manzeene Village,"Sold $275,000 in Sep 2020", , , , 
1,29 Canterbury Road,"Sold $635,000 in Sep 2020", , ,House: 4  2  4 , 
2,28B Station Lake Road,"Sold $410,000 in Aug 2020","Last Sold $275,000 in Mar 2015",Rent $300pw in Apr 2017,House: 3  1  2 ,Land size: 476 sqm
3,20 Lapwing Drive,"Sold $537,500 in Aug 2020","Last Sold $173,000 in May 2013", ,House: 2  2 ,Land size: 434 sqm | Building size: 156 sqm
4,5 Callistemon Circuit,"Sold $243,900 in Aug 2020", , , , 
5,20 Wathaurong Drive,"Sold $620,000 in Aug 2020", , ,House: , 
6,(Lot 821) 18 Floret Drive,"Sold $265,000 in Aug 2020", , , , 
7,110 Canterbury Road West,"Sold $483,000 in Aug 2020","Last Sold $178,000 in Sep 2012", , ,Land size: 480 sqm
8,38 Smeaton Close,"Sold $545,000 in Aug 2020","Last Sold $339,000 in Jul 2015", ,House: 3  2  3 ,Land size: 860 sqm
9,18 Pelican Way,"Sold $810,000 in Aug 2020","Last Sold $199,000 in Jun 2014", ,House: ,Land size: 669 sqm
10,41 Nankeen Avenue,"Sold $880,000 in Aug 2020","Last Sold $245,000 in Nov 2011", , ,"Land size: 1,056 sqm | Building size: 320 sqm"
11,"15 Canterbury Road, East","Sold $377,000 in Aug 2020", , , , 
12,15 Canterbury Road East,"Sold $377,000 in Aug 2020", , ,House: 3  1  2 , 
13,17 Bath Street,"Sold $625,000 in Aug 2020","Last Sold $480,000 in Sep 2010", ,House: 4  2  2 ,Land size: 669 sqm | Building size: 251 sqm
14,28-30 Brolga Way,"Sold $600,000 in Aug 2020", , , ,Land size: 502 sqm
15,142 Canterbury Road West,"Sold $552,500 in Aug 2020","Last Sold $395,000 in Dec 2016",Rent $420pw in Oct 2017,House: 3  2  2 ,Land size: 626 sqm | Building size: 118 sqm
16,73 Station Lake Road,"Sold $585,000 in 11 Aug 2020(Auction)","Last Sold $132,000 in Aug 1992", ,House: 4  ,Land size: 703 sqm
17,52 Lara Boulevard,"Sold $850,000 in 10 Aug 2020(Auction)","Last Sold $63,000 in Aug 2000", , ,Land size: 606 sqm | Building size: 312 sqm
18,495 Bacchus Marsh Road,"Sold $1,150,000 in Aug 2020","Last Sold $410,000 in Nov 2007", ,House: 3  2  3 ,"Land size: 17,472 sqm | Building size: 126 sqm"
19,147 Rennie Street,"Sold $430,000 in Aug 2020", , ,House: 3  1  1 ,Land size: 726 sqm
20,40 Forest Road South,"Sold $455,000 in Aug 2020","Last Sold $320,000 in Dec 2016",Rent $360pw in Oct 2018,House: 3  1  2 ,Land size: 797 sqm
21,116 Mcclelland Avenue,"Sold $385,000 in Aug 2020", , , , 
22,4 Mark Street,"Sold $488,000 in Aug 2020","Last Sold $349,000 in Nov 2016", ,House: 3  1  2 ,Land size: 646 sqm | Building size: 100 sqm
23,3 Franco Place,"Sold $633,000 in Aug 2020", , ,House: 5  2  2 ,Land size: 856 sqm
24,1b Teal Street,"Sold $500,000 in Aug 2020","Last Sold $450,000 in Jan 2019", ,House: 3  2  2 ,Land size: 271 sqm
25,7 Canterbury Road West,"Sold $585,000 in Aug 2020", , ,House: 4  2  3 , 
26,12 Reliance Avenue,"Sold $600,000 in Jul 2020","Last Sold $500,000 in Aug 2015", ,House: 3  2  2 ,Land size: 955 sqm
27,22 Caddys Road,"Sold $960,000 in Jul 2020", , ,House: 4  2  4 ,Land size: 989 sqm
28,180 Canterbury Road West,"Sold $580,000 in Jul 2020","Last Sold $168,000 in Jul 2011", ,House: ,Land size: 510 sqm | Building size: 179 sqm
29,22 Henderson Drive,"Sold $500,000 in Jul 2020","Last Sold $470,000 in Aug 2018",Rent $390pw in Jul 2019,House: 3  1  3 ,Land size: 650 sqm
30,92b Eastlakes Boulevard,"Sold $555,000 in 21 Jul 2020(Auction)","Last Sold $200,000 in Mar 2014", , ,Land size: 524 sqm
31,28 Walkers Road,"Sold $580,000 in Jul 2020","Last Sold $265,000 in Oct 2003", ,House: 4  2  2 ,Land size: 927 sqm
32,60 Mcneill Court,"Sold $1,022,000 in 21 Jul 2020(Auction)","Last Sold $621,500 in Aug 2006", ,House: 4  3  2 ,"Land size: 10,011 sqm"
33,79 Mcclelland Avenue,"Sold $535,000 in Jul 2020","Last Sold $330,000 in Nov 2012", ,House: 3  1  2 ,Land size: 710 sqm
34,8 Cadence Avenue,"Sold $591,000 in Jul 2020", ,Rent $500pw in Feb 2019,House: 4  2  2 ,Land size: 534 sqm
35,35 Grand Lakes Way,"Sold $580,000 in Jul 2020","Last Sold $163,000 in Apr 2010", , ,Land size: 590 sqm
36,1 Blande Court,"Sold $415,000 in Jul 2020","Last Sold $280,000 in Oct 2014", ,House: 3  2  2 ,Land size: 442 sqm
37,45 Houston Road,"Sold $915,000 in Jul 2020","Last Sold $625,000 in May 2012", ,House: 3  3  8 ,"Land size: 18,417 sqm | Building size: 387 sqm"
38,16 Archimedes Avenue,"Sold $465,000 in Jul 2020","Last Sold $300,000 in Sep 2010",Rent $345pw in Dec 2016,House: 3  2  2 ,Land size: 650 sqm
39,1321/1310 Lightwood road,"Sold $240,000 in Jul 2020", , , , 
40,89 Smeaton Close,"Sold $360,000 in Jul 2020","Last Sold $285,000 in Jan 2018", ,House: ,Land size: 656 sqm
41,7 Azalea Street,"Sold $577,500 in Jul 2020", , ,House: ,Land size: 560 sqm
42,13 Weerana Way,"Sold $688,000 in Jul 2020","Last Sold $178,000 in Jan 2012",Rent $490pw in Nov 2017,House: 4  3  2 ,Land size: 576 sqm | Building size: 363 sqm
43,11 Kingfisher Court,"Sold $580,000 in Jul 2020","Last Sold $500,000 in Mar 2017", , ,Land size: 630 sqm | Building size: 197 sqm
44,19 Cameron Crescent,"Sold $550,000 in 04 Jul 2020(Auction)","Last Sold $110,000 in Feb 1992", ,House: 3  2  1 ,Land size: 668 sqm | Building size: 154 sqm
45,170 Minyip Road,"Sold $750,000 in Jul 2020","Last Sold $200,000 in Jul 2006", ,House: ,"Land size: 22,155 sqm"
46,49 Westlakes Boulevard,"Sold $640,000 in Jun 2020", , ,House: ,Land size: 563 sqm
47,4A Martain Avenue,"Sold $452,000 in Jun 2020", ,Rent $370pw in Nov 2018,House: 2  1  1 ,Land size: 257 sqm
48,30 Magpie Close,"Sold $440,000 in Jun 2020","Last Sold $387,000 in Mar 2018(Auction)",Rent $390pw in Jun 2019,House: 3  1  2 ,Land size: 373 sqm | Building size: 111 sqm
