,address,sold,last sold,rent,house_info,land_size
0,1 Trewheela,"Sold $555,000 in Sep 2020", , ,House: 3  2  2 , 
1,263 Autumn Street,"Sold $1,300,000 in Aug 2020","Last Sold $335,000 in Aug 2012",Rent $270pw in Aug 2010,House: 4  1  1 ,Land size: 613 sqm | Building size: 247 sqm
2,5/57 Shannon Avenue,"Sold $255,000 in Jun 2020","Last Sold $218,000 in Apr 2015",Rent $245pw in Sep 2014, ,"Land size: 1,000 sqm"
3,12 Orr Street,"Sold $600,000 in May 2020", , ,House: 3  1  6 ,Land size: 643 sqm
4,3/5 Calder Street,"Sold $510,000 in May 2020","Last Sold $337,000 in May 2007", , ,Land size: 248 sqm
5,21 Volum Street,"Sold $1,500,000 in May 2020","Last Sold $740,000 in Aug 2009(Auction)", ,House: 4  2  4 ,"Land size: 1,068 sqm"
6,3/10 Oliver Street,"Sold $315,000 in Mar 2020","Last Sold $200,000 in Jun 2010",Rent $260pw in Sep 2015,House: 2  1  1 ,Land size: 65 sqm
7,308 Aberdeen Street,"Sold $585,500 in 14 Mar 2020(Auction)","Last Sold $126,000 in Feb 2001", ,House: 2  1  1 ,Land size: 358 sqm
8,14 Roxby Street,"Sold $1,134,500 in Mar 2020","Last Sold $480,000 in Mar 2003", ,House: 3  3  3 ,Land size: 790 sqm
9,41 Strachan Avenue,"Sold $1,437,500 in Mar 2020","Last Sold $895,000 in Oct 2011", ,House: 4  2  2 ,Land size: 941 sqm
10,79 Shannon Avenue,"Sold $660,000 in Feb 2020","Last Sold $345,000 in Dec 2014",Rent $430pw in Jun 2017,House: 4  1  3 ,Land size: 448 sqm | Building size: 154 sqm
11,4/9 Roxby Street,"Sold $382,000 in Feb 2020","Last Sold $245,000 in Nov 2011",Rent $255pw in Oct 2012, ,Land size: 98 sqm
12,64 Wimmera Avenue,"Sold $629,250 in 07 Dec 2019(Auction)", , ,House: ,Land size: 654 sqm
13,3 Malvern Grove,"Sold $940,000 in 30 Nov 2019(Auction)","Last Sold $115,000 in Nov 1994",Rent $450pw in Mar 2016,House: 4  2  1 ,Land size: 641 sqm | Building size: 178 sqm
14,3 Silk Avenue,"Sold $755,000 in 23 Nov 2019(Auction)","Last Sold $475,000 in Nov 2007", ,House: 3  2  2 ,Land size: 324 sqm | Building size: 115 sqm
15,10 Sydenham Avenue,"Sold $691,000 in 09 Nov 2019(Auction)", , ,House: 3  1  1 ,Land size: 703 sqm
16,3/215 Church Street,"Sold $250,000 in 30 Oct 2019(Auction)","Last Sold $185,000 in Mar 2013",Rent $300pw in Nov 2019, ,Land size: 68 sqm
17,273 Autumn Street,"Sold $1,199,000 in 26 Oct 2019(Auction)","Last Sold $392,000 in Jan 2015",Rent $290pw in Aug 2014,House: 3  1  1 ,Land size: 650 sqm | Building size: 195 sqm
18,21 Lascelles Avenue,"Sold $1,205,000 in Oct 2019","Last Sold $1,000,000 in Jun 2018(Auction)", ,House: 4  3  2 ,Land size: 982 sqm
19,13 Girton Crescent,"Sold $840,000 in 22 Oct 2019(Auction)","Last Sold $790,000 in Sep 2018", ,House: 3  1  1 ,Land size: 649 sqm
20,338 Aberdeen Street,"Sold $620,000 in Oct 2019", , ,House: 3  1  1 ,Land size: 663 sqm
21,91 Shannon Avenue,"Sold $660,000 in 14 Sep 2019(Auction)","Last Sold $435,000 in Dec 2014(Auction)",Rent $320pw in Feb 2014,House: 2  1  3 ,Land size: 613 sqm
22,2/6 Strachan Avenue,"Sold $339,000 in Sep 2019","Last Sold $230,000 in Mar 2014",Rent $285pw in Sep 2014, ,Land size: 85 sqm | Building size: 82 sqm
23,7 Lascelles Avenue,"Sold $561,500 in Aug 2019","Last Sold $76,500 in Jun 1996",Rent $350pw in Oct 2019,House: 3  1  1 ,Land size: 483 sqm
24,5/43-45 Sydenham Avenue,"Sold $365,000 in Aug 2019","Last Sold $285,000 in Feb 2011",Rent $330pw in May 2020, ,Land size: 127 sqm
25,5 Philip Street,"Sold $600,000 in Aug 2019", , ,House: 3  1  2 ,Land size: 671 sqm
26,3/362 Aberdeen Street,"Sold $311,000 in Jul 2019","Last Sold $284,000 in Sep 2013",Rent $290pw in Aug 2019,House: 2  1  1 ,Land size: 125 sqm
27,348 Aberdeen Street,"Sold $567,000 in Jul 2019","Last Sold $175,000 in Jun 2002",Rent $220pw in Apr 2007,House: 2  1  1 ,Land size: 672 sqm
28,17 Wimmera Avenue,"Sold $1,225,000 in Jun 2019","Last Sold $875,000 in Nov 2014(Auction)", ,House: 5  2  2 ,Land size: 599 sqm
29,6a Lascelles Avenue,"Sold $632,000 in Jun 2019","Last Sold $309,000 in Dec 2006",Rent $370pw in Dec 2014,House: 3  1  3 ,Land size: 625 sqm
30,5/9 Manifold Street,"Sold $298,000 in Jun 2019","Last Sold $227,500 in Apr 2013",Rent $270pw in May 2013, ,Land size: 64 sqm
31,108 Minerva Road,"Sold $410,000 in May 2019", , , ,Land size: 13 sqm
32,7/197 Church Street,"Sold $218,000 in May 2019", , , ,Land size: 48 sqm
33,130 Minerva Road,"Sold $660,000 in May 2019","Last Sold $265,000 in Feb 2004",Rent $420pw in Apr 2019,House: 3  1  2 ,Land size: 598 sqm
34,3/17 Lascelles Avenue,"Sold $310,000 in May 2019","Last Sold $159,000 in Sep 2004",Rent $300pw in Nov 2018, ,Land size: 75 sqm | Building size: 57 sqm
35,4 Evelyn Street,"Sold $638,000 in 04 May 2019(Auction)", ,Rent $300pw in Jun 2019,House: 2  1  5 ,Land size: 694 sqm
36,35 Lascelles Avenue,"Sold $709,000 in 04 May 2019(Auction)","Last Sold $72,200 in Mar 1985", ,House: 3  1  1 ,Land size: 506 sqm
37,46 Lascelles Avenue,"Sold $690,000 in 23 Mar 2019(Auction)","Last Sold $95,000 in Apr 1991",Rent $400pw in May 2019,House: 3  1  2 ,Land size: 780 sqm
