,address,sold,last sold,rent,house_info,land_size
0,74 Marshalltown Road,"Sold $710,000 in Aug 2020","Last Sold $347,000 in Dec 2005", ,House: 5  ,"Land size: 1,250 sqm"
1,31 Werner Avenue,"Sold $550,000 in Aug 2020","Last Sold $430,000 in Jun 2017", ,House: 4  2  2 ,Land size: 481 sqm | Building size: 173 sqm
2,55 Marshalltown Road,"Sold $445,000 in Aug 2020","Last Sold $265,000 in Mar 2013",Rent $280pw in Aug 2011,House: 2  1  2 ,Land size: 806 sqm
3,8 Esme Court,"Sold $550,000 in Aug 2020","Last Sold $175,000 in Dec 2013", , ,Land size: 536 sqm
4,6 MORETTI Court,"Sold $475,000 in Aug 2020","Last Sold $173,000 in Mar 2016",Rent $380pw in Feb 2017, ,Land size: 303 sqm
5,46-48 Macfarlane Street,"Sold $500,000 in Aug 2020", , ,House: 3  2  2 ,Land size: 502 sqm
6,15 Grove Road,"Sold $445,000 in Aug 2020","Last Sold $130,000 in May 2009", , ,Land size: 450 sqm | Building size: 110 sqm
7,55 Barwarre Road,"Sold $365,000 in Aug 2020","Last Sold $130,000 in Jan 2007", , ,Land size: 665 sqm
8,1 Tamala Avenue,"Sold $485,000 in Jun 2020","Last Sold $261,000 in Jun 2010", ,House: 3  1  2 ,Land size: 666 sqm | Building size: 117 sqm
9,13 Moretti Court,"Sold $510,000 in Jun 2020","Last Sold $179,000 in Mar 2015",Rent $410pw in Sep 2019,House: 4  2  2 ,Land size: 566 sqm
10,10 Tamala Avenue,"Sold $410,000 in Apr 2020","Last Sold $248,150 in Nov 2004",Rent $350pw in Jul 2019,House: 3  1  1 ,Land size: 682 sqm | Building size: 136 sqm
11,35 Orpington Crescent,"Sold $485,000 in Apr 2020","Last Sold $138,000 in Jan 2012", ,House: 4  2  ,Land size: 324 sqm
12,17 Carlina Court,"Sold $510,000 in Mar 2020","Last Sold $179,000 in Apr 2011",Rent $400pw in May 2020, ,Land size: 405 sqm | Building size: 139 sqm
13,4 Nikola Court,"Sold $535,000 in Mar 2020","Last Sold $147,500 in Dec 2009",Rent $435pw in Sep 2019, ,Land size: 492 sqm
14,22 Station Road,"Sold $425,000 in Mar 2020","Last Sold $159,000 in Nov 2011", , ,Land size: 325 sqm
15,2/191 Barwarre Road,"Sold $512,000 in Mar 2020","Last Sold $377,000 in Jan 2017",Rent $400pw in Mar 2020,House: 3  2  2 ,Land size: 411 sqm | Building size: 159 sqm
16,31 Krisanway Drive,"Sold $415,000 in Feb 2020","Last Sold $311,000 in Feb 2016",Rent $320pw in Feb 2018,House: 2  1  1 ,Land size: 331 sqm
17,33 Grove Road,"Sold $435,000 in Jan 2020","Last Sold $295,000 in Jun 2010",Rent $400pw in Jan 2018,House: 3  1  2 ,Land size: 463 sqm
18,12 Orpington Crescent,"Sold $478,000 in Dec 2019", , , ,Land size: 299 sqm
19,11 Basford Court,"Sold $556,000 in Dec 2019","Last Sold $145,000 in Mar 2013", , ,Land size: 475 sqm
20,20 St Cuthberts Court,"Sold $660,000 in Dec 2019","Last Sold $112,500 in Aug 2004", ,House: 4  2  3 ,Land size: 714 sqm | Building size: 245 sqm
21,29 Marvins Place,"Sold $495,000 in Dec 2019","Last Sold $377,500 in Nov 2013",Rent $440pw in Jan 2020,House: 3  2  2 ,Land size: 555 sqm | Building size: 153 sqm
22,17 Mornane Road,"Sold $488,000 in Dec 2019","Last Sold $270,000 in Feb 2000",Rent $360pw in May 2012,House: 3  2  1 ,Land size: 664 sqm | Building size: 142 sqm
23,43 Marshalltown Road,"Sold $450,000 in Nov 2019","Last Sold $295,000 in Oct 2007", ,House: 3  1  1 ,Land size: 633 sqm
24,11-13 ORPINGTON Crescent,"Sold $452,500 in Nov 2019","Last Sold $338,000 in Jan 2015",Rent $385pw in Oct 2017,House: 3  2  1 ,Land size: 300 sqm
25,41 Orpington Crescent,"Sold $485,000 in Oct 2019","Last Sold $138,000 in Jan 2012",Rent $400pw in Apr 2016,House: 4  2  2 ,Land size: 324 sqm
26,22 Drews Road,"Sold $480,000 in Oct 2019", , ,House: 3  2  2 ,Land size: 369 sqm
27,2/344 Barwon Heads Road,"Sold $525,000 in Oct 2019","Last Sold $50,000 in Oct 2007", , ,Land size: 451 sqm
28,123 Barwarre Road,"Sold $460,000 in Oct 2019","Last Sold $132,000 in Apr 2009", ,House: 3  2  2 ,Land size: 419 sqm
