,address,sold,last sold,rent,house_info,land_size
0,23 AVIATION Drive,"Sold $648,000 in Sep 2020","Last Sold $187,900 in Jan 2016", , ,Land size: 448 sqm
1,Lot 734 Chateau Way,"Sold $255,000 in Aug 2020", , , , 
2,Lot 248 Telopea Drive,"Sold $269,000 in Aug 2020", , , , 
3,Lot 244/29 Dobell Street,"Sold $259,000 in Aug 2020", , , , 
4,13 Sovereign Drive,"Sold $610,000 in Aug 2020", , , ,Land size: 504 sqm
5,6 Plenty Walk,"Sold $445,000 in Aug 2020", ,Rent $380pw in Jul 2020,Townhouse: 3  2  2 , 
6,Lot 705 Chateau Way,"Sold $279,500 in Aug 2020", , , , 
7,Lot 197 Grevillea Drive,"Sold $280,000 in Aug 2020", , , , 
8,9 Momentum Drive,"Sold $635,000 in Aug 2020", , , ,Land size: 501 sqm
9,14 Franklin Road,"Sold $650,000 in Aug 2020", , ,House: 4  2  2 ,Land size: 458 sqm
10,Lot 209/4 Exton Place,"Sold $315,000 in Aug 2020", , , , 
11,68 Armstrong Boulevard,"Sold $830,000 in Aug 2020","Last Sold $260,000 in Jan 2016", , ,Land size: 614 sqm
12,Lot 2501/55 Franklin Road,"Sold $281,000 in Jul 2020", , , , 
13,76 Sovereign Drive,"Sold $520,000 in Jul 2020", , ,House: 3  2  1 ,Land size: 255 sqm
14,Lot 136 Grevillea Drive,"Sold $549,000 in Jul 2020", , , , 
15,13 Celadon Parade,"Sold $635,000 in Jul 2020", , ,House: ,Land size: 509 sqm
16,Lot 506/26 Whiteley,"Sold $310,000 in Jul 2020", , , , 
17,Lot 206 Grevillea Drive,"Sold $274,000 in Jul 2020", , , , 
18,Lot 4411 Penderel Avenue,"Sold $358,900 in Jul 2020", , , , 
19,55 Grevillea Drive,"Sold $549,000 in Jul 2020", , ,House: , 
20,10 Celestial Way,"Sold $765,000 in Jul 2020", , ,House: 4  2  2 ,Land size: 350 sqm
21,Lot 126 Grevillea Drive,"Sold $300,000 in Jul 2020", , , , 
22,16-20 Motion Street,"Sold $285,000 in Jun 2020", , , , 
23,Lot 132 Grevillea Drive,"Sold $270,000 in Jun 2020", , , , 
24,4 Roosevelt Road,"Sold $580,000 in Jun 2020", , ,House: 3  2  2 ,Land size: 375 sqm
25,55 Unity Drive,"Sold $640,000 in May 2020", , ,House: 4  2  2 ,Land size: 511 sqm
26,Lot/Lot 3910 Flourish Drive,"Sold $373,500 in May 2020", , , , 
27,15 Hangar Drive,"Sold $620,000 in May 2020", ,Rent $460pw in Jun 2020,House: 3  2  2 ,Land size: 512 sqm
28,23 Galactic Street,"Sold $480,000 in Apr 2020", , , ,Land size: 257 sqm
29,9 SPECTRUM Drive,"Sold $650,000 in Apr 2020","Last Sold $220,900 in Jan 2015", , ,Land size: 511 sqm
30,56 Franklin Road,"Sold $540,000 in Apr 2020", , ,House: 4  2  2 ,Land size: 372 sqm
31,69 Golden Wattle Drive,"Sold $435,000 in Apr 2020","Last Sold $142,900 in Sep 2014", ,House: ,Land size: 292 sqm
32,Lot 218 Correa Street,"Sold $250,000 in Apr 2020", , , , 
33,132 Sovereign Drive,"Sold $566,500 in Mar 2020", , ,House: ,Land size: 261 sqm
34,26 Franklin Road,"Sold $775,000 in Mar 2020", , ,House: 4  2  2 ,Land size: 552 sqm
35,Lot 101/4 Honeyeater Way,"Sold $225,000 in Mar 2020", , , , 
36,3 Energy Place,"Sold $600,000 in Mar 2020", , ,House: 4  2  2 ,Land size: 430 sqm
37,6 LUNAR Street,"Sold $457,000 in Mar 2020","Last Sold $122,900 in Feb 2015", , ,Land size: 244 sqm
38,Lot 184 Citrinus Avenue,"Sold $215,000 in Mar 2020", , , , 
39,Lot 185 Citrinus Avenue,"Sold $220,000 in Mar 2020", , , , 
40,Lot 261 Grevillea Drive,"Sold $220,000 in Mar 2020", , , , 
41,26 Eminence Street,"Sold $498,000 in Mar 2020", , , ,Land size: 346 sqm
42,30 Solstice Street,"Sold $685,000 in Feb 2020", , , ,Land size: 664 sqm
