,address,sold,last sold,rent,house_info,land_size
0,24 Stinton Avenue,"Sold $855,000 in Aug 2020", , ,House: , 
1,13 Churchill Avenue,"Sold $445,000 in 22 Aug 2020(Auction)", , ,House: 3  ,Land size: 360 sqm
2,255 Noble Street,"Sold $1,530,000 in Aug 2020","Last Sold $1,175,000 in Aug 2012", ,House: 4  1  2 ,Land size: 779 sqm | Building size: 300 sqm
3,444 Latrobe Terrace,"Sold $540,000 in Aug 2020", ,Rent $410pw in Oct 2019,Townhouse: 3  1  1 ,Land size: 210 sqm
4,114 Skene Street,"Sold $802,000 in 14 Aug 2020(Auction)","Last Sold $135,000 in Aug 1992", ,House: 2  ,Land size: 439 sqm
5,32 Craigie Road,"Sold $755,000 in Jul 2020","Last Sold $117,000 in Dec 1998",Rent $340pw in Oct 2019,House: 2  1  ,Land size: 741 sqm
6,9/199 Noble Street,"Sold $402,000 in Jul 2020","Last Sold $290,000 in Jul 2015",Rent $295pw in Sep 2013,House: 2  1  1 ,Land size: 93 sqm
7,38 Cook Street,"Sold $890,000 in Jul 2020", , ,House: 4  2  1 ,Land size: 679 sqm
8,25 Ballater Avenue,"Sold $700,000 in 11 Jul 2020(Auction)", , ,House: ,Land size: 717 sqm
9,5 Bosanquet Avenue,"Sold $525,000 in Jul 2020","Last Sold $320,000 in Jun 2008",Rent $390pw in Mar 2020,House: 3  1  1 ,Land size: 746 sqm
10,35 Upper Skene Street,"Sold $1,360,000 in Jul 2020","Last Sold $180,000 in Sep 1998", ,House: 4  2  2 ,Land size: 525 sqm | Building size: 275 sqm
11,36-38 Russell Street,"Sold $1,030,000 in Jul 2020", , ,House: , 
12,14 Sherbourne Terrace,"Sold $486,000 in Jun 2020","Last Sold $265,500 in Mar 2007",Rent $325pw in Apr 2014,House: 3  1  1 ,Land size: 264 sqm
13,185 Aberdeen Street,"Sold $420,000 in Jun 2020","Last Sold $397,500 in May 2018",Rent $300pw in Jul 2018, ,Land size: 357 sqm
14,39 Cumberland Street,"Sold $1,080,000 in Jun 2020","Last Sold $555,000 in Dec 2004",Rent $550pw in Nov 2010,House: 4  2  2 ,Land size: 387 sqm
15,51 Upper Skene Street,"Sold $1,080,000 in Jun 2020","Last Sold $701,600 in Oct 2013",Rent $400pw in Feb 2009,House: 3  2  2 ,Land size: 519 sqm
16,2/251 Noble Street,"Sold $610,000 in Jun 2020","Last Sold $300,000 in Nov 2015(Auction)", ,House: 2  1  1 ,Land size: 137 sqm
17,19 Ardlui Drive,"Sold $1,500,000 in Jun 2020","Last Sold $465,000 in Feb 2011",Rent $450pw in Feb 2011,House: 3  2  2 ,Land size: 725 sqm | Building size: 134 sqm
18,8 Neiley Street,"Sold $810,000 in Jun 2020","Last Sold $372,000 in Jun 2010",Rent $330pw in Apr 2014,House: 3  1  2 ,Land size: 766 sqm
19,3 Marshall Street,"Sold $825,000 in May 2020","Last Sold $600,000 in Mar 2016",Rent $450pw in Aug 2014,House: 4  1  2 ,Land size: 457 sqm
20,86 Aphrasia Street,"Sold $1,630,000 in May 2020","Last Sold $700,000 in Apr 2007", ,House: 3  2  1 ,Land size: 828 sqm
21,3/2 Upper Skene Street,"Sold $580,000 in May 2020","Last Sold $330,000 in Dec 2014",Rent $330pw in Feb 2016,Townhouse: 2  1  2 ,Land size: 144 sqm
22,452-456 Latrobe Terrace,"Sold $1,200,000 in 23 May 2020(Auction)", , ,House: 2  1  , 
23,1/116 Nicholas Street,"Sold $670,000 in May 2020","Last Sold $200,000 in Apr 1999", , ,Land size: 352 sqm
24,Lot 2 Scarsdale-Pitfield Road,"Sold $149,000 in May 2020", , , , 
25,10 Allen Street,"Sold $525,000 in May 2020", ,Rent $440pw in Jan 2019,House: 3  2  2 ,Land size: 287 sqm
26,6 Montmorency Street,"Sold $675,000 in Apr 2020","Last Sold $627,500 in Nov 2015",Rent $400pw in May 2016,House: 4  2  1 ,Land size: 426 sqm | Building size: 195 sqm
27,1/13 Stinton Avenue,"Sold $370,000 in Apr 2020","Last Sold $194,000 in Jul 1998", , ,Land size: 112 sqm
28,45 Roebuck Street,"Sold $1,410,000 in Apr 2020","Last Sold $395,000 in Jul 2004", ,House: 3  1  1 ,Land size: 522 sqm
29,80A Noble Street,"Sold $870,000 in Apr 2020", , ,House: 3  2  2 ,Land size: 273 sqm
30,7/22-26 Craigie Road,"Sold $282,000 in Apr 2020","Last Sold $57,000 in Oct 1994", , ,Land size: 53 sqm
31,33 Stinton Avenue,"Sold $1,061,000 in Mar 2020", , ,House: ,Land size: 501 sqm
32,83 Nicholas Street,"Sold $790,000 in Mar 2020","Last Sold $460,000 in Jan 2011", ,House: 3  1  2 ,Land size: 597 sqm | Building size: 134 sqm
33,361 Autumn Street,"Sold $790,000 in 28 Mar 2020(Auction)","Last Sold $369,000 in Apr 2011", ,House: 3  1  1 ,Land size: 602 sqm
34,7/22 Craigie Road,"Sold $282,000 in Mar 2020","Last Sold $57,000 in Oct 1994", , ,Land size: 53 sqm
35,94 Buckingham Road,"Sold $975,000 in Mar 2020", , ,House: ,Land size: 884 sqm
36,4/28 Upper Skene Street,"Sold $370,000 in 21 Mar 2020(Auction)","Last Sold $173,000 in Oct 2007", , ,Land size: 65 sqm
37,23 Clarke Street,"Sold $555,000 in Mar 2020","Last Sold $430,000 in Jul 2016",Rent $360pw in Nov 2018,House: 2  1  1 ,Land size: 210 sqm
38,32 Aphrasia Street,"Sold $1,430,000 in 19 Mar 2020(Auction)","Last Sold $920,000 in Mar 2011", ,House: 5  1  2 ,Land size: 879 sqm
39,3/11 Elcho Street,"Sold $240,000 in Mar 2020","Last Sold $220,000 in May 2018",Rent $240pw in Nov 2019, ,Land size: 639 sqm
40,14 Camden Road,"Sold $1,610,000 in Mar 2020","Last Sold $1,100,000 in Oct 2015", ,House: 3  3  2 ,Land size: 781 sqm
41,143 Aberdeen Street,"Sold $745,000 in 14 Mar 2020(Auction)","Last Sold $590,000 in Dec 2015",Rent $550pw in Apr 2020,House: 3  1  1 ,Land size: 459 sqm | Building size: 146 sqm
42,6/133 Aberdeen Street,"Sold $439,000 in Mar 2020","Last Sold $270,000 in Aug 2007", ,Townhouse: 2  1  1 ,Land size: 164 sqm
43,70 West Fyans Street,"Sold $610,000 in Mar 2020","Last Sold $286,000 in Jul 2008", ,House: 3  2  ,Land size: 277 sqm | Building size: 122 sqm
44,11 Vista Road,"Sold $935,000 in 29 Feb 2020(Auction)","Last Sold $580,000 in Dec 2012", ,House: 2  1  1 ,"Land size: 1,067 sqm | Building size: 125 sqm"
45,"2, 1 Cairns Avenue","Sold $850,000 in Feb 2020", , , , 
46,Lot 2 1 Cairns Avenue,"Sold $850,000 in Feb 2020", , , , 
47,8 Stephen Street,"Sold $1,140,000 in 22 Feb 2020(Auction)", , ,House: ,Land size: 694 sqm
48,8/2 Aphrasia Street,"Sold $260,500 in Feb 2020","Last Sold $185,000 in Oct 2015",Rent $105pw in Aug 2004, ,Land size: 878 sqm
49,4/16-18 WEST FYANS Street,"Sold $325,000 in Feb 2020","Last Sold $188,500 in Jul 2009",Rent $180pw in Sep 2007,Townhouse: 2  1  1 ,Land size: 79 sqm
50,313 Pakington Street,"Sold $2,400,000 in Feb 2020","Last Sold $790,000 in Aug 2006", , ,Land size: 775 sqm
51,3/35 Marshall Street,"Sold $524,000 in Feb 2020","Last Sold $251,000 in Sep 2006",Rent $295pw in Sep 2017, ,Land size: 235 sqm
52,299 Pitfield-Scarsdale Road,"Sold $380,000 in Feb 2020", , , , 
53,109 Aberdeen Street,"Sold $890,000 in 08 Feb 2020(Auction)","Last Sold $305,000 in Apr 2005",Rent $510pw in Apr 2020,House: 2  1  ,Land size: 543 sqm
54,16 Sharp Street,"Sold $1,170,000 in Feb 2020","Last Sold $815,000 in Jun 2016", ,House: 4  2  3 ,Land size: 870 sqm | Building size: 187 sqm
55,1/62 Bond Street,"Sold $445,000 in Feb 2020","Last Sold $53,000 in Sep 1984", , ,Land size: 109 sqm
56,65 Bond Street,"Sold $615,000 in Feb 2020","Last Sold $410,000 in Feb 2010",Rent $395pw in Apr 2011,House: 2  1  1 ,Land size: 162 sqm
57,32 Mervyn Street,"Sold $1,004,999 in Feb 2020", , ,House: ,Land size: 662 sqm
58,42 Laurel Bank Parade,"Sold $1,560,000 in Feb 2020","Last Sold $838,000 in Dec 2012", ,House: 4  1  1 ,Land size: 511 sqm | Building size: 322 sqm
59,31 Fairview Avenue,"Sold $1,004,999 in Feb 2020","Last Sold $94,500 in Apr 1997", ,House: 3  1  1 ,Land size: 477 sqm
60,5 Queens Road,"Sold $1,335,000 in Jan 2020","Last Sold $800,000 in Oct 2007", ,House: 4  2  2 ,Land size: 901 sqm | Building size: 263 sqm
61,299 Pitfield Scarsdale Road,"Sold $380,000 in Jan 2020", , ,House: 3  1  4 , 
62,Lot 12 Haywards Road,"Sold $210,000 in Jan 2020","Last Sold $160,000 in Jun 2018", , , 
63,Lot 1 Scarsdale Pitfield Road,"Sold $259,000 in Jan 2020", , , , 
64,C/A 1 Scarsdale-Pitfield Road,"Sold $259,000 in Jan 2020", , , , 
65,185 Minerva Road,"Sold $641,500 in Jan 2020","Last Sold $400,000 in Jan 2014", ,House: 3  ,Land size: 591 sqm | Building size: 122 sqm
66,32 Cumberland Street,"Sold $765,000 in Jan 2020","Last Sold $440,000 in May 2012",Rent $350pw in Apr 2014,House: 3  1  1 ,Land size: 256 sqm
67,26 Stinton Avenue,"Sold $1,225,000 in Jan 2020","Last Sold $1,100,000 in Mar 2018",Rent $290pw in Mar 2006,House: 3  2  2 ,Land size: 590 sqm | Building size: 178 sqm
68,6 Chelmsford Avenue,"Sold $650,000 in Dec 2019","Last Sold $345,000 in Mar 2009", ,House: 3  2  2 ,Land size: 317 sqm | Building size: 125 sqm
69,6B Elcho Street,"Sold $765,000 in Dec 2019", ,Rent $650pw in Nov 2019,Townhouse: 4  3  1 ,Land size: 528 sqm
70,113a Noble Street,"Sold $1,450,000 in Dec 2019","Last Sold $1,225,000 in Sep 2012(Auction)", ,House: 5  3  4 ,"Land size: 1,013 sqm"
