,address,sold,last sold,rent,house_info,land_size
0,82 Rose Avenue,"Sold $251,500 in Sep 2020","Last Sold $146,000 in Nov 2008", ,House: 3  1  3 ,Land size: 660 sqm | Building size: 89 sqm
1,36 Peacock Avenue,"Sold $319,000 in Aug 2020", , ,House: ,Land size: 609 sqm
2,12 Peacock Avenue,"Sold $547,000 in Aug 2020","Last Sold $296,000 in Sep 2009", ,House: 4  2  4 ,Land size: 592 sqm
3,18 Gull Street,"Sold $435,000 in Aug 2020","Last Sold $230,000 in Jun 2011", ,House: 4  2  3 ,Land size: 557 sqm | Building size: 131 sqm
4,119 Cox Road,"Sold $265,000 in Aug 2020","Last Sold $190,000 in Oct 2014", ,House: 3  1  1 ,Land size: 616 sqm
5,7 Dove Street,"Sold $475,000 in Aug 2020", , ,House: 4  2  2 ,Land size: 558 sqm
6,126 Princes Highway,"Sold $470,000 in Aug 2020", , ,House: ,Land size: 930 sqm
7,13 Cortina Close,"Sold $390,000 in Aug 2020","Last Sold $225,000 in Dec 2012", ,House: 3  1  1 ,Land size: 538 sqm | Building size: 95 sqm
8,11 Bellbird Avenue,"Sold $290,000 in Aug 2020","Last Sold $152,000 in Jun 2009", ,House: 3  1  1 ,Land size: 557 sqm
9,9 Bingara Avenue,"Sold $376,000 in Aug 2020","Last Sold $251,200 in Nov 2012", ,House: 3  2  2 ,Land size: 628 sqm | Building size: 145 sqm
10,22 Moran Place,"Sold $395,000 in Aug 2020","Last Sold $210,250 in Aug 2007", ,House: 3  1  1 ,Land size: 575 sqm
11,2/33 Camellia Crescent,"Sold $345,000 in Aug 2020", ,Rent $260pw in Aug 2016,Townhouse: 2  2  1 ,Land size: 179 sqm
12,3 Taroonga Court,"Sold $370,000 in Aug 2020","Last Sold $205,000 in Jan 2015", ,House: 3  1  1 ,Land size: 753 sqm
13,145 Sparks Road,"Sold $373,500 in Aug 2020","Last Sold $119,000 in Jul 2007", ,House: 3  1  1 ,Land size: 650 sqm
14,32 Brooks Street,"Sold $395,000 in Aug 2020","Last Sold $227,000 in Oct 2016", ,House: 3  1  2 ,Land size: 577 sqm | Building size: 85 sqm
15,12 Tennyson Street,"Sold $317,000 in Jul 2020", ,Rent $250pw in May 2018,House: 3  1  3 ,Land size: 612 sqm
16,4 Peacock Avenue,"Sold $455,000 in Jul 2020","Last Sold $318,000 in Apr 2010", , ,Land size: 778 sqm | Building size: 139 sqm
17,12 Camfield Road,"Sold $451,799 in Jul 2020","Last Sold $302,500 in Feb 2016", ,House: 4  1  1 ,Land size: 550 sqm | Building size: 139 sqm
18,38 Donnelly Avenue,"Sold $276,000 in Jul 2020","Last Sold $67,000 in Apr 1989", ,House: 1  1  2 ,Land size: 646 sqm
19,1 Tulip Street,"Sold $410,000 in Jul 2020","Last Sold $63,000 in Mar 1994", ,House: ,Land size: 635 sqm
20,40 Olympic Avenue,"Sold $371,000 in Jul 2020", , ,House: 4  1  2 ,Land size: 566 sqm
21,2 Maynooth Drive,"Sold $355,000 in Jul 2020","Last Sold $182,000 in Sep 2007", ,House: 3  1  2 ,Land size: 628 sqm
22,58 Rose Avenue,"Sold $385,000 in Jul 2020","Last Sold $221,000 in Jan 2016", ,House: 2  1  2 ,Land size: 725 sqm | Building size: 92 sqm
23,169 Sparks Road,"Sold $385,000 in Jul 2020","Last Sold $255,000 in Feb 2017", ,House: 3  1  2 ,Land size: 604 sqm | Building size: 101 sqm
24,4 Akma Court,"Sold $392,500 in Jul 2020", , ,House: 2  1  1 ,Land size: 638 sqm
25,51 Station Street,"Sold $385,000 in Jun 2020","Last Sold $239,000 in Feb 2014", ,House: 3  1  3 ,Land size: 811 sqm | Building size: 99 sqm
26,24 Hinton Close,"Sold $385,000 in Jun 2020","Last Sold $250,000 in Mar 2013", ,House: 3  1  3 ,Land size: 592 sqm | Building size: 116 sqm
27,1/28 Warrawee Avenue,"Sold $290,000 in Jun 2020","Last Sold $230,000 in Mar 2019", ,House: 2  1  1 ,Land size: 396 sqm
28,80 Olympic Avenue,"Sold $381,000 in Jun 2020","Last Sold $130,000 in Jan 2015", ,House: 3  1  1 ,Land size: 655 sqm | Building size: 121 sqm
29,9 Page Street,"Sold $420,000 in Jun 2020","Last Sold $210,000 in Jan 2006", ,House: 3  1  3 ,Land size: 581 sqm
30,165 Sparks Road,"Sold $225,000 in Jun 2020","Last Sold $62,000 in May 2001", , ,Land size: 650 sqm
31,23 Warrawee Avenue,"Sold $306,000 in 16 Jun 2020(Auction)","Last Sold $200,000 in May 2012", ,House: 2  1  1 ,Land size: 634 sqm
32,15 Lumeah Street,"Sold $290,000 in Jun 2020","Last Sold $198,000 in Sep 2011", ,House: 3  1  4 ,Land size: 666 sqm
33,11 Kalinga Street,"Sold $372,000 in Jun 2020","Last Sold $370,000 in Feb 2018", ,House: 3  1  1 ,Land size: 653 sqm
34,35 Waitara Grove,"Sold $308,000 in Jun 2020", , ,House: 3  1  2 ,Land size: 641 sqm
35,16 Zinnia Street,"Sold $330,000 in May 2020", , ,House: 3  1  2 ,Land size: 758 sqm
36,26 Donnelly Avenue,"Sold $408,000 in May 2020","Last Sold $77,500 in Apr 1991", ,House: 1  ,Land size: 650 sqm
37,95 Donnybrook Road,"Sold $425,000 in Apr 2020","Last Sold $247,000 in Sep 2006", ,House: 4  2 ,Land size: 616 sqm
