,address,sold,last sold,rent,house_info,land_size
0,4/22 Myrtle Grove,"Sold $526,000 in Aug 2020", ,Rent $400pw in Aug 2018,Townhouse: 3  2  2 ,Land size: 176 sqm
1,14 Seaforth Street,"Sold $355,000 in Apr 2020","Last Sold $70,000 in Nov 1989", ,House: 3  ,Land size: 688 sqm
2,3/51 The Esplanade,"Sold $750,000 in Mar 2020","Last Sold $550,900 in Nov 2008", ,Townhouse: 2  2  2 ,Land size: 265 sqm
3,35 The Esplanade,"Sold $955,000 in Feb 2020", , ,House: 2  1  2 ,Land size: 998 sqm
4,38 Myrtle Grove,"Sold $500,000 in Feb 2020", , ,House: 4  1  3 ,Land size: 307 sqm
5,1/19 Sea Breeze Parade,"Sold $385,000 in Jan 2020","Last Sold $215,000 in May 2008", ,Townhouse: 2  1  1 ,Land size: 263 sqm | Building size: 100 sqm
6,3/32 Myrtle Grove,"Sold $345,000 in Oct 2019","Last Sold $210,000 in Dec 2008", ,House: 2  1  1 ,Land size: 166 sqm
7,9 Phosphate Road,"Sold $500,000 in Aug 2019","Last Sold $290,000 in Jul 2009", ,House: 2  1  3 ,Land size: 740 sqm
8,16 Pine Avenue,"Sold $550,000 in May 2019","Last Sold $287,500 in Sep 2012(Auction)", ,House: 3  1  1 ,Land size: 919 sqm | Building size: 83 sqm
9,17 Seabreeze Parade,"Sold $392,173 in May 2019", ,Rent $310pw in Nov 2019,House: 2  1  1 , 
10,17 Sea Breeze Parade,"Sold $392,173 in 24 May 2019(Auction)","Last Sold $170,000 in Jul 2008", ,House: 2  1  1 ,Land size: 686 sqm | Building size: 96 sqm
11,27 Pine Avenue,"Sold $850,000 in Mar 2019","Last Sold $200,000 in Apr 2003", ,House: 3  2  5 ,"Land size: 1,007 sqm"
12,23 The Esplanade,"Sold $668,300 in Feb 2019", , , ,Land size: 650 sqm
13,33 Seabeach Parade,"Sold $497,000 in Jan 2019","Last Sold $230,000 in Feb 2007", ,House: 4  1  1 ,Land size: 699 sqm | Building size: 145 sqm
14,21 The Esplanade,"Sold $655,000 in Sep 2018", ,Rent $350pw in Dec 2018,House: 2  1  3 ,Land size: 651 sqm
15,1/17 Pine Avenue,"Sold $375,000 in Sep 2018","Last Sold $242,000 in Jun 2010", , ,Land size: 317 sqm
16,3/34 Seaforth Street,"Sold $317,500 in Aug 2018", , , , 
17,47 Sea Breeze Parade,"Sold $160,000 in Aug 2018","Last Sold $75,000 in Mar 2010", , ,Land size: 400 sqm | Building size: 106 sqm
18,2 Seaforth Street,"Sold $481,000 in May 2018", ,Rent $290pw in Oct 2018,House: 3  1  ,Land size: 702 sqm
19,3/36 Myrtle Grove,"Sold $545,000 in Apr 2018","Last Sold $350,000 in Apr 2010", ,House: 3  2  2 ,"Land size: 1,018 sqm"
20,4 Myrtle Grove,"Sold $493,000 in 10 Mar 2018(Auction)","Last Sold $295,000 in Jan 2015", ,House: 3  1  5 ,Land size: 760 sqm | Building size: 105 sqm
21,30 Seaforth Street,"Sold $288,000 in Mar 2018","Last Sold $55,000 in Feb 2000", , ,Land size: 686 sqm
22,2C & D Seabright Street,"Sold $490,000 in Mar 2018", , , ,"Land size: 1,380 sqm | Building size: 323 sqm"
23,4 Pine Avenue,"Sold $631,000 in Feb 2018", ,Rent $460pw in May 2018,House: 4  1  1 ,"Land size: 1,012 sqm"
24,20 Myrtle Grove,"Sold $565,000 in 16 Dec 2017(Auction)","Last Sold $95,000 in Jun 1995", ,House: 3  2  4 ,"Land size: 1,012 sqm"
25,33 The Esplanade,"Sold $1,175,000 in Dec 2017", ,Rent $500pw in Mar 2018,House: 4  3  2 ,"Land size: 1,004 sqm"
26,5 Pine Avenue,"Sold $522,000 in Nov 2017","Last Sold $400,000 in Mar 2016", ,House: 3  2  2 ,Land size: 492 sqm | Building size: 103 sqm
