,address,sold,last sold,rent,house_info,land_size
0,16 Lonsdale Street,"Sold $1,180,000 in Aug 2020","Last Sold $262,500 in May 2001",Rent $300pw in Nov 2009,House: 3  1  2 ,Land size: 487 sqm
1,3/42 Park Crescent,"Sold $425,000 in Aug 2020","Last Sold $155,000 in May 2003",Rent $295pw in Apr 2016, ,Land size: 429 sqm
2,3/42-44 Park Crescent,"Sold $425,000 in Jul 2020", ,Rent $295pw in Apr 2016,House: 2  1  1 , 
3,225 Yarra Street,"Sold $610,000 in Apr 2020","Last Sold $385,000 in Jul 2013", ,House: 3  1  2 ,Land size: 262 sqm | Building size: 107 sqm
4,4/85 Fyans Street,"Sold $255,000 in Mar 2020","Last Sold $190,000 in Jan 2018",Rent $220pw in Oct 2017, ,Land size: 728 sqm
5,111 Fyans Street,"Sold $679,000 in 08 Feb 2020(Auction)","Last Sold $210,000 in Mar 2005",Rent $290pw in May 2015,House: 3  1  2 ,Land size: 650 sqm
6,289 Bellerine Street,"Sold $696,000 in 08 Feb 2020(Auction)","Last Sold $548,500 in Aug 2016",Rent $435pw in Oct 2017,House: 3  2  1 ,Land size: 280 sqm
7,32 Verner Street,"Sold $688,000 in 30 Nov 2019(Auction)","Last Sold $79,000 in Mar 1996", ,House: 3  ,Land size: 483 sqm
8,17 Hopkins Street,"Sold $565,000 in Nov 2019","Last Sold $179,000 in May 1999", ,House: 2  2  2 ,Land size: 213 sqm
9,2a Lonsdale Street,"Sold $702,500 in Sep 2019","Last Sold $664,000 in Apr 2017(Auction)",Rent $470pw in Apr 2018,House: 3  2  1 ,Land size: 122 sqm
10,6 Park Crescent,"Sold $530,000 in 31 Aug 2019(Auction)","Last Sold $62,000 in Mar 1988",Rent $400pw in Nov 2019,House: 3  1  1 ,Land size: 379 sqm
11,14 Foster Street,"Sold $742,000 in Aug 2019","Last Sold $540,000 in May 2012", ,House: 2  1  1 ,Land size: 459 sqm
12,190 Swanston Street,"Sold $710,000 in 17 Aug 2019(Auction)","Last Sold $500,000 in May 2013",Rent $460pw in Sep 2019,House: 3  1  1 ,Land size: 307 sqm | Building size: 118 sqm
