,address,sold,last sold,rent,house_info,land_size
0,69 Grosvenor Drive,"Sold $714,000 in Jul 2020","Last Sold $383,500 in Jul 2009", ,House: 3  2  2 ,Land size: 501 sqm
1,12 Dione Mews,"Sold $712,000 in Jul 2020","Last Sold $635,000 in Aug 2016", ,House: 3  2  2 ,Land size: 380 sqm | Building size: 152 sqm
2,3 Regency Close,"Sold $800,000 in Jul 2020","Last Sold $561,000 in May 2015", ,House: 4  2  2 ,Land size: 933 sqm
3,39 Brownhill Ridge,"Sold $230,000 in May 2020", , , , 
4,5a Canterbury Court,"Sold $540,000 in Apr 2020", ,Rent $480pw in Mar 2019,House: 4  2  2 ,Land size: 292 sqm
5,16 Grosvenor Drive,"Sold $860,000 in Mar 2020","Last Sold $765,000 in Apr 2017", ,House: 4  2  2 ,"Land size: 1,141 sqm"
6,28 Grosvenor Drive,"Sold $980,000 in Feb 2020","Last Sold $85,000 in Feb 2000", , ,"Land size: 1,759 sqm"
7,29 Grosvenor Drive,"Sold $940,000 in Feb 2020","Last Sold $68,000 in Nov 1989", , ,"Land size: 2,495 sqm"
8,3 Pall Ml,"Sold $1,012,000 in Feb 2020", , , , 
9,3 Pall Mall,"Sold $1,012,000 in Feb 2020","Last Sold $590,000 in Sep 2006", ,House: 3  2  4 ,"Land size: 1,316 sqm"
10,30 Grosvenor Drive,"Sold $956,000 in Dec 2019","Last Sold $570,000 in Jul 2012", ,House: 4  2  2 ,"Land size: 1,741 sqm"
11,109 Grosvenor Drive,"Sold $796,500 in Dec 2019","Last Sold $688,000 in May 2016", ,House: 5  2  2 ,"Land size: 1,818 sqm | Building size: 219 sqm"
12,62 Sunderland Road,"Sold $1,360,000 in Nov 2019","Last Sold $76,000 in May 1999", ,House: 4  3  1 ,"Land size: 1,025 sqm"
13,13 Drewan Drive,"Sold $470,000 in Oct 2019", , , ,Land size: 603 sqm
14,2 Canterbury Court,"Sold $500,000 in Oct 2019","Last Sold $68,000 in Feb 1999", , ,Land size: 741 sqm
15,Lot 66A 20-22 Moncrieff Crescent,"Sold $225,900 in Sep 2019", , , , 
16,Lot 22 8 Drewan Drive,"Sold $560,000 in Sep 2019", , , , 
17,Lot 51 Drewan Drive,"Sold $199,900 in Aug 2019", , , , 
18,5B Canterbury Court,"Sold $540,000 in Aug 2019", , ,Townhouse: 3  2  2 ,Land size: 240 sqm
19,60 James Cook Drive,"Sold $910,000 in Jul 2019","Last Sold $720,000 in Jun 2016", ,House: 4  3  7 ,"Land size: 2,212 sqm"
20,15 Sunderland Road,"Sold $555,000 in Jun 2019","Last Sold $418,500 in Dec 2014", ,House: 3  2  2 ,Land size: 375 sqm
21,88 Grosvenor Drive,"Sold $837,000 in May 2019", , ,House: 5  2  2 ,"Land size: 1,062 sqm"
22,63 Grosvenor Drive,"Sold $763,001 in May 2019","Last Sold $587,200 in Aug 2013", ,House: 4  2  2 ,Land size: 737 sqm
