,address,sold,last sold,rent,house_info,land_size
0,6 Tannin Way,"Sold $545,000 in Aug 2020","Last Sold $185,000 in Apr 2011",Rent $410pw in Nov 2014,House: 4  2  2 ,Land size: 524 sqm
1,7 Bollinger Street,"Sold $690,000 in Jun 2020", , ,House: 4  2  3 ,Land size: 536 sqm
2,2-3 Champagne Court,"Sold $1,120,000 in Jun 2020", , ,House: ,"Land size: 1,820 sqm"
3,74 Rossack Drive,"Sold $575,000 in Jun 2020","Last Sold $440,000 in Jun 2015", ,House: 3  2  2 ,Land size: 612 sqm
4,14-15 Chandon Court,"Sold $1,190,000 in May 2020","Last Sold $630,000 in Apr 2012", , ,"Land size: 2,192 sqm"
5,32 Shiraz Drive,"Sold $460,000 in Apr 2020","Last Sold $340,000 in Dec 2014",Rent $340pw in Feb 2016,House: 3  1  1 ,Land size: 356 sqm | Building size: 130 sqm
6,8 CHABLIS Court,"Sold $535,000 in Apr 2020","Last Sold $195,000 in Mar 2016",Rent $640pw in Dec 2017, ,Land size: 419 sqm
7,115 Ghazeepore Road,"Sold $667,000 in Mar 2020","Last Sold $110,000 in Nov 2002", , ,Land size: 949 sqm
8,1 Katelyn Court,"Sold $530,000 in Mar 2020","Last Sold $278,000 in Sep 2005", ,House: 3  2  1 ,Land size: 323 sqm | Building size: 128 sqm
9,18 Chardonnay Court,"Sold $560,000 in Mar 2020","Last Sold $93,000 in May 2003",Rent $440pw in Mar 2020, ,Land size: 452 sqm
10,51 Oakwood Crescent,"Sold $480,000 in Mar 2020","Last Sold $320,000 in Nov 2009", ,House: 3  2  1 ,Land size: 313 sqm
11,1/14 Ghazeepore Road,"Sold $525,000 in Mar 2020", ,Rent $420pw in Mar 2018, ,Land size: 777 sqm
12,17 Tree Street,"Sold $575,500 in Feb 2020","Last Sold $380,000 in Feb 2014", ,House: 3  2  2 ,Land size: 399 sqm
13,30 Ironbark Street,"Sold $675,000 in Jan 2020","Last Sold $138,000 in Mar 2006",Rent $480pw in Feb 2020, ,Land size: 583 sqm
14,15 Monterey Drive,"Sold $710,000 in Dec 2019", , ,House: ,Land size: 674 sqm
15,88 Ghazeepore Road,"Sold $610,000 in Dec 2019","Last Sold $115,000 in Feb 2000",Rent $450pw in Nov 2016,House: 4  2  2 ,Land size: 776 sqm | Building size: 186 sqm
16,4 Merlot Street,"Sold $630,500 in Dec 2019","Last Sold $495,000 in Jan 2018", ,House: 3  2  2 ,Land size: 480 sqm
17,8 Mumm Street,"Sold $550,000 in Dec 2019", , ,House: ,Land size: 578 sqm
18,3/14 Ghazeepore Road,"Sold $490,000 in Dec 2019","Last Sold $62,500 in Aug 1998",Rent $650pw in Jan 2020, ,"Land size: 2,193 sqm | Building size: 150 sqm"
19,15 Cabernet Court,"Sold $671,000 in Dec 2019", , ,House: 3  2  1 ,Land size: 678 sqm
20,43 Tannin Way,"Sold $520,000 in Nov 2019","Last Sold $180,000 in Jun 2012",Rent $400pw in Aug 2017, ,Land size: 457 sqm | Building size: 124 sqm
21,35 Burgundy Drive,"Sold $685,000 in Nov 2019","Last Sold $535,000 in Mar 2017",Rent $425pw in Dec 2014,House: 4  2  2 ,Land size: 682 sqm
22,11 Chenin Mews,"Sold $470,000 in Nov 2019","Last Sold $256,000 in Nov 2007", ,House: 3  1  1 ,Land size: 355 sqm
23,70 Paget Road,"Sold $1,160,100 in Oct 2019", , ,House: 4  2  4 ,"Land size: 20,888 sqm"
24,4 Grenache Drive,"Sold $700,000 in Oct 2019","Last Sold $600,000 in Jun 2012", ,House: 5  3  2 ,Land size: 640 sqm | Building size: 314 sqm
25,1/55 Ironbark Street,"Sold $480,000 in Oct 2019","Last Sold $300,000 in May 2009",Rent $380pw in Jun 2017,House: 3  1  1 ,Land size: 289 sqm | Building size: 118 sqm
26,17 Viogner Place,"Sold $675,000 in Oct 2019","Last Sold $465,000 in Aug 2013",Rent $600pw in Mar 2019,House: 4  2  2 ,Land size: 754 sqm | Building size: 330 sqm
27,19 Viogner Place,"Sold $475,000 in Oct 2019","Last Sold $425,500 in Nov 2017",Rent $400pw in Sep 2019,House: 3  1  2 ,Land size: 357 sqm | Building size: 123 sqm
28,10 Vintage Court,"Sold $640,000 in Sep 2019","Last Sold $102,000 in Dec 2002", , ,Land size: 534 sqm
29,20 Willesden Drive,"Sold $680,000 in Sep 2019","Last Sold $53,500 in Oct 2000", , ,Land size: 914 sqm | Building size: 230 sqm
30,3 Mclaren Court,"Sold $1,010,000 in Sep 2019","Last Sold $185,000 in Jun 2004", ,House: 4  2  7 ,"Land size: 3,186 sqm | Building size: 291 sqm"
31,16 Pinot Street,"Sold $635,000 in Aug 2019","Last Sold $540,000 in Nov 2016", ,House: 3  2  2 ,Land size: 531 sqm
32,38 Blackheath Mews,"Sold $785,000 in Aug 2019","Last Sold $153,500 in Sep 2006", ,House: 4  2  2 ,Land size: 801 sqm | Building size: 293 sqm
33,2 Bordeaux Drive,"Sold $695,000 in Aug 2019","Last Sold $395,000 in May 2005", ,House: 4  2  2 ,"Land size: 1,065 sqm"
34,8 Bodega Street,"Sold $525,000 in Aug 2019","Last Sold $160,000 in Jul 2012",Rent $400pw in Jun 2017,House: 3  2  2 ,Land size: 375 sqm
35,12 Blackheath Mews,"Sold $750,000 in 10 Aug 2019(Auction)","Last Sold $110,000 in Dec 2003", ,House: 5  2  2 ,Land size: 789 sqm
36,9 Delgany Mews,"Sold $690,000 in Aug 2019","Last Sold $432,000 in Feb 2008",Rent $650pw in Aug 2019,House: 5  2  2 ,Land size: 798 sqm | Building size: 229 sqm
37,1-2 Tuscan Court,"Sold $880,000 in Jul 2019","Last Sold $715,000 in Dec 2015", ,House: 5  2  4 ,"Land size: 1,404 sqm | Building size: 288 sqm"
38,1 Resolute Drive,"Sold $507,000 in Jul 2019","Last Sold $400,000 in Jun 2016",Rent $370pw in Jul 2013,House: 3  2  2 ,Land size: 450 sqm | Building size: 126 sqm
39,14 RESOLUTE DRIVE,"Sold $540,000 in Jun 2019","Last Sold $307,000 in Nov 2007",Rent $280pw in Dec 2005,House: 5  2  1 ,Land size: 387 sqm
40,4 Muscat Place,"Sold $457,000 in Jun 2019","Last Sold $269,000 in Oct 2004",Rent $390pw in Jun 2019,House: 3  1  1 ,Land size: 358 sqm
41,10 Cottonwood Way,"Sold $570,000 in Jun 2019","Last Sold $170,000 in Jan 2011",Rent $460pw in Feb 2017,House: 5  2  2 ,Land size: 478 sqm
42,5 Merlot Street,"Sold $677,000 in Jun 2019","Last Sold $105,000 in May 2003", ,House: 4  2  2 ,Land size: 613 sqm | Building size: 211 sqm
