,address,sold,last sold,rent,house_info,land_size
0,19A Curtin Street,"Sold $190,000 in Sep 2020", , , ,Land size: 242 sqm
1,1 Milton Street,"Sold $560,000 in Aug 2020", , ,House: 3  1  4 ,Land size: 873 sqm
2,28 Anakie Road,"Sold $458,000 in Aug 2020","Last Sold $236,000 in Apr 2009", ,House: 3  1  2 ,Land size: 604 sqm | Building size: 108 sqm
3,2/12 Willow Crescent,"Sold $395,000 in Aug 2020","Last Sold $247,000 in May 2009", , ,Land size: 223 sqm
4,1/42 Curtin Street,"Sold $400,000 in Aug 2020","Last Sold $290,000 in Jul 2014", ,House: 4  1  2 ,Land size: 331 sqm | Building size: 136 sqm
5,26 Bellavista Road,"Sold $445,000 in Aug 2020","Last Sold $432,000 in Aug 2018", ,House: 2  1  2 ,Land size: 332 sqm
6,23 Malinda Crescent,"Sold $530,000 in Jul 2020", , ,House: ,Land size: 636 sqm
7,12 Nambet Court,"Sold $465,000 in Jul 2020","Last Sold $96,000 in Jul 1999", ,House: 3  2  2 ,Land size: 650 sqm
8,29 Alicia Street,"Sold $495,000 in Jul 2020","Last Sold $325,000 in Dec 2014", ,House: 3  1  2 ,Land size: 627 sqm | Building size: 107 sqm
9,2/45 Thorburn Street,"Sold $517,500 in Jul 2020", , , , 
10,144 Separation Street,"Sold $460,000 in Jul 2020", , ,House: 3  1  3 ,Land size: 602 sqm
11,3/6 Hughes Street,"Sold $470,000 in Jun 2020", ,Rent $360pw in Nov 2019, ,Land size: 197 sqm
12,21 Karlovac Court,"Sold $510,000 in Jun 2020","Last Sold $226,000 in Jan 2006", ,House: 3  2  2 ,Land size: 565 sqm | Building size: 116 sqm
13,4 Samuel Close,"Sold $666,000 in Jun 2020", , , ,Land size: 823 sqm
14,2/206B Separation Street,"Sold $521,000 in Jun 2020", , , , 
15,206B Separation Street,"Sold $521,000 in Jun 2020", , , , 
16,25 Prestige Avenue,"Sold $715,000 in Jun 2020","Last Sold $83,000 in Oct 2002", ,House: 4  2  2 ,Land size: 631 sqm
17,1 Malinda Crescent,"Sold $560,000 in Jun 2020","Last Sold $395,000 in Mar 2017", ,House: 3  2  4 ,Land size: 798 sqm | Building size: 160 sqm
18,1/3 Tallinn Street,"Sold $455,000 in May 2020", , , , 
19,82 Mcclelland Street,"Sold $493,000 in May 2020","Last Sold $390,000 in Nov 2016", ,House: 3  1  1 ,Land size: 610 sqm | Building size: 116 sqm
20,2 Levoca Court,"Sold $475,000 in May 2020","Last Sold $317,500 in Mar 2015", ,House: 4  1  4 ,Land size: 600 sqm | Building size: 130 sqm
21,30 Hedgeley Road,"Sold $652,500 in May 2020","Last Sold $489,000 in Oct 2015", ,House: 4  2  3 ,Land size: 505 sqm
