,address,sold,last sold,rent,house_info,land_size
0,3/10-12 Chatham Close,"Sold $372,500 in Sep 2020", , ,Townhouse: ,Land size: 171 sqm
1,24 Darriwill Street,"Sold $457,500 in Sep 2020","Last Sold $265,000 in Jun 2011", ,House: 3  1  1 ,Land size: 536 sqm
2,25 Fairy Street,"Sold $494,000 in 12 Aug 2020(Auction)", ,Rent $390pw in Aug 2020,House: 3  1  2 ,Land size: 627 sqm
3,19 Molloy Court,"Sold $640,000 in Aug 2020","Last Sold $460,000 in Apr 2013", ,House: 3  2  2 ,Land size: 440 sqm | Building size: 193 sqm
4,51 Corinella Street,"Sold $600,000 in Aug 2020","Last Sold $350,000 in Dec 2013", ,House: 4  2  ,Land size: 631 sqm
5,2/2 Liston Street,"Sold $400,000 in Aug 2020","Last Sold $233,500 in Jul 2005", , ,Land size: 280 sqm
6,23 Edison Road,"Sold $605,000 in Jul 2020","Last Sold $397,000 in May 2015", ,House: 4  2  2 ,Land size: 522 sqm
7,1/10-12 Chatham Close,"Sold $376,500 in Jul 2020","Last Sold $218,000 in Aug 2014", , ,Land size: 173 sqm
8,25 Darriwill Street,"Sold $467,500 in Jul 2020","Last Sold $335,000 in Feb 2017", ,House: 3  1  1 ,Land size: 628 sqm | Building size: 139 sqm
9,16 Kinlock Street,"Sold $500,000 in Jul 2020","Last Sold $485,000 in Feb 2018", ,House: 3  1  1 ,Land size: 626 sqm | Building size: 120 sqm
10,1/10 Chatham Close,"Sold $376,500 in Jul 2020","Last Sold $180,000 in Aug 2010", , ,Land size: 173 sqm
11,49 Ruhamah Avenue,"Sold $485,000 in Jul 2020","Last Sold $72,000 in Nov 1991", ,House: 3  1  1 ,Land size: 625 sqm
12,1 Wolseley Grove,"Sold $473,000 in Jul 2020","Last Sold $286,100 in Jan 2008", ,House: 3  2  3 ,Land size: 683 sqm
13,Lot 18 Tova Street,"Sold $320,000 in Jul 2020", , , , 
14,29 Dane Avenue,"Sold $900,000 in Jun 2020","Last Sold $540,000 in Jan 2015", ,House: 3  2  2 ,Land size: 716 sqm
15,38 Dane Avenue,"Sold $855,000 in Jun 2020","Last Sold $650,000 in Dec 2014", ,House: 4  3  3 ,Land size: 790 sqm
16,98A Neil Street,"Sold $515,000 in Jun 2020","Last Sold $365,000 in May 2015", ,House: 3  ,Land size: 305 sqm
