,address,sold,last sold,rent,house_info,land_size
0,25 Hitchcock Street,"Sold $410,000 in Aug 2020","Last Sold $130,000 in Nov 2002", ,House: 2  ,Land size: 548 sqm
1,20 Young Street,"Sold $387,000 in Jun 2020","Last Sold $234,000 in Aug 2010", , ,Land size: 591 sqm
2,14 Tucker Street,"Sold $406,500 in May 2020","Last Sold $181,000 in Jun 2006", ,House: 3  1  1 ,Land size: 687 sqm
3,2/24 Cosgrove Street,"Sold $405,500 in Dec 2019","Last Sold $302,000 in Jul 2015", , ,Land size: 285 sqm | Building size: 111 sqm
4,33 Hitchcock Street,"Sold $410,000 in Nov 2019","Last Sold $265,000 in Mar 2015", ,House: 2  1  2 ,Land size: 560 sqm | Building size: 102 sqm
5,1 Hodges Court,"Sold $385,000 in Oct 2019","Last Sold $336,000 in Nov 2017", ,House: 3  1  1 ,Land size: 543 sqm
6,44 Fidge Crescent,"Sold $425,000 in Oct 2019","Last Sold $250,000 in Nov 2013", ,House: 3  1  2 ,Land size: 557 sqm | Building size: 99 sqm
7,10 Fidge Crescent,"Sold $382,000 in Sep 2019", , ,House: 3  1  2 ,Land size: 545 sqm
8,8 Fidge Crescent,"Sold $410,000 in Jul 2019","Last Sold $195,000 in Oct 2005", ,House: 3  1  4 ,Land size: 558 sqm
9,27 Fidge Crescent,"Sold $392,000 in Jul 2019","Last Sold $213,000 in Mar 2009", ,House: 3  1  2 ,Land size: 581 sqm
10,29 Hitchcock Street,"Sold $405,000 in Jul 2019","Last Sold $230,000 in Jan 2012", ,House: 3  1  1 ,Land size: 553 sqm | Building size: 102 sqm
11,29B Tanner Street,"Sold $400,000 in Jun 2019", ,Rent $350pw in Jun 2019,House: 3  1  2 ,Land size: 337 sqm
12,52 Tucker Street,"Sold $830,000 in May 2019","Last Sold $110,000 in Feb 2000", ,House: 4  2  6 ,"Land size: 1,979 sqm"
13,25 Tanner Street,"Sold $540,000 in May 2019","Last Sold $163,000 in Dec 2008", ,House: 4  2  2 ,Land size: 767 sqm | Building size: 209 sqm
14,64 Fidge Crescent,"Sold $398,000 in May 2019", , ,House: 3  1  2 ,Land size: 558 sqm
15,8/55 Tanner Street,"Sold $359,000 in May 2019","Last Sold $300,000 in Sep 2017", ,Townhouse: 2  1  1 ,Land size: 251 sqm
16,16 Tanner Street,"Sold $450,000 in May 2019","Last Sold $350,000 in Nov 2013", ,House: 4  1  2 ,Land size: 613 sqm | Building size: 111 sqm
17,1/21 Tucker Street,"Sold $255,000 in Apr 2019", , ,House: 2  1  1 ,Land size: 67 sqm
18,4/51 Tanner Street,"Sold $362,000 in Jan 2019","Last Sold $272,500 in Jul 2009", , ,Land size: 325 sqm | Building size: 103 sqm
19,4 Solomon Court,"Sold $385,000 in Jan 2019", ,Rent $370pw in Mar 2019,House: 3  1  2 ,Land size: 603 sqm
20,29A Tanner Street,"Sold $475,000 in Jan 2019", , ,House: 4  2  3 ,Land size: 428 sqm
