,address,sold,last sold,rent,house_info,land_size
0,37 Bell Parade,"Sold $1,215,000 in Jun 2020","Last Sold $915,000 in Apr 2015", ,House: 3  2  3 ,Land size: 646 sqm | Building size: 177 sqm
1,1/55 The Esplanade,"Sold $1,900,000 in 18 May 2020(Auction)", , ,House: 3  ,Land size: 421 sqm
2,55A The Esplanade,"Sold $1,900,000 in 18 May 2020(Auction)", , ,House: 3  2  3 , 
3,28 Wattletree Road,"Sold $1,520,000 in Mar 2020", , , ,Land size: 343 sqm
4,23 Beach Parade,"Sold $1,100,000 in 15 Feb 2020(Auction)","Last Sold $626,000 in May 2012", ,House: 3  1  3 ,Land size: 613 sqm
5,1/26 Lunan Avenue,"Sold $865,000 in Feb 2020","Last Sold $316,500 in Sep 2000", , ,Land size: 215 sqm
6,39 The Esplanade,"Sold $2,275,000 in Jul 2019", ,Rent $660pw in Oct 2019,House: 5  2  4 ,Land size: 730 sqm
7,9 Grandview Grove,"Sold $1,219,000 in Mar 2019","Last Sold $590,000 in Oct 2005", ,House: 4  2  ,Land size: 625 sqm | Building size: 253 sqm
8,3 Lunan Avenue,"Sold $900,000 in Mar 2019","Last Sold $775,000 in Dec 2012", ,House: 3  2  2 ,Land size: 610 sqm
9,15 Drumcondra Avenue,"Sold $901,000 in 14 Apr 2018(Auction)", ,Rent $420pw in Jun 2016,House: 4  1  1 ,Land size: 624 sqm
10,9A Wattletree Road,"Sold $885,000 in 16 Dec 2017(Auction)", ,Rent $470pw in May 2019,House: 3  1  1 ,Land size: 624 sqm
11,53 Princes Highway,"Sold $640,000 in Dec 2017","Last Sold $435,000 in Oct 2011", ,House: 4  1  1 ,Land size: 835 sqm
12,53 Melbourne Road,"Sold $640,000 in 09 Dec 2017(Auction)","Last Sold $435,000 in Oct 2011", ,House: 3  1  1 ,Land size: 640 sqm
13,3 Bell Parade,"Sold $680,000 in Nov 2017","Last Sold $360,000 in 2009", ,House: 3  2  1 ,Land size: 330 sqm | Building size: 122 sqm
14,16 Drumcondra Avenue,"Sold $1,225,000 in Oct 2017","Last Sold $111,500 in Jun 1992", ,House: 4  2  2 ,Land size: 626 sqm
15,1/2 Grandview Grove,"Sold $520,000 in 05 Aug 2017(Auction)","Last Sold $405,000 in Jan 2016", ,Townhouse: 2  2  1 ,Land size: 195 sqm | Building size: 148 sqm
16,24 Drumcondra Avenue,"Sold $832,000 in Jul 2017", , ,House: 4  1  1 ,Land size: 613 sqm
17,11 Beach Parade,"Sold $1,096,000 in 18 Mar 2017(Auction)","Last Sold $760,000 in Jun 2015", ,House: 4  1  3 ,Land size: 613 sqm | Building size: 270 sqm
18,57 Princes Highway,"Sold $390,000 in Nov 2016", ,Rent $320pw in Feb 2000,House: 2  1  1 ,Land size: 531 sqm
19,57 Melbourne Road,"Sold $390,000 in 19 Nov 2016(Auction)","Last Sold $285,000 in Aug 2008", ,House: 2  1  1 ,Land size: 531 sqm | Building size: 144 sqm
20,19 Drumcondra Avenue,"Sold $800,000 in 22 Oct 2016(Auction)", , ,House: 3  1  1 ,Land size: 613 sqm | Building size: 12 sqm
21,2 Wattletree Road,"Sold $925,000 in Oct 2016","Last Sold $700,000 in Jan 2012", ,House: 4  3  2 ,Land size: 625 sqm
22,6 Grandview Grove,"Sold $825,050 in Sep 2016","Last Sold $395,000 in Jul 2003", ,House: 4  2  2 ,Land size: 638 sqm
23,16 Grandview Grove,"Sold $725,000 in 27 Aug 2016(Auction)", , ,House: 3  1  1 ,Land size: 633 sqm | Building size: 144 sqm
24,5 Grandview Grove,"Sold $665,000 in Aug 2016", ,Rent $375pw in Oct 2015,House: 3  1  1 ,Land size: 625 sqm | Building size: 224 sqm
25,3/2-4 Drumcondra Avenue,"Sold $313,500 in Aug 2016","Last Sold $215,000 in Mar 2005", , ,Land size: 279 sqm
26,16 Beach Parade,"Sold $955,000 in May 2016","Last Sold $245,000 in Nov 1998", ,House: 3  2  2 ,Land size: 59 sqm
27,25 Glenleith Avenue,"Sold $1,070,000 in Feb 2016","Last Sold $870,000 in May 2013", ,House: 4  2  3 ,Land size: 971 sqm
28,10 Wattletree Road,"Sold $685,000 in 13 Feb 2016(Auction)", , ,House: 3  1  2 ,Land size: 625 sqm | Building size: 110 sqm
29,21 Lunan Avenue,"Sold $815,000 in Dec 2015", , ,House: 4  2  1 ,Land size: 611 sqm
30,53 The Esplanade,"Sold $2,375,000 in Nov 2015","Last Sold $1,875,000 in Mar 2008", ,House: 4  2  2 ,Land size: 899 sqm | Building size: 427 sqm
31,24 Beach Parade,"Sold $1,205,000 in 31 Oct 2015(Auction)","Last Sold $145,000 in Aug 2008", ,House: 4  2  2 ,Land size: 675 sqm | Building size: 275 sqm
32,41 Princes Highway,"Sold $725,000 in Aug 2015", , ,House: 4  2  2 ,Land size: 703 sqm
33,41 Melbourne Road,"Sold $725,000 in Jul 2015","Last Sold $81,500 in Dec 1984", ,House: 4  2  2 ,Land size: 700 sqm
34,1/2-4 Drumcondra Avenue,"Sold $293,500 in May 2015","Last Sold $64,500 in Sep 1986", , ,Land size: 202 sqm
35,3/2 Drumcondra Avenue,"Sold $293,500 in May 2015","Last Sold $89,500 in Apr 1999", ,Townhouse: 2  1  1 ,Land size: 279 sqm | Building size: 97 sqm
36,39 Bell Parade,"Sold $725,000 in 11 Apr 2015(Auction)", ,Rent $350pw in Jun 2019,House: 3  1  1 ,Land size: 646 sqm
37,18 Grandview Grove,"Sold $745,000 in Jan 2015","Last Sold $72,500 in Aug 1986", ,House: 4  1  2 ,Land size: 620 sqm
38,8 Wattletree Road,"Sold $695,000 in Dec 2014", ,Rent $440pw in Apr 2016,House: 4  2  2 ,Land size: 625 sqm
39,23 Lunan Avenue,"Sold $1,160,000 in Dec 2014","Last Sold $300,000 in Nov 2006", ,House: 4  2  3 ,Land size: 611 sqm
40,25 Bell Parade,"Sold $748,000 in 13 Dec 2014(Auction)", ,Rent $450pw in Jun 2017,House: 4  1  3 ,Land size: 728 sqm
41,20-22 Lunan Avenue,"Sold $640,000 in Nov 2014", , ,House: 3  1  ,Land size: 653 sqm
42,22 Lunan Avenue,"Sold $640,000 in 01 Nov 2014(Auction)", , ,House: 3  1  2 ,Land size: 653 sqm
43,14 Lunan Avenue,"Sold $766,000 in Oct 2014","Last Sold $210,000 in Jul 1995", ,House: 4  2  2 ,Land size: 653 sqm
44,15 Glenleith Avenue,"Sold $1,100,000 in Oct 2014","Last Sold $190,000 in Nov 1989", ,House: 4  2  2 ,Land size: 970 sqm | Building size: 264 sqm
45,27 Princes Highway,"Sold $560,000 in Sep 2014","Last Sold $95,000 in Jul 1997", , ,Land size: 408 sqm | Building size: 200 sqm
46,11 Wattletree Road,"Sold $736,000 in Sep 2014","Last Sold $310,000 in Feb 2000", ,House: 3  1  1 ,Land size: 625 sqm
47,27 Melbourne Road,"Sold $560,000 in Sep 2014","Last Sold $95,000 in Jul 1997", , ,Land size: 408 sqm
48,2/31 Bell Parade,"Sold $250,000 in Aug 2014","Last Sold $72,500 in Aug 1997", , ,Land size: 202 sqm | Building size: 94 sqm
49,1/20-22 Lunan Avenue,"Sold $505,000 in Jul 2014", , , ,Land size: 653 sqm
50,1/20 Lunan Avenue,"Sold $505,000 in 19 Jul 2014(Auction)", ,Rent $390pw in Jan 2016, ,Land size: 267 sqm | Building size: 116 sqm
51,2/20 Lunan Avenue,"Sold $505,000 in Jul 2014", ,Rent $360pw in Oct 2012,Townhouse: 3  1  1 ,Land size: 653 sqm
52,1/31 Bell Parade,"Sold $350,000 in Jun 2014","Last Sold $81,500 in Jan 1997", , ,Land size: 252 sqm | Building size: 92 sqm
53,16 Glenleith Avenue,"Sold $630,000 in May 2014","Last Sold $178,000 in Jul 1986", ,House: 4  2  3 , 
54,23 Bell Parade,"Sold $527,000 in 22 Mar 2014(Auction)", , ,House: 3  1  1 ,Land size: 572 sqm
55,11 Lunan Avenue,"Sold $920,000 in Mar 2014","Last Sold $270,000 in Jul 2001", ,House: 4  3  6 ,Land size: 611 sqm | Building size: 134 sqm
56,14 Beach Parade,"Sold $730,000 in Feb 2014", ,Rent $470pw in Apr 2015,House: 3  2  4 ,Land size: 613 sqm
57,1 Grandview Grove,"Sold $815,000 in Feb 2014","Last Sold $750,000 in Apr 2005", ,House: 5  3  2 ,Land size: 624 sqm
58,59 The Esplanade,"Sold $2,100,000 in Dec 2013","Last Sold $480,000 in Feb 1991", ,House: 4  ,"Land size: 1,157 sqm"
59,6/17 The Esplanade,"Sold $375,000 in Nov 2013", ,Rent $300pw in Sep 2013, , 
60,2 Beach Parade,"Sold $1,150,000 in Nov 2013","Last Sold $750,000 in Jan 2008", ,House: 4  2  4 ,Land size: 808 sqm | Building size: 186 sqm
61,6a Lunan Avenue,"Sold $640,000 in Oct 2013", , ,House: 3  2  1 ,Land size: 653 sqm
62,6 Lunan Avenue,"Sold $640,000 in Oct 2013", , ,House: 2  2 ,Land size: 653 sqm | Building size: 212 sqm
