,address,sold,last sold,rent,house_info,land_size
0,21 McNeill Avenue,"Sold $510,000 in Aug 2020", , ,House: 3  2  2 ,Land size: 703 sqm
1,5 Boyne Avenue,"Sold $745,000 in Aug 2020","Last Sold $315,350 in Sep 2008", ,House: 2  1  1 ,Land size: 434 sqm | Building size: 129 sqm
2,23 Loch Street,"Sold $685,000 in Aug 2020","Last Sold $540,000 in Oct 2017(Auction)", ,House: 3  2  2 ,Land size: 337 sqm
3,4 Bendle Street,"Sold $740,000 in Aug 2020","Last Sold $255,000 in Dec 2006", ,House: 3  1  1 ,Land size: 672 sqm | Building size: 131 sqm
4,7/22-24 Walter Street,"Sold $365,000 in Jul 2020", ,Rent $280pw in Mar 2017, ,Land size: 159 sqm
5,8 Thear Street,"Sold $790,000 in Jul 2020","Last Sold $77,500 in Oct 1993", ,House: 3  2  2 ,Land size: 563 sqm
6,13 Powell Street,"Sold $680,000 in 27 Jun 2020(Auction)", , ,House: ,Land size: 694 sqm
7,191 Verner Street,"Sold $665,000 in Jun 2020","Last Sold $439,000 in Feb 2016", ,House: 2  1  1 ,Land size: 337 sqm
8,6 Tully Street,"Sold $760,000 in 23 May 2020(Auction)","Last Sold $340,000 in Oct 2007", ,House: 3  1  2 ,Land size: 322 sqm
9,335 Myers Street,"Sold $831,000 in May 2020","Last Sold $407,500 in Jun 2007", ,House: 3  1  2 ,Land size: 475 sqm
10,31 St Albans Road,"Sold $472,000 in May 2020","Last Sold $349,000 in Feb 2017", ,Townhouse: 2  1  1 ,Land size: 56 sqm
11,3/346 Myers Street,"Sold $385,000 in Apr 2020","Last Sold $184,500 in Jan 2006", , ,Land size: 120 sqm
12,2/229 Verner Street,"Sold $500,000 in Apr 2020", ,Rent $340pw in Oct 2015,Townhouse: 4  1  1 , 
13,24 Loch Street,"Sold $910,000 in Mar 2020","Last Sold $147,500 in Feb 2000", ,House: 3  2  2 ,Land size: 399 sqm | Building size: 134 sqm
14,3 Limeburners Road,"Sold $1,020,000 in 28 Mar 2020(Auction)","Last Sold $344,500 in Jun 2008", ,House: 2  1  2 ,Land size: 726 sqm
15,3 Helen Street,"Sold $465,000 in 09 Mar 2020(Auction)","Last Sold $238,000 in Jan 2013", ,House: 2  1  2 ,Land size: 355 sqm | Building size: 77 sqm
16,5 Connor Street,"Sold $896,000 in Mar 2020","Last Sold $500,000 in Mar 2010", ,House: 3  2  2 ,Land size: 432 sqm | Building size: 140 sqm
17,3 Connor Street,"Sold $1,051,520 in 29 Feb 2020(Auction)", , ,House: 3  ,Land size: 864 sqm
18,486 Ryrie Street,"Sold $880,000 in Feb 2020","Last Sold $425,000 in Mar 2008", ,House: 3  2  2 ,Land size: 473 sqm
19,16 Paterson Street,"Sold $630,000 in Feb 2020", , ,House: 3  2  4 ,Land size: 586 sqm
20,7 Lindon Street,"Sold $500,000 in Feb 2020", ,Rent $295pw in Mar 2015,House: 2  1  3 ,Land size: 291 sqm
21,4/346 Myers Street,"Sold $395,000 in Jan 2020","Last Sold $290,000 in Dec 2016", , ,Land size: 185 sqm
22,12 Orchard Street,"Sold $710,000 in Jan 2020","Last Sold $61,000 in Jan 1985", ,House: 4  3  3 ,Land size: 394 sqm
23,268 Mckillop Street,"Sold $977,000 in Dec 2019","Last Sold $798,000 in Oct 2017(Auction)", ,House: 4  3  4 ,Land size: 565 sqm
24,85 Normanby Street,"Sold $491,598 in Dec 2019","Last Sold $352,000 in Mar 2017", ,Townhouse: 2  1  1 ,Land size: 69 sqm
25,407 Myers Street,"Sold $595,000 in Dec 2019","Last Sold $260,000 in Nov 2008", ,House: 3  1  1 ,Land size: 730 sqm
26,30 Humble Street,"Sold $640,000 in Dec 2019","Last Sold $422,000 in Sep 2010", ,Townhouse: 2  2  1 ,Land size: 292 sqm
27,8 Loftus Street,"Sold $520,000 in Nov 2019","Last Sold $166,250 in Mar 2014", , ,Land size: 556 sqm | Building size: 120 sqm
28,14 Philpott Street,"Sold $1,148,000 in 23 Nov 2019(Auction)","Last Sold $625,000 in Aug 2013(Auction)", ,House: 3  2  4 ,Land size: 566 sqm
29,5 Kernot Street,"Sold $625,000 in 23 Nov 2019(Auction)","Last Sold $390,000 in Apr 2010", ,House: 3  1  2 ,Land size: 314 sqm
30,10 Thear Street,"Sold $1,020,000 in 16 Nov 2019(Auction)","Last Sold $613,000 in Apr 2017(Auction)", ,House: 2  1  2 ,Land size: 563 sqm
31,73 Normanby Street,"Sold $788,000 in 16 Nov 2019(Auction)","Last Sold $560,000 in Oct 2014", ,House: 3  1  2 ,Land size: 453 sqm | Building size: 129 sqm
32,3 Orchard Street,"Sold $445,000 in Nov 2019", , ,House: 2  1  ,Land size: 331 sqm
33,12 Meakin Street,"Sold $1,020,000 in Nov 2019","Last Sold $477,500 in Jun 2004", ,House: 3  2  2 ,Land size: 150 sqm
34,4/6 Chapman Crescent,"Sold $435,500 in Oct 2019", ,Rent $385pw in Nov 2019,Townhouse: 2  2  1 ,Land size: 207 sqm
