,address,sold,last sold,rent,house_info,land_size
0,28 Sladen Street,"Sold $497,000 in Aug 2020","Last Sold $113,500 in Jan 2001", ,House: 3  1  2 ,Land size: 635 sqm | Building size: 120 sqm
1,20B Marlo Street,"Sold $535,000 in Aug 2020", , ,Townhouse: 2  2  2 ,Land size: 300 sqm
2,43 Hamlyn Avenue,"Sold $540,000 in Aug 2020","Last Sold $515,000 in Nov 2018", ,House: 3  1  ,Land size: 362 sqm | Building size: 113 sqm
3,120 Sladen Street,"Sold $577,500 in Aug 2020","Last Sold $414,000 in Aug 2015", ,House: 3  1  1 ,Land size: 602 sqm | Building size: 120 sqm
4,26 Highview Parade,"Sold $525,000 in Aug 2020","Last Sold $125,000 in Apr 2008", ,House: 3  1  2 ,Land size: 636 sqm
5,2/64 Sladen Street,"Sold $482,000 in Aug 2020","Last Sold $469,000 in Sep 2018", , ,Land size: 357 sqm | Building size: 130 sqm
6,1 Heather Street,"Sold $454,000 in 24 Jul 2020(Auction)","Last Sold $88,000 in Mar 2000", ,House: 3  1  1 ,Land size: 581 sqm
7,4 Sladen Street,"Sold $480,000 in Jul 2020","Last Sold $244,000 in Sep 2009", ,House: 3  1  1 ,Land size: 635 sqm
8,12b Logan Street,"Sold $798,000 in Jul 2020", , ,House: 3  2  2 , 
9,272 Church Street,"Sold $502,500 in Jul 2020", , , ,Land size: 705 sqm
10,14 Griffen Street,"Sold $883,000 in Jul 2020","Last Sold $340,000 in Aug 2014", ,House: 1  1  2 ,Land size: 767 sqm | Building size: 81 sqm
11,24 Griffen Street,"Sold $565,000 in Jul 2020", , ,House: ,Land size: 766 sqm
12,26 Waymouth Street,"Sold $480,000 in Jul 2020", , , ,Land size: 669 sqm
13,2/45 Sladen Street,"Sold $505,000 in Jul 2020","Last Sold $358,000 in Mar 2015", ,Townhouse: 3  2  2 ,Land size: 182 sqm
14,8 Lantana Avenue,"Sold $800,000 in Jul 2020", , ,House: ,"Land size: 1,223 sqm"
15,14 Fairlie Street,"Sold $409,000 in Jul 2020","Last Sold $185,000 in Dec 2005", ,House: 2  1  1 ,Land size: 378 sqm
16,9 Little Avenue,"Sold $685,000 in Jun 2020","Last Sold $319,000 in Oct 2011", ,House: 3  1  2 ,Land size: 561 sqm
17,1/9 Quamby Avenue,"Sold $432,000 in Jun 2020", , ,House: 2  1  1 , 
18,3 Glenfine Avenue,"Sold $485,000 in Jun 2020","Last Sold $352,500 in Oct 2017", ,House: 2  1  1 ,Land size: 224 sqm | Building size: 95 sqm
19,15 Langibanool Avenue,"Sold $579,000 in Jun 2020","Last Sold $330,000 in Feb 2011", ,House: 4  1  4 ,Land size: 731 sqm | Building size: 18 sqm
20,134 Church Street,"Sold $745,000 in Jun 2020", , ,House: 4  3  2 ,Land size: 650 sqm
21,31 Vines Road,"Sold $576,000 in 13 Jun 2020(Auction)","Last Sold $325,500 in Jan 2014", ,House: 3  1  2 ,Land size: 680 sqm | Building size: 106 sqm
22,1/4 Arthur Street,"Sold $737,000 in Jun 2020", , ,House: ,Land size: 643 sqm
23,23 Mackie Close,"Sold $510,000 in Jun 2020","Last Sold $281,000 in Oct 2008", , ,Land size: 346 sqm
24,1/39 Tahara Street,"Sold $480,000 in Jun 2020", , ,House: 3  1  2 ,Land size: 340 sqm
