,address,sold,last sold,rent,house_info,land_size
0,34 Ivy Street,"Sold $541,000 in Aug 2020","Last Sold $265,000 in Sep 2008", ,House: 3  1  2 ,Land size: 557 sqm | Building size: 124 sqm
1,17-19 Helms Street,"Sold $457,000 in Aug 2020","Last Sold $152,000 in May 1993", ,House: 4  1  1 ,"Land size: 1,436 sqm"
2,2/3 Lindel Street,"Sold $387,500 in Aug 2020", , , , 
3,1/3 Lindel Street,"Sold $376,000 in Aug 2020", , , , 
4,9 Ivanhoe Court,"Sold $525,000 in Aug 2020","Last Sold $93,000 in Feb 2000", ,House: 3  2  2 ,Land size: 984 sqm
5,17 Helms Street,"Sold $457,000 in Aug 2020", ,Rent $360pw in Feb 2014,House: 4  1  1 ,"Land size: 2,105 sqm"
6,5/3 Lindel Street,"Sold $455,000 in Jul 2020", , , , 
7,92 Bellarine Highway,"Sold $550,000 in Jul 2020","Last Sold $360,000 in Aug 2013", , ,Land size: 743 sqm | Building size: 150 sqm
8,9 Cecil Court,"Sold $633,000 in 11 Jul 2020(Auction)","Last Sold $305,000 in Oct 2015", ,House: 3  1  1 ,Land size: 592 sqm
9,14 Anthony Street,"Sold $505,000 in Jul 2020", , ,House: 3  1  1 ,Land size: 813 sqm
10,38 Charles Street,"Sold $435,000 in Jul 2020","Last Sold $84,000 in Mar 1996", ,House: 3  1  2 ,Land size: 512 sqm
11,39 Wilton Avenue,"Sold $420,000 in Jun 2020","Last Sold $181,000 in Jun 2006", ,House: 3  1  1 ,Land size: 396 sqm | Building size: 110 sqm
12,1/37 Boundary Road,"Sold $430,000 in May 2020", , ,House: 3  1  2 ,Land size: 308 sqm
13,20 Carinya Avenue,"Sold $410,000 in May 2020","Last Sold $87,700 in Aug 2000", ,House: 3  1  1 ,Land size: 686 sqm | Building size: 125 sqm
14,1/56 Pitman Street,"Sold $322,000 in May 2020","Last Sold $277,500 in Feb 2017", ,Townhouse: 3  1  2 ,Land size: 304 sqm | Building size: 85 sqm
15,3 Saturn Street,"Sold $355,000 in May 2020","Last Sold $175,000 in Jun 2007", ,House: 3  1  2 ,Land size: 556 sqm
16,1/50 Wilsons Road,"Sold $340,000 in Apr 2020","Last Sold $227,000 in Aug 2011", ,House: 2  1  3 ,Land size: 317 sqm | Building size: 102 sqm
17,8 Bain Court,"Sold $550,000 in Apr 2020","Last Sold $125,000 in Sep 1998", ,House: 4  2  2 ,"Land size: 1,102 sqm"
18,114 Portarlington Road,"Sold $435,000 in Apr 2020", , ,House: 3  2  3 ,Land size: 535 sqm
19,101 Helms Street,"Sold $685,000 in Apr 2020","Last Sold $60,500 in Jan 1995", , ,"Land size: 1,746 sqm"
20,1/51-53 Helms Street,"Sold $360,000 in Apr 2020","Last Sold $281,000 in Aug 2017", , ,Land size: 162 sqm
21,34 Pitman Street,"Sold $445,000 in Mar 2020","Last Sold $285,000 in Apr 2012", ,House: 3  1  1 ,Land size: 758 sqm | Building size: 124 sqm
22,62 Wilton Avenue,"Sold $500,000 in Mar 2020","Last Sold $240,000 in Feb 2015(Auction)", ,House: 2  1  1 ,Land size: 655 sqm
23,18 Wilsons Road,"Sold $430,000 in 19 Mar 2020(Auction)","Last Sold $200,000 in Dec 2007", ,House: 3  1  3 ,Land size: 664 sqm | Building size: 300 sqm
24,7 Newland Street,"Sold $479,000 in Mar 2020", , ,House: ,Land size: 701 sqm
25,38 Bellarine Highway,"Sold $500,000 in Mar 2020","Last Sold $290,000 in Jul 2010", ,House: 4  2  1 ,Land size: 669 sqm
26,2 Ivanhoe Court,"Sold $555,000 in Mar 2020", ,Rent $355pw in Aug 2018,House: 3  1  1 ,Land size: 711 sqm
27,1/4 Ivanhoe Court,"Sold $415,000 in Mar 2020", ,Rent $330pw in Jul 2018,House: 3  1  1 ,Land size: 308 sqm
28,7 Jacaranda Court,"Sold $445,000 in Feb 2020","Last Sold $254,000 in Nov 2011", ,House: 3  1  1 ,Land size: 551 sqm
29,34 Breadalbane Street,"Sold $515,000 in 22 Feb 2020(Auction)", , ,House: 3  ,Land size: 921 sqm
30,8 Hinchcliff Crescent,"Sold $475,000 in Feb 2020", , ,House: 3  1  1 ,Land size: 774 sqm
31,4 Poplar Street,"Sold $451,000 in Feb 2020", , ,House: ,Land size: 694 sqm
32,67 Neptune Avenue,"Sold $440,000 in Feb 2020","Last Sold $268,000 in Aug 2015", , ,Land size: 563 sqm | Building size: 98 sqm
33,2/20 Wilsons Road,"Sold $430,000 in Feb 2020", , , ,Land size: 229 sqm
34,13 Cheltenham Road,"Sold $460,000 in Feb 2020","Last Sold $282,000 in Jul 2012", ,House: 3  1  1 ,Land size: 591 sqm
35,1/22-24 Lindsay Street,"Sold $289,000 in Feb 2020", ,Rent $285pw in Jan 2019, ,Land size: 92 sqm
36,1/22 Lindsay Street,"Sold $289,000 in Jan 2020","Last Sold $218,000 in Dec 2010", , ,Land size: 92 sqm
37,1 Daphne Court,"Sold $495,000 in Jan 2020","Last Sold $407,000 in Sep 2018", ,House: 4  1  4 ,Land size: 585 sqm
38,3 Lindsay Street,"Sold $415,000 in Jan 2020","Last Sold $310,000 in Nov 2017", ,House: 3  1  2 ,Land size: 547 sqm
39,46 Anthony Street,"Sold $421,600 in Dec 2019","Last Sold $199,000 in Aug 2004", ,House: 3  1  1 ,Land size: 779 sqm
40,129 Helms Street,"Sold $460,000 in Dec 2019","Last Sold $53,500 in Mar 1999", ,House: 1  1 ,Land size: 711 sqm | Building size: 103 sqm
41,35 Lucas Street,"Sold $490,000 in Dec 2019","Last Sold $342,000 in Sep 2017", ,House: 3  1  3 ,Land size: 528 sqm
42,2/41 Wilsons Road,"Sold $415,000 in Dec 2019","Last Sold $320,000 in Nov 2012", , ,Land size: 243 sqm
43,27 Lucas Street also known as 53 Andrew Street,"Sold $392,000 in Dec 2019", , ,House: 3  1  2 , 
44,2/5-7 Lindel Street,"Sold $385,000 in Dec 2019","Last Sold $300,000 in Nov 2016", , ,Land size: 267 sqm
45,35 Mercury Crescent,"Sold $391,200 in Nov 2019", , , ,Land size: 535 sqm
46,7 Neptune Avenue,"Sold $440,000 in Nov 2019", , ,House: 3  1  4 ,Land size: 527 sqm
47,130 Portarlington Road,"Sold $340,000 in Nov 2019","Last Sold $75,000 in Sep 1995", ,House: 3  1  1 ,Land size: 564 sqm
48,4 Ruth Court,"Sold $428,000 in Oct 2019","Last Sold $216,000 in Nov 2006", ,House: 3  1  3 ,Land size: 727 sqm | Building size: 110 sqm
49,23 Watsons Road,"Sold $402,000 in Oct 2019","Last Sold $295,000 in Oct 2010", ,House: 3  1  1 ,Land size: 652 sqm
50,3 Ivanhoe Court,"Sold $455,000 in Oct 2019","Last Sold $102,500 in May 2001", ,House: 3  1  2 ,Land size: 711 sqm
51,26 Lancaster Avenue,"Sold $500,000 in Oct 2019","Last Sold $79,000 in Oct 2000", ,House: 3  2  4 ,Land size: 780 sqm
52,1/11 Ivanhoe Court,"Sold $430,000 in Oct 2019", , ,House: 3  1  2 ,Land size: 400 sqm
53,6 Pluto Court,"Sold $382,500 in Oct 2019", ,Rent $370pw in Nov 2019,House: 3  1  1 ,Land size: 619 sqm
54,26 Wilsons Road,"Sold $382,000 in Oct 2019", , ,House: 3  1  1 ,Land size: 660 sqm
55,105 Helms Street,"Sold $886,000 in Sep 2019", , ,House: 4  2  7 ,"Land size: 2,382 sqm"
56,34 Watsons Road,"Sold $450,000 in Sep 2019","Last Sold $132,500 in Sep 2015", ,House: 3  1  2 ,Land size: 593 sqm
