,address,sold,last sold,rent,house_info,land_size
0,122 Thompson Road,"Sold $442,000 in Aug 2020", ,Rent $310pw in May 2017,House: 3  1  2 ,Land size: 647 sqm
1,51 Saywell Street,"Sold $547,000 in Aug 2020","Last Sold $410,000 in Sep 2015", ,House: 3  1  3 ,Land size: 674 sqm
2,2/26 Kerr Street,"Sold $400,000 in Aug 2020","Last Sold $233,000 in Sep 2012", , ,Land size: 338 sqm | Building size: 92 sqm
3,11 Balfour Street,"Sold $790,000 in Aug 2020","Last Sold $650,000 in Aug 2017", , ,Land size: 375 sqm | Building size: 261 sqm
4,3 Walsgott Street,"Sold $550,000 in Jul 2020","Last Sold $380,000 in Apr 2019", ,House: 4  3  5 ,Land size: 646 sqm | Building size: 153 sqm
5,42 Guthrie Avenue,"Sold $630,000 in Jul 2020","Last Sold $81,000 in Dec 1999", ,House: 3  1  1 ,Land size: 458 sqm
6,25 Edols Street,"Sold $515,000 in 27 Jun 2020(Auction)", , ,House: ,"Land size: 1,012 sqm"
7,25 Dobie Court,"Sold $337,500 in Jun 2020","Last Sold $237,500 in Jul 2017", , ,Land size: 320 sqm
8,29 Dobie Court,"Sold $670,000 in Jun 2020","Last Sold $230,000 in Mar 2012", ,House: 4  2  2 ,Land size: 320 sqm
9,1/7 Saywell Street,"Sold $460,000 in Jun 2020","Last Sold $295,000 in Dec 2010", ,Townhouse: 3  1  2 ,Land size: 300 sqm | Building size: 105 sqm
10,64 Slevin Street,"Sold $415,000 in May 2020","Last Sold $275,000 in Feb 2012", ,House: 3  1  2 ,Land size: 595 sqm | Building size: 143 sqm
11,16 Giddings street,"Sold $512,000 in May 2020","Last Sold $386,000 in Jul 2016", ,House: 3  1  2 ,Land size: 675 sqm
12,71 Osborne Avenue,"Sold $480,000 in May 2020","Last Sold $225,000 in Jun 2007", ,House: 3  1  2 ,Land size: 646 sqm | Building size: 140 sqm
13,21 Pattison Avenue,"Sold $326,000 in May 2020", , ,House: ,Land size: 505 sqm
14,11 Guthrie Avenue,"Sold $670,000 in Apr 2020","Last Sold $182,500 in Nov 2001", ,House: 3  1  1 ,Land size: 458 sqm
15,12 Craddock Street,"Sold $610,000 in Apr 2020","Last Sold $246,000 in Sep 2005", ,House: 3  1  1 ,Land size: 607 sqm
16,12 Stubbs Avenue,"Sold $618,000 in Mar 2020","Last Sold $195,000 in Jul 2004", ,House: 3  1  1 ,Land size: 458 sqm | Building size: 112 sqm
17,1/26 Kerr Street,"Sold $389,500 in Mar 2020","Last Sold $162,000 in Jul 2003", , ,Land size: 338 sqm
18,59 Giddings Street,"Sold $579,000 in 05 Mar 2020(Auction)", , ,House: 4  1  3 ,Land size: 739 sqm
19,57 Roseneath Street,"Sold $479,000 in Mar 2020","Last Sold $250,000 in Mar 2013", ,House: 4  2  2 ,Land size: 613 sqm | Building size: 193 sqm
20,28 Balfour Street,"Sold $632,000 in Feb 2020","Last Sold $260,000 in May 2012", ,House: 4  2  2 ,Land size: 375 sqm
