,address,sold,last sold,rent,house_info,land_size
0,2/5-7 Victoria Street,"Sold $577,500 in Jul 2020","Last Sold $469,900 in Jul 2013", ,Townhouse: 3  2  1 ,Land size: 188 sqm
1,27 Holden Avenue,"Sold $815,000 in Jun 2020","Last Sold $725,000 in Jun 2015", ,House: 3  1  2 ,Land size: 615 sqm | Building size: 130 sqm
2,20 Walker Street,"Sold $768,500 in 07 Mar 2020(Auction)","Last Sold $580,000 in Sep 2013(Auction)", ,House: 3  1  1 ,Land size: 267 sqm
3,17 Margaret Street,"Sold $1,250,000 in Feb 2020","Last Sold $393,000 in Jun 2013(Auction)", ,House: 4  1  1 ,Land size: 430 sqm | Building size: 177 sqm
4,2b Swinburne Street,"Sold $470,000 in Dec 2019","Last Sold $270,000 in Jan 2015", ,Townhouse: 3  2  2 ,Land size: 106 sqm
5,9/1B Victoria Street,"Sold $435,000 in Nov 2019", , ,House: 2  1  1 ,Land size: 673 sqm
6,23 Margaret Street,"Sold $855,000 in Oct 2019","Last Sold $284,500 in Mar 2009", ,House: 3  2  ,Land size: 95 sqm
7,Lot 13 Rivers Edge Estate,"Sold $147,900 in Aug 2019", , , , 
8,24 Margaret Street,"Sold $810,000 in 05 Jul 2019(Auction)","Last Sold $582,000 in Dec 2015", ,House: 3  2  ,Land size: 419 sqm
9,Stage 2 TH2/43 Liverpool Street,"Sold $780,000 in Jun 2019", , ,Townhouse: 2  2  2 , 
10,21 Bay Street,"Sold $840,000 in May 2019","Last Sold $640,000 in May 2015", ,House: 3  1  1 ,Land size: 528 sqm | Building size: 145 sqm
11,11/1B Victoria Street,"Sold $405,000 in May 2019", ,Rent $400pw in Jun 2019, ,Land size: 673 sqm
12,7/5-7 Victoria Street,"Sold $515,000 in May 2019","Last Sold $390,000 in Apr 2011", ,Townhouse: 3  1  1 ,Land size: 189 sqm
13,17 Lumb Place,"Sold $1,590,000 in May 2019", , ,House: 3  3  2 ,Land size: 187 sqm
14,22 Walker Street,"Sold $645,000 in Apr 2019","Last Sold $515,000 in Dec 2011", ,House: 3  1  1 ,Land size: 269 sqm
15,2a Swinburne Street,"Sold $470,000 in Feb 2019","Last Sold $270,000 in Jan 2015", ,Townhouse: 3  2  2 ,Land size: 137 sqm
16,1/1 Liverpool Street,"Sold $950,000 in Feb 2019","Last Sold $346,000 in Oct 2006", ,House: 3  2  2 ,Land size: 250 sqm
17,7 Lumb Place,"Sold $1,100,000 in Dec 2018", , ,Townhouse: 3  3  2 ,Land size: 154 sqm
18,13 Vautier Street,"Sold $675,000 in Dec 2018", , ,House: 3  1  1 ,Land size: 613 sqm
19,5 St Helens Place,"Sold $775,000 in Dec 2018","Last Sold $595,000 in Oct 2012", ,House: 3  2  2 ,Land size: 325 sqm
20,19 Walker Street,"Sold $560,000 in Nov 2018", ,Rent $340pw in Jan 2020,House: 3  1  4 ,Land size: 476 sqm
21,39 Margaret Street,"Sold $660,000 in Nov 2018","Last Sold $85,000 in Jan 1993", ,House: 3  1  4 ,Land size: 437 sqm | Building size: 129 sqm
22,20 St David Street,"Sold $1,275,000 in Nov 2018", , ,House: 4  2  2 ,Land size: 734 sqm
23,9 St David Street,"Sold $720,000 in 27 Oct 2018(Auction)", ,Rent $450pw in Sep 2018,House: 3  1  4 ,Land size: 614 sqm
24,4/1B Victoria Street,"Sold $415,000 in Oct 2018","Last Sold $399,000 in Nov 2014", , ,Land size: 673 sqm
25,36 Vautier Street,"Sold $1,400,000 in Sep 2018", ,Rent $300pw in Dec 2011,House: 5  2  2 ,Land size: 612 sqm
26,9/209 Melbourne Road,"Sold $373,000 in Sep 2018", ,Rent $310pw in Jan 2013, ,"Land size: 2,078 sqm"
27,15 Victoria Street,"Sold $655,000 in 11 Aug 2018(Auction)","Last Sold $351,000 in Feb 2008", ,House: 2  1  1 ,Land size: 367 sqm | Building size: 95 sqm
28,8 Victoria Street,"Sold $436,000 in Aug 2018","Last Sold $305,000 in Feb 2013", ,House: 2  1  1 ,Land size: 286 sqm
29,14B/43 Liverpool Street,"Sold $1,290,000 in Jun 2018", , , , 
30,S2 14B/43 Liverpool Street,"Sold $1,290,000 in Jun 2018", , , , 
31,32 Margaret Street,"Sold $900,000 in 09 Jun 2018(Auction)","Last Sold $580,000 in May 2011", ,House: 4  2  1 ,Land size: 428 sqm
32,26 Vautier Street,"Sold $682,000 in May 2018","Last Sold $420,000 in Jan 2013", ,House: 3  2  1 ,Land size: 220 sqm
33,4 Walker Street,"Sold $840,000 in May 2018","Last Sold $655,000 in Sep 2013", ,House: 4  2  1 ,Land size: 482 sqm | Building size: 163 sqm
34,34 Edward Street,"Sold $679,000 in 21 Apr 2018(Auction)","Last Sold $418,000 in Dec 2010", ,House: 2  1  ,Land size: 434 sqm
35,7 Balmoral Crescent,"Sold $2,605,000 in Mar 2018","Last Sold $485,000 in May 1997", ,House: 4  3  3 ,"Land size: 1,671 sqm | Building size: 289 sqm"
36,213 MELBOURNE Road,"Sold $750,000 in Mar 2018","Last Sold $165,000 in Mar 2001", ,House: 4  2  3 ,Land size: 825 sqm
37,14C/43 Liverpool Street,"Sold $1,100,000 in Nov 2017", , , , 
38,9C/43 Liverpool Street,"Sold $1,140,000 in Nov 2017", , , , 
39,54 Victoria Street,"Sold $775,000 in 04 Nov 2017(Auction)","Last Sold $495,000 in Nov 2008", ,House: 3  1  3 ,Land size: 420 sqm
40,3 Walker Street,"Sold $560,000 in Aug 2017","Last Sold $345,500 in Feb 2011", ,House: 3  1  1 ,Land size: 436 sqm | Building size: 125 sqm
