,address,sold,last sold,rent,house_info,land_size
0,8 Robertson Street,"Sold $435,500 in Aug 2020","Last Sold $285,000 in Mar 2011", ,House: 3  1  2 ,Land size: 650 sqm
1,2/5 Barling Court,"Sold $390,000 in Aug 2020", , , ,Land size: 201 sqm
2,1 Olney Avenue,"Sold $420,000 in Jul 2020", ,Rent $335pw in Nov 2018,House: 3  1  1 ,Land size: 644 sqm
3,37 Winstanley Road,"Sold $438,000 in May 2020","Last Sold $110,000 in Oct 1991", ,House: 3  ,Land size: 539 sqm
4,12 Tamlyn Street,"Sold $366,500 in May 2020","Last Sold $225,000 in Dec 2008", ,House: 2  1  1 ,Land size: 186 sqm
5,10 Olney Avenue,"Sold $370,000 in Apr 2020","Last Sold $180,000 in Dec 2004", ,House: 3  1  1 ,Land size: 543 sqm
6,148 Boundary Road,"Sold $395,000 in 18 Mar 2020(Auction)","Last Sold $300,000 in Feb 2000", ,House: 3  1  1 ,Land size: 613 sqm
7,2/25 Helmer Crescent,"Sold $400,000 in Mar 2020","Last Sold $308,000 in Feb 2016", ,House: 2  1  1 ,Land size: 294 sqm
8,141 St Albans Road,"Sold $535,000 in Mar 2020", , ,House: 3  1  1 ,Land size: 539 sqm
9,2 Callander Street,"Sold $413,000 in 29 Feb 2020(Auction)","Last Sold $235,000 in Sep 2011", ,House: 3  1  2 ,Land size: 605 sqm
10,2/44 Godfrey Street,"Sold $386,000 in Feb 2020","Last Sold $315,000 in Nov 2010", , ,Land size: 174 sqm | Building size: 93 sqm
11,41 Olney Avenue,"Sold $395,000 in Feb 2020","Last Sold $165,000 in Jun 2003", ,House: 2  1  2 ,Land size: 540 sqm | Building size: 146 sqm
12,4B Bromley Street,"Sold $416,000 in Jan 2020", , ,House: 3  2  2 , 
13,3 Kahle Court,"Sold $425,000 in 21 Dec 2019(Auction)","Last Sold $330,000 in Mar 2014", ,House: 3  1  1 ,Land size: 648 sqm | Building size: 103 sqm
14,4A Bromley Street,"Sold $480,000 in Dec 2019", , ,House: , 
15,33 Breakwater Road,"Sold $770,000 in Nov 2019","Last Sold $300,000 in Jan 2006", ,House: 3  2  ,Land size: 759 sqm | Building size: 190 sqm
16,17 Olney Avenue,"Sold $415,000 in Nov 2019","Last Sold $212,500 in Feb 2000", ,House: 3  1  2 ,Land size: 687 sqm | Building size: 99 sqm
17,14A Tate Street,"Sold $425,000 in Oct 2019","Last Sold $285,000 in Mar 2011", ,House: 3  1  1 ,Land size: 669 sqm | Building size: 96 sqm
18,23 Callander Street,"Sold $435,000 in Oct 2019","Last Sold $247,000 in Sep 2014", ,House: 3  1  2 ,Land size: 532 sqm
19,1/27 Barnfather Street,"Sold $380,000 in Oct 2019","Last Sold $241,000 in Nov 2008", , ,Land size: 194 sqm
20,12 Jamieson Street,"Sold $395,000 in 07 Sep 2019(Auction)","Last Sold $331,000 in Feb 2017", ,House: 3  1  2 ,Land size: 536 sqm
21,20 Winstanley Road,"Sold $321,000 in Aug 2019","Last Sold $280,000 in May 2016", ,House: 3  1  1 ,Land size: 574 sqm
22,2/30 Tate Street,"Sold $385,000 in Aug 2019","Last Sold $275,000 in Nov 2015", , ,Land size: 347 sqm | Building size: 98 sqm
23,10 Barnfather Street,"Sold $380,000 in Aug 2019","Last Sold $255,000 in Jan 2013", ,House: 3  1  2 ,Land size: 669 sqm
24,21 Breakwater Road,"Sold $380,000 in Jul 2019","Last Sold $292,500 in Sep 2014", ,House: 2  1  ,Land size: 374 sqm
25,25 Callander Street,"Sold $370,000 in Jul 2019","Last Sold $280,000 in Jan 2015", ,House: 3  1  3 ,Land size: 539 sqm
