,address,sold,last sold,rent,house_info,land_size
0,5 Cosmos Court,"Sold $432,000 in Aug 2020","Last Sold $240,000 in Apr 2005", ,House: 4  1  1 ,Land size: 690 sqm
1,6 Orbit Drive,"Sold $388,000 in Aug 2020","Last Sold $350,000 in Nov 2018", ,House: 3  1  3 ,Land size: 687 sqm
2,16 Freesia Court,"Sold $420,000 in Jul 2020","Last Sold $262,500 in Sep 2013", ,House: 3  1  4 ,Land size: 841 sqm
3,118 Solar Drive,"Sold $325,000 in Jul 2020","Last Sold $164,000 in Jul 2004", ,House: 3  1  2 ,Land size: 614 sqm
4,2/53 Regent Street,"Sold $265,000 in Jul 2020","Last Sold $102,000 in Jun 2004", , ,Land size: 69 sqm
5,43 Melva Crescent,"Sold $525,000 in Jul 2020","Last Sold $256,000 in May 2010", ,House: 3  1  2 ,Land size: 679 sqm | Building size: 114 sqm
6,30/5 Oxford Street,"Sold $335,000 in Jul 2020", , , ,Land size: 91 sqm
7,7 Samos Court,"Sold $408,000 in Jun 2020","Last Sold $290,000 in Jul 2017", ,House: 3  1  2 ,Land size: 645 sqm | Building size: 99 sqm
8,83 Townsend Road,"Sold $316,000 in Jun 2020","Last Sold $54,000 in Jan 1996", ,House: 3  ,Land size: 557 sqm
9,2/58-60 Regent Street,"Sold $300,000 in May 2020","Last Sold $87,000 in Feb 2000", , ,Land size: 197 sqm
10,2/58 Regent Street,"Sold $300,000 in May 2020","Last Sold $87,000 in Feb 2000", , ,Land size: 197 sqm
11,3/37 Chapel Street,"Sold $307,000 in Apr 2020","Last Sold $140,000 in Sep 2003", , ,Land size: 262 sqm
12,20 Oxford Street,"Sold $485,000 in Apr 2020","Last Sold $302,000 in Mar 2010", ,House: 4  1  4 ,Land size: 839 sqm
13,1B Thatcher Court,"Sold $395,000 in Apr 2020","Last Sold $240,000 in Feb 2013", ,House: 2  1  1 ,Land size: 737 sqm | Building size: 106 sqm
14,141-143 TOWNSEND Road,"Sold $550,000 in Mar 2020","Last Sold $84,000 in Jun 1992", ,House: 3  1  1 ,Land size: 678 sqm
15,8 Vostok Court,"Sold $410,000 in Mar 2020", , , ,Land size: 576 sqm
16,13 Regent Street,"Sold $491,000 in Mar 2020","Last Sold $310,000 in Sep 2014", ,House: 3  2  2 ,Land size: 651 sqm | Building size: 135 sqm
17,1/15 Orbit Drive,"Sold $350,000 in Feb 2020","Last Sold $267,500 in Jul 2017", , ,Land size: 375 sqm
18,3/15-19 Thompson Street,"Sold $350,000 in Feb 2020","Last Sold $73,000 in Aug 1999", , ,Land size: 257 sqm
19,104 Solar Drive,"Sold $332,500 in Feb 2020","Last Sold $146,000 in Dec 2002", ,House: 3  1  1 ,Land size: 567 sqm
20,7/220-222 Wilsons Road,"Sold $210,000 in Feb 2020","Last Sold $165,000 in Jun 2013", , ,Land size: 43 sqm
21,227 Wilsons Road,"Sold $408,500 in Feb 2020","Last Sold $259,000 in May 2013", ,House: 5  2  1 ,Land size: 558 sqm | Building size: 146 sqm
22,4 Galaxy Court,"Sold $412,000 in Jan 2020","Last Sold $247,500 in Sep 2009", ,House: 4  1  1 ,Land size: 802 sqm
23,17 Titan Street,"Sold $322,000 in Jan 2020","Last Sold $219,900 in Mar 2012", ,House: 3  1  ,Land size: 553 sqm
24,138 Solar Drive,"Sold $344,500 in Jan 2020","Last Sold $70,000 in Nov 2014", , ,Land size: 609 sqm
25,5/1-3 Apollo Place,"Sold $298,000 in Dec 2019","Last Sold $165,000 in Feb 2008", , ,Land size: 162 sqm
26,6 Dew Street,"Sold $505,000 in Dec 2019","Last Sold $350,000 in Mar 2017(Auction)", ,House: 3  1  3 ,"Land size: 1,012 sqm"
27,160 Wilsons Road,"Sold $455,000 in Dec 2019","Last Sold $208,000 in Aug 2008", ,House: 3  1  2 ,Land size: 656 sqm
